timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,156.0000,157.3000,155.0200,155.3200,155.3200,1410528,0.0000,1.0000
2019-02-08,154.1500,155.9500,154.0200,155.5900,155.5900,2300033,0.0000,1.0000
2019-02-07,155.8500,156.0000,154.1900,155.1800,155.1800,2109947,0.0000,1.0000
2019-02-06,157.1500,158.0278,156.8900,157.1600,157.1600,1375103,0.0000,1.0000
2019-02-05,156.7500,157.4100,156.5500,157.3200,157.3200,1985677,0.0000,1.0000
2019-02-04,155.0000,156.6400,154.2300,156.5500,156.5500,1666079,0.0000,1.0000
2019-02-01,154.2500,155.2200,153.6600,154.7400,154.7400,1957430,0.0000,1.0000
2019-01-31,153.5000,154.9025,153.1200,153.5500,153.5500,2115623,0.0000,1.0000
2019-01-30,152.5200,154.5000,151.8350,154.0900,154.0900,1679363,0.0000,1.0000
2019-01-29,152.0200,152.4100,151.1100,152.0200,152.0200,1963230,0.0000,1.0000
2019-01-28,150.7200,152.2400,150.2000,152.2400,152.2400,2046501,0.0000,1.0000
2019-01-25,151.5800,152.2200,150.9600,151.8500,151.8500,1742762,0.0000,1.0000
2019-01-24,148.8100,150.3100,148.6700,150.1500,150.1500,1947456,0.0000,1.0000
2019-01-23,149.8600,150.9300,147.4400,148.4200,148.4200,1989430,0.0000,1.0000
2019-01-22,149.5000,150.4000,147.9100,148.9700,148.9700,1950252,0.0000,1.0000
2019-01-18,150.0000,151.4000,149.1100,150.4500,150.4500,2470548,0.0000,1.0000
2019-01-17,147.2400,149.6199,147.2400,149.1200,149.1200,1814674,0.0000,1.0000
2019-01-16,148.7800,149.4600,147.7200,147.8800,147.8800,2677121,0.0000,1.0000
2019-01-15,145.0800,147.5000,145.0108,146.8900,146.8900,1543778,0.0000,1.0000
2019-01-14,144.7800,145.6600,144.1500,144.9300,144.9300,1484464,0.0000,1.0000
2019-01-11,143.0101,147.4300,143.0101,146.2300,146.2300,2004135,0.0000,1.0000
2019-01-10,144.6600,147.1300,144.2701,147.0200,147.0200,1836305,0.0000,1.0000
2019-01-09,145.2600,147.2000,145.1400,145.8700,145.8700,2181498,0.0000,1.0000
2019-01-08,144.6300,146.8100,142.6900,145.1400,145.1400,2647835,0.0000,1.0000
2019-01-07,140.8300,142.3700,139.8500,141.5600,141.5600,2315636,0.0000,1.0000
2019-01-04,138.1200,141.3400,137.5000,141.0700,141.0700,2296417,0.0000,1.0000
2019-01-03,139.1300,139.5700,135.5800,135.7900,135.7900,2801252,0.0000,1.0000
2019-01-02,138.9300,141.1900,138.2800,140.5900,140.5900,2059602,0.0000,1.0000
2018-12-31,140.4000,141.2900,139.3900,141.0100,141.0100,1826426,0.0000,1.0000
2018-12-28,141.0100,141.8000,138.8100,139.8200,139.8200,2015596,0.0000,1.0000
2018-12-27,137.1100,140.4100,134.6900,140.4100,140.4100,2684148,0.0000,1.0000
2018-12-26,134.8000,139.0200,132.6300,139.0100,139.0100,2488592,0.0000,1.0000
2018-12-24,136.5800,136.9200,133.6000,133.6700,133.6700,2305355,0.0000,1.0000
2018-12-21,141.0200,144.8500,136.9300,137.2000,137.2000,6236911,0.0000,1.0000
2018-12-20,146.0000,147.2000,139.4900,143.5000,143.5000,6409219,0.0000,1.0000
2018-12-19,152.2900,156.2075,149.5800,150.9600,150.9600,3261060,0.0000,1.0000
2018-12-18,153.3300,154.0300,151.1500,152.1400,152.1400,2692631,0.0000,1.0000
2018-12-17,154.7300,154.9800,150.8800,151.6700,151.6700,2755024,0.0000,1.0000
2018-12-14,158.3300,158.6400,155.1200,155.5300,155.5300,2336127,0.0000,1.0000
2018-12-13,159.7900,161.0900,159.2200,160.2500,160.2500,2227080,0.0000,1.0000
2018-12-12,160.2600,161.2100,158.5300,158.6200,158.6200,2423360,0.0000,1.0000
2018-12-11,160.0000,160.8300,157.4100,158.3000,158.3000,1786296,0.0000,1.0000
2018-12-10,157.0200,158.6500,154.4100,157.7200,157.7200,2280826,0.0000,1.0000
2018-12-07,158.8800,160.7800,156.2400,157.4500,157.4500,3090006,0.0000,1.0000
2018-12-06,160.7100,161.7400,156.6400,159.2500,159.2500,6012221,0.0000,1.0000
2018-12-04,166.4600,168.3700,164.0900,164.2100,164.2100,3108890,0.0000,1.0000
2018-12-03,165.9700,167.0700,164.6800,166.8200,166.8200,2319777,0.0000,1.0000
2018-11-30,161.7700,164.5400,160.9800,164.5200,164.5200,5832783,0.0000,1.0000
2018-11-29,162.2100,162.4600,160.8100,161.0700,161.0700,2414584,0.0000,1.0000
2018-11-28,160.0100,162.3600,159.2900,162.2100,162.2100,2783964,0.0000,1.0000
2018-11-27,158.0400,159.3800,157.5050,159.1100,159.1100,1929975,0.0000,1.0000
2018-11-26,158.5400,159.4800,157.3800,158.4000,158.4000,2127521,0.0000,1.0000
2018-11-23,155.8500,157.8700,155.2500,156.9300,156.9300,938816,0.0000,1.0000
2018-11-21,160.0000,160.0000,156.7356,156.9800,156.9800,2525622,0.0000,1.0000
2018-11-20,160.2000,160.9700,157.7400,158.9000,158.9000,2224934,0.0000,1.0000
2018-11-19,164.5000,165.9400,162.1100,162.7700,162.7700,2194401,0.0000,1.0000
2018-11-16,161.7100,165.8300,161.6900,165.0000,165.0000,3218494,0.0000,1.0000
2018-11-15,159.9200,162.9450,159.4300,162.4900,162.4900,2561844,0.0000,1.0000
2018-11-14,163.2200,163.4000,159.3750,160.2900,160.2900,2819857,0.0000,1.0000
2018-11-13,162.6700,163.8400,160.9300,161.4500,161.4500,1486838,0.0000,1.0000
2018-11-12,164.5200,164.9500,162.3200,162.4400,162.4400,2263821,0.0000,1.0000
2018-11-09,164.0300,165.6500,163.1400,165.1500,165.1500,1882106,0.0000,1.0000
2018-11-08,162.8700,164.5400,162.8650,164.5000,164.5000,1294401,0.0000,1.0000
2018-11-07,160.0000,163.9900,159.9900,163.8700,163.8700,2278443,0.0000,1.0000
2018-11-06,158.9600,159.9700,158.7000,159.4200,159.4200,1364695,0.0000,1.0000
2018-11-05,157.6300,158.9600,156.7300,158.6000,158.6000,1705213,0.0000,1.0000
2018-11-02,158.9400,160.6700,155.9900,157.3900,157.3900,1998622,0.0000,1.0000
2018-11-01,157.9000,159.2100,157.4400,158.5800,158.5800,1771649,0.0000,1.0000
2018-10-31,156.2200,159.4500,156.0300,157.6200,157.6200,2414896,0.0000,1.0000
2018-10-30,153.4400,154.8600,152.3100,154.6200,154.6200,2296448,0.0000,1.0000
2018-10-29,156.0500,156.6400,150.6300,152.7400,152.7400,1909227,0.0000,1.0000
2018-10-26,154.3000,156.0800,152.8600,154.4500,154.4500,2472543,0.0000,1.0000
2018-10-25,155.4000,157.9550,154.8800,156.9200,156.9200,2313661,0.0000,1.0000
2018-10-24,157.8700,158.4400,152.9973,153.1200,153.1200,2473910,0.0000,1.0000
2018-10-23,156.7000,159.3150,155.5800,158.0900,158.0900,2204021,0.0000,1.0000
2018-10-22,158.0900,160.2900,157.0300,159.5500,159.5500,1958279,0.0000,1.0000
2018-10-19,156.0100,158.6500,155.4300,158.2800,158.2800,2426068,0.0000,1.0000
2018-10-18,158.4400,158.4400,155.1700,156.2000,156.2000,2195976,0.0000,1.0000
2018-10-17,159.1500,160.3600,157.8000,158.9000,158.9000,2687245,1.4600,1.0000
2018-10-16,159.5700,161.8800,158.9025,161.2000,159.7324,2830210,0.0000,1.0000
2018-10-15,158.9400,159.6150,157.8400,157.9200,156.4822,1945054,0.0000,1.0000
2018-10-12,159.5900,160.2290,157.3900,159.4400,157.9884,3376260,0.0000,1.0000
2018-10-11,161.1200,161.5361,155.1100,156.0000,154.5797,4752820,0.0000,1.0000
2018-10-10,168.5000,168.6300,161.5800,161.7400,160.2674,2972259,0.0000,1.0000
2018-10-09,169.2100,169.8800,168.1100,168.8000,167.2632,2027962,0.0000,1.0000
2018-10-08,170.3400,171.7400,168.6500,169.9000,168.3531,1693593,0.0000,1.0000
2018-10-05,171.5300,172.1500,170.1100,171.2300,169.6710,1485784,0.0000,1.0000
2018-10-04,173.8700,174.1400,170.4800,171.8600,170.2953,1779076,0.0000,1.0000
2018-10-03,173.7200,174.8200,173.6600,174.1400,172.5545,1655453,0.0000,1.0000
2018-10-02,173.1200,173.5600,172.5100,173.1500,171.5736,1762652,0.0000,1.0000
2018-10-01,171.1400,174.1800,171.1050,173.5100,171.9303,2336750,0.0000,1.0000
2018-09-28,169.9900,170.8000,169.0600,170.2000,168.6504,2384530,0.0000,1.0000
2018-09-27,168.9300,173.9300,168.7000,170.0500,168.5018,3112787,0.0000,1.0000
2018-09-26,173.0700,174.5500,172.4600,172.9700,171.3952,2623883,0.0000,1.0000
2018-09-25,173.5400,174.5000,172.4300,172.8200,171.2466,1979932,0.0000,1.0000
2018-09-24,173.0600,173.2500,172.2400,172.6300,171.0583,2074748,0.0000,1.0000
2018-09-21,174.7500,175.6400,173.8700,174.1900,172.6041,4743162,0.0000,1.0000
2018-09-20,173.9000,174.3900,173.2600,174.1300,172.5446,1818942,0.0000,1.0000
2018-09-19,172.8200,173.3100,171.8500,173.1400,171.5636,1531068,0.0000,1.0000
2018-09-18,171.1400,172.8250,171.0600,172.4100,170.8403,2078415,0.0000,1.0000
