timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,258.8900,259.9000,256.1900,258.3900,258.3900,3492061,0.0000,1.0000
2019-02-08,251.3900,257.0500,250.6400,257.0000,257.0000,2756758,0.0000,1.0000
2019-02-07,251.3300,254.3100,250.2800,253.7400,253.7400,2099743,0.0000,1.0000
2019-02-06,255.0600,255.9300,250.7100,254.3500,254.3500,2539068,0.0000,1.0000
2019-02-05,256.7400,258.5600,254.0100,254.8200,254.8200,3041982,0.0000,1.0000
2019-02-04,248.5600,256.9900,248.0600,254.7400,254.7400,3705123,0.0000,1.0000
2019-02-01,247.8200,251.0350,246.1000,247.3800,247.3800,3033305,0.0000,1.0000
2019-01-31,243.0000,249.0000,243.0000,247.8200,247.8200,5007179,0.0000,1.0000
2019-01-30,240.1600,243.0000,238.8700,242.6700,242.6700,2483107,0.0000,1.0000
2019-01-29,241.8100,242.8653,237.2700,238.2700,238.2700,1937089,0.0000,1.0000
2019-01-28,241.0000,243.2200,239.3500,241.8500,241.8500,2110409,0.0000,1.0000
2019-01-25,244.9900,247.1000,243.4300,244.9500,244.9500,3821429,0.0000,1.0000
2019-01-24,245.6200,245.9800,241.1800,242.5600,242.5600,3642950,0.0000,1.0000
2019-01-23,244.9100,248.1600,240.5963,245.1400,245.1400,2031718,0.0000,1.0000
2019-01-22,245.1300,245.6083,241.1900,243.8500,243.8500,4155486,0.0000,1.0000
2019-01-18,247.4500,250.6800,244.4500,247.5100,247.5100,3711300,0.0000,1.0000
2019-01-17,240.1300,245.0400,238.7801,244.4000,244.4000,2836201,0.0000,1.0000
2019-01-16,243.6000,244.0000,239.6800,241.9500,241.9500,2885155,0.0000,1.0000
2019-01-15,237.9000,243.9300,237.2552,242.3600,242.3600,3656486,0.0000,1.0000
2019-01-14,235.3300,236.2550,231.9587,234.5600,234.5600,2607012,0.0000,1.0000
2019-01-11,235.7100,239.3200,235.2300,237.5500,237.5500,3179485,0.0000,1.0000
2019-01-10,233.7700,238.0400,231.7100,237.7700,237.7700,2704960,0.0000,1.0000
