,timestamp1,open1,high1,low1,close1,symbol
0,2019-02-11,147.19,147.74,146.79,147.51,ADP
1,2019-02-08,144.32,146.85,144.04,146.81,ADP
2,2019-02-07,144.02,145.89,143.93,145.68,ADP
3,2019-02-06,145.0,146.09,144.6,145.54,ADP
4,2019-02-05,145.02,145.49,144.12,145.29,ADP
5,2019-02-04,141.73,143.69,141.39,143.63,ADP
6,2019-02-01,139.71,141.69,139.71,141.62,ADP
7,2019-01-31,138.83,141.15,138.125,139.84,ADP
8,2019-01-30,137.0,140.79,135.01,139.41,ADP
9,2019-01-29,135.37,135.88,133.76,134.0,ADP
10,2019-01-28,134.96,135.73,134.29,135.5,ADP
11,2019-01-25,136.02,136.74,135.26,136.41,ADP
12,2019-01-24,134.66,135.715,133.87,134.75,ADP
13,2019-01-23,133.62,134.6299,132.65,134.42,ADP
14,2019-01-22,133.99,134.52,132.04,133.17,ADP
15,2019-01-18,134.25,135.38,133.04,135.18,ADP
16,2019-01-17,132.13,133.75,132.0495,132.94,ADP
17,2019-01-16,132.66,133.55,131.84,132.76,ADP
18,2019-01-15,130.95,133.22,130.95,132.33,ADP
19,2019-01-14,130.16,131.65,130.0,130.9,ADP
20,2019-01-11,131.8,132.0,130.67,131.65,ADP
21,2019-01-10,130.52,132.58,130.5085,132.46,ADP
22,2019-01-09,131.86,131.86,129.47,131.42,ADP
23,2019-01-08,131.48,132.4275,129.06,131.3,ADP
24,2019-01-07,130.99,132.1539,129.5,130.53,ADP
25,2019-01-04,128.39,131.39,127.5368,131.24,ADP
26,2019-01-03,128.51,129.3,126.06,126.21,ADP
27,2019-01-02,129.16,130.78,128.61,130.14,ADP
28,2018-12-31,130.08,131.18,129.35,131.12,ADP
29,2018-12-28,130.09,131.26,127.76,129.23,ADP
30,2018-12-27,125.57,129.76,124.4706,129.73,ADP
31,2018-12-26,123.28,127.78,121.4,127.7,ADP
32,2018-12-24,125.02,126.25,121.83,121.95,ADP
33,2018-12-21,129.75,131.96,125.17,125.37,ADP
34,2018-12-20,129.73,131.13,128.2579,130.29,ADP
35,2018-12-19,129.92,134.14,128.85,130.33,ADP
36,2018-12-18,133.76,134.49,129.4,130.0,ADP
37,2018-12-17,134.67,135.92,131.63,132.47,ADP
38,2018-12-14,136.71,137.4,134.595,134.82,ADP
39,2018-12-13,139.57,139.57,136.75,138.2,ADP
40,2018-12-12,142.49,142.63,139.45,139.57,ADP
41,2018-12-11,141.71,142.35,138.71,139.99,ADP
42,2018-12-10,139.63,140.291,136.685,139.73,ADP
43,2018-12-07,142.2,143.51,138.7,139.33,ADP
44,2018-12-06,141.89,143.23,138.293,143.18,ADP
45,2018-12-04,147.04,147.7,143.18,143.61,ADP
46,2018-12-03,149.19,149.67,145.38,147.41,ADP
47,2018-11-30,146.21,147.56,145.8,147.42,ADP
48,2018-11-29,147.7,148.135,145.71,145.85,ADP
49,2018-11-28,145.89,148.66,145.49,148.61,ADP
50,2018-11-27,143.93,145.33,142.8425,145.32,ADP
51,2018-11-26,142.83,144.74,142.02,144.65,ADP
