timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,147.1900,147.7400,146.7900,147.5100,147.5100,1931903,0.0000,1.0000
2019-02-08,144.3200,146.8500,144.0400,146.8100,146.8100,1711997,0.0000,1.0000
2019-02-07,144.0200,145.8900,143.9300,145.6800,145.6800,2638193,0.0000,1.0000
2019-02-06,145.0000,146.0900,144.6000,145.5400,145.5400,2039649,0.0000,1.0000
2019-02-05,145.0200,145.4900,144.1200,145.2900,145.2900,2802391,0.0000,1.0000
2019-02-04,141.7300,143.6900,141.3900,143.6300,143.6300,2848005,0.0000,1.0000
2019-02-01,139.7100,141.6900,139.7100,141.6200,141.6200,2940936,0.0000,1.0000
2019-01-31,138.8300,141.1500,138.1250,139.8400,139.8400,5836557,0.0000,1.0000
2019-01-30,137.0000,140.7900,135.0100,139.4100,139.4100,3734452,0.0000,1.0000
2019-01-29,135.3700,135.8800,133.7600,134.0000,134.0000,1726504,0.0000,1.0000
2019-01-28,134.9600,135.7300,134.2900,135.5000,135.5000,1930622,0.0000,1.0000
2019-01-25,136.0200,136.7400,135.2600,136.4100,136.4100,1710183,0.0000,1.0000
2019-01-24,134.6600,135.7150,133.8700,134.7500,134.7500,1903188,0.0000,1.0000
2019-01-23,133.6200,134.6299,132.6500,134.4200,134.4200,1923032,0.0000,1.0000
2019-01-22,133.9900,134.5200,132.0400,133.1700,133.1700,2908933,0.0000,1.0000
2019-01-18,134.2500,135.3800,133.0400,135.1800,135.1800,2281016,0.0000,1.0000
2019-01-17,132.1300,133.7500,132.0495,132.9400,132.9400,2194832,0.0000,1.0000
2019-01-16,132.6600,133.5500,131.8400,132.7600,132.7600,2080991,0.0000,1.0000
2019-01-15,130.9500,133.2200,130.9500,132.3300,132.3300,3286146,0.0000,1.0000
2019-01-14,130.1600,131.6500,130.0000,130.9000,130.9000,1787819,0.0000,1.0000
2019-01-11,131.8000,132.0000,130.6700,131.6500,131.6500,1185704,0.0000,1.0000
2019-01-10,130.5200,132.5800,130.5085,132.4600,132.4600,2051891,0.0000,1.0000
