timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,92.8100,92.8100,91.5200,92.5300,92.5300,2416770,0.0000,1.0000
2019-02-08,91.9100,92.5200,91.1200,92.4600,92.4600,2477205,0.0000,1.0000
2019-02-07,92.4200,93.2200,91.3800,92.3300,92.3300,4812352,0.0000,1.0000
2019-02-06,90.8900,92.6650,90.0000,92.5600,92.5600,4553461,0.0000,1.0000
2019-02-05,89.0000,89.1600,88.4500,88.9600,88.9600,2143167,0.0000,1.0000
2019-02-04,88.8000,88.9650,88.2600,88.8000,88.8000,2119639,0.0000,1.0000
2019-02-01,88.3000,88.8800,88.0000,88.8200,88.8200,1967171,0.0000,1.0000
2019-01-31,86.8400,88.0500,86.8100,87.8700,87.8700,1719964,0.0000,1.0000
2019-01-30,86.8600,87.7300,86.1250,87.3400,87.3400,2221618,0.0000,1.0000
2019-01-29,86.4100,87.2000,86.4100,86.7800,86.7800,2383962,0.0000,1.0000
2019-01-28,85.9000,86.5400,85.5500,86.4900,86.4900,2195031,0.0000,1.0000
2019-01-25,86.5800,86.9300,85.9500,86.1500,86.1500,1735737,0.0000,1.0000
2019-01-24,85.8300,86.5800,85.4400,86.2500,86.2500,2086578,0.0000,1.0000
2019-01-23,86.0100,86.4750,84.6600,85.8900,85.8900,1804184,0.0000,1.0000
2019-01-22,85.4200,86.4200,85.3498,85.8600,85.8600,3783435,0.0000,1.0000
2019-01-18,84.9300,85.9300,84.6000,85.7000,85.7000,5067507,0.0000,1.0000
2019-01-17,84.4100,84.9000,84.2100,84.5700,84.5700,3475751,0.0000,1.0000
2019-01-16,84.5700,85.1300,84.2100,84.5400,84.5400,2727538,0.0000,1.0000
2019-01-15,84.1600,84.4900,83.6300,84.2300,84.2300,2553890,0.0000,1.0000
2019-01-14,83.0300,83.9850,82.9600,83.8000,83.8000,1868034,0.0000,1.0000
2019-01-11,83.1100,83.8500,82.6000,83.4500,83.4500,1821657,0.0000,1.0000
2019-01-10,83.1300,83.6200,82.7800,83.5400,83.5400,1617916,0.0000,1.0000
2019-01-09,82.9900,83.8000,82.9900,83.1600,83.1600,3309927,0.0000,1.0000
2019-01-08,83.2400,83.5200,81.6300,82.5300,82.5300,2627545,0.0000,1.0000
2019-01-07,82.1200,83.2900,82.1200,82.5400,82.5400,4135771,0.0000,1.0000
2019-01-04,81.3800,82.8500,81.2300,82.6700,82.6700,3061564,0.0000,1.0000
2019-01-03,81.2300,81.4300,80.2100,80.3000,80.3000,3034866,0.0000,1.0000
2019-01-02,81.4400,82.0700,81.1600,81.6400,81.6400,2208003,0.0000,1.0000
2018-12-31,82.2400,82.8099,81.5300,82.6300,82.6300,1775325,0.0000,1.0000
2018-12-28,82.2300,82.9800,81.6300,82.0200,82.0200,2235965,0.0000,1.0000
2018-12-27,79.8000,81.8600,79.1700,81.7900,81.7900,2851752,0.0000,1.0000
2018-12-26,77.5500,80.9400,77.0000,80.8000,80.8000,2452048,0.0000,1.0000
2018-12-24,79.3500,79.8000,77.1800,77.2700,77.2700,1429325,0.0000,1.0000
2018-12-21,79.8100,81.9500,79.3300,79.8500,79.8500,4347597,0.0000,1.0000
2018-12-20,80.5600,81.1200,79.4500,79.8100,79.8100,3320720,0.0000,1.0000
2018-12-19,81.5900,82.9400,80.4000,80.9800,80.9800,3081016,0.0000,1.0000
2018-12-18,81.3200,82.6100,81.0100,81.5100,81.5100,3304444,0.0000,1.0000
2018-12-17,79.1700,81.2900,78.8600,80.1600,80.1600,3903676,0.0000,1.0000
2018-12-14,79.7400,80.3800,78.9400,79.3000,79.3000,2274805,0.0000,1.0000
