timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,39.9700,40.1900,39.3300,39.9000,39.9000,9888611,0.0000,1.0000
2019-02-08,39.3000,39.8000,38.7300,39.7800,39.7800,9891633,0.0000,1.0000
2019-02-07,39.7300,40.3250,39.5600,39.9200,39.9200,13395629,0.0000,1.0000
2019-02-06,39.2900,40.7100,39.2000,40.2800,40.2800,21058321,0.0000,1.0000
2019-02-05,38.8800,39.2900,38.6000,39.1200,39.1200,13240190,0.0000,1.0000
2019-02-04,39.1600,39.3100,38.4500,38.9000,38.9000,12458413,0.0000,1.0000
2019-02-01,39.0800,39.9700,39.0800,39.3100,39.3100,11091030,0.0000,1.0000
2019-01-31,39.2800,39.7500,38.7200,39.0800,39.0800,11588866,0.0000,1.0000
2019-01-30,38.6100,40.0000,38.4900,39.6000,39.6000,12546186,0.0000,1.0000
2019-01-29,39.2700,39.3500,37.8400,38.2000,38.2000,8754569,0.0000,1.0000
2019-01-28,37.6200,38.9500,37.5200,38.7000,38.7000,12459608,0.0000,1.0000
2019-01-25,38.5300,39.4800,38.3100,39.1900,39.1900,17553661,0.0000,1.0000
2019-01-24,36.1800,37.9150,36.0100,37.8200,37.8200,21529913,0.0000,1.0000
2019-01-23,34.7100,34.9400,33.7050,34.3100,34.3100,9560203,0.0000,1.0000
2019-01-22,35.3200,35.3700,34.1200,34.4400,34.4400,10047367,0.0000,1.0000
2019-01-18,34.9600,36.3200,34.6300,35.7100,35.7100,11332673,0.0000,1.0000
2019-01-17,33.5000,34.7100,33.2500,34.5400,34.5400,10260695,0.0000,1.0000
2019-01-16,33.9200,34.2700,33.5600,33.6400,33.6400,6778947,0.0000,1.0000
2019-01-15,34.0900,34.3250,33.4000,33.7500,33.7500,6593914,0.0000,1.0000
2019-01-14,34.1900,34.3000,33.4100,33.8600,33.8600,9552417,0.0000,1.0000
2019-01-11,34.4200,35.3150,34.1900,34.7800,34.7800,6449679,0.0000,1.0000
2019-01-10,34.0800,34.8200,33.8900,34.7600,34.7600,7573577,0.0000,1.0000
2019-01-09,33.3200,34.8400,33.2900,34.3000,34.3000,11757089,0.0000,1.0000
2019-01-08,34.7199,34.7199,32.6700,32.9100,32.9100,12485267,0.0000,1.0000
2019-01-07,33.8000,34.7965,33.6350,34.3000,34.3000,13868845,0.0000,1.0000
2019-01-04,32.2600,33.8500,32.2100,33.7000,33.7000,15631771,0.0000,1.0000
2019-01-03,32.7300,33.2500,31.4800,31.5400,31.5400,21580709,0.0000,1.0000
2019-01-02,32.0400,33.7900,32.0025,33.4800,33.4800,11106343,0.0000,1.0000
2018-12-31,32.7100,33.0000,32.2000,32.7400,32.7400,9697064,0.0000,1.0000
2018-12-28,31.6600,33.0600,31.6600,32.3800,32.3800,13043225,0.0000,1.0000
2018-12-27,30.2200,31.5700,30.1225,31.5500,31.5500,10920213,0.0000,1.0000
2018-12-26,29.3800,30.6700,28.7900,30.6400,30.6400,13325637,0.0000,1.0000
2018-12-24,30.0000,30.3200,28.9600,28.9900,28.9900,10464918,0.0000,1.0000
2018-12-21,30.8900,31.8300,30.2500,30.3100,30.3100,24878449,0.0000,1.0000
2018-12-20,31.9000,32.2500,30.7800,30.9000,30.9000,16178261,0.0000,1.0000
2018-12-19,32.7300,33.7600,31.3600,31.5300,31.5300,14660018,0.0000,1.0000
2018-12-18,33.0700,34.3150,32.8900,33.2800,33.2800,13636650,0.0000,1.0000
2018-12-17,32.5200,33.7622,32.5150,32.6700,32.6700,12262149,0.0000,1.0000
2018-12-14,33.1900,33.5100,32.6300,32.6500,32.6500,10822900,0.0000,1.0000
2018-12-13,34.4500,34.4900,33.5350,33.7100,33.7100,9675687,0.0000,1.0000
2018-12-12,34.5900,34.9900,33.9500,34.2000,34.2000,11895523,0.0000,1.0000
2018-12-11,34.7600,35.3800,33.9600,34.0200,34.0200,13436876,0.0000,1.0000
2018-12-10,33.6400,34.3100,33.4500,34.1700,34.1700,10337813,0.0000,1.0000
2018-12-07,34.4500,34.8300,33.5900,33.6400,33.6400,15636743,0.0000,1.0000
2018-12-06,34.6300,34.8762,33.9800,34.6900,34.6900,17391745,0.0000,1.0000
2018-12-04,38.0000,38.0650,35.1533,35.4300,35.4300,21733036,0.0000,1.0000
2018-12-03,38.3000,38.6414,37.7800,38.3400,38.3400,14370461,0.0000,1.0000
2018-11-30,36.4700,37.2800,36.3300,37.2800,37.2800,13387032,0.0000,1.0000
2018-11-29,36.7900,37.0900,36.2800,36.5400,36.5400,7934255,0.0000,1.0000
2018-11-28,36.3600,37.1300,35.5500,37.1100,37.1100,12038829,0.0000,1.0000
2018-11-27,35.6500,36.6000,35.3726,36.0000,36.0000,11117798,0.0000,1.0000
2018-11-26,35.5700,36.0500,35.1300,36.0100,36.0100,11741184,0.0000,1.0000
2018-11-23,34.8600,35.6100,34.8000,35.0500,35.0500,5203199,0.0000,1.0000
2018-11-21,36.1700,36.2800,35.1250,35.1900,35.1900,11659631,0.2000,1.0000
2018-11-20,33.3400,36.9200,33.1400,35.7700,35.5679,25487053,0.0000,1.0000
2018-11-19,35.2400,35.6700,34.2800,34.4200,34.2255,15052129,0.0000,1.0000
2018-11-16,32.1500,35.8200,32.0700,35.4000,35.1999,28075252,0.0000,1.0000
2018-11-15,33.3200,35.5000,33.2400,35.0200,34.8221,15175711,0.0000,1.0000
2018-11-14,33.8000,34.3900,33.2000,33.5800,33.3902,9513534,0.0000,1.0000
2018-11-13,32.9500,34.0600,32.7000,33.4900,33.3007,11847527,0.0000,1.0000
2018-11-12,33.7300,33.8000,32.4600,32.6200,32.4357,10618005,0.0000,1.0000
2018-11-09,34.5000,34.6300,33.8300,34.2800,34.0863,11136386,0.0000,1.0000
2018-11-08,34.8000,35.6150,34.7500,34.9400,34.7425,9029932,0.0000,1.0000
2018-11-07,35.2600,35.2700,34.5300,35.2500,35.0508,11028834,0.0000,1.0000
2018-11-06,34.1600,34.9200,34.1000,34.8700,34.6729,6816354,0.0000,1.0000
2018-11-05,35.3200,35.3900,33.7500,34.3200,34.1260,7785301,0.0000,1.0000
2018-11-02,35.8100,36.0200,34.7200,35.2700,35.0707,11959729,0.0000,1.0000
2018-11-01,32.9800,35.4450,32.9100,35.3500,35.1502,14184187,0.0000,1.0000
2018-10-31,32.9000,33.2600,32.2200,32.8800,32.6942,12942914,0.0000,1.0000
2018-10-30,31.2000,32.4600,31.1000,32.4200,32.2368,15142342,0.0000,1.0000
2018-10-29,32.6500,32.7500,30.5300,31.1200,30.9441,14150426,0.0000,1.0000
2018-10-26,31.7100,32.9900,31.5700,32.3600,32.1771,13317229,0.0000,1.0000
2018-10-25,32.2100,32.9400,32.0900,32.6400,32.4555,12494844,0.0000,1.0000
2018-10-24,33.1000,33.6100,31.7800,31.8100,31.6302,14457683,0.0000,1.0000
2018-10-23,32.1100,33.9400,32.1100,33.5200,33.3306,16111616,0.0000,1.0000
2018-10-22,34.3900,34.5400,33.1500,33.5300,33.3405,13210064,0.0000,1.0000
2018-10-19,34.1700,34.8100,33.8900,34.2900,34.0962,14616465,0.0000,1.0000
2018-10-18,34.8000,34.8900,33.7700,33.9200,33.7283,12345718,0.0000,1.0000
2018-10-17,36.0200,36.0800,34.8900,34.9600,34.7624,15149171,0.0000,1.0000
2018-10-16,33.9000,34.8000,33.7200,34.7600,34.5636,11705458,0.0000,1.0000
2018-10-15,33.4400,33.8500,33.0500,33.4300,33.2411,10151015,0.0000,1.0000
2018-10-12,33.8500,34.3400,33.3300,33.6900,33.4996,16781796,0.0000,1.0000
2018-10-11,34.3600,34.8000,32.7800,32.7900,32.6047,31702133,0.0000,1.0000
2018-10-10,35.0000,35.6900,34.0900,34.4300,34.2354,23974649,0.0000,1.0000
2018-10-09,36.5300,36.5800,35.6900,35.7200,35.5181,13392674,0.0000,1.0000
2018-10-08,37.0000,37.3000,36.3100,36.5900,36.3832,10259517,0.0000,1.0000
2018-10-05,37.8200,38.0500,36.9800,37.2400,37.0295,9790160,0.0000,1.0000
2018-10-04,38.5700,38.7100,37.5000,37.8900,37.6759,12199141,0.0000,1.0000
2018-10-03,39.1500,39.6500,38.6900,38.9200,38.7001,7441693,0.0000,1.0000
2018-10-02,38.3300,39.3600,38.1700,38.9000,38.6802,9626512,0.0000,1.0000
2018-10-01,38.5000,38.7700,38.0500,38.3400,38.1233,10336989,0.0000,1.0000
2018-09-28,38.2700,39.3400,38.1200,38.6500,38.4316,11751213,0.0000,1.0000
2018-09-27,38.3100,38.7400,38.0700,38.3500,38.1333,7146395,0.0000,1.0000
2018-09-26,38.1000,38.8700,38.0800,38.2600,38.0438,10927959,0.0000,1.0000
2018-09-25,39.1500,39.2300,38.5100,38.5800,38.3620,9222511,0.0000,1.0000
2018-09-24,39.2400,39.5000,38.8600,39.1000,38.8790,10678815,0.0000,1.0000
2018-09-21,39.3300,39.9570,39.1520,39.6300,39.4060,20729489,0.0000,1.0000
2018-09-20,39.2800,39.8400,39.1800,39.3900,39.1674,12464240,0.0000,1.0000
2018-09-19,39.3900,39.4700,38.8500,39.0400,38.8194,8213411,0.0000,1.0000
2018-09-18,38.8500,39.4300,38.7650,39.1900,38.9685,9846287,0.0000,1.0000
