timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,17.3000,17.9400,17.3000,17.4900,17.4900,8884049,0.0000,1.0000
2019-02-08,18.1000,18.2000,16.6600,17.1000,17.1000,9983061,0.0000,1.0000
2019-02-07,18.2300,18.2800,17.3400,17.6800,17.6800,6946433,0.0600,1.0000
2019-02-06,18.3600,18.8700,17.8500,18.3200,18.2580,10542128,0.0000,1.0000
2019-02-05,18.7600,18.9900,18.6750,18.8100,18.7464,3252352,0.0000,1.0000
2019-02-04,18.5100,18.7400,18.3400,18.7300,18.6667,4693016,0.0000,1.0000
2019-02-01,18.8800,18.9900,18.4050,18.5000,18.4374,5306729,0.0000,1.0000
2019-01-31,18.6400,18.9500,18.6233,18.8200,18.7563,3723182,0.0000,1.0000
2019-01-30,18.6500,18.9300,18.3000,18.7100,18.6467,4591910,0.0000,1.0000
2019-01-29,18.4000,18.6790,18.3150,18.3900,18.3278,5557849,0.0000,1.0000
2019-01-28,18.3000,18.5200,18.0550,18.2600,18.1982,3779226,0.0000,1.0000
2019-01-25,18.6000,18.9000,18.5000,18.5400,18.4773,7882613,0.0000,1.0000
2019-01-24,18.0500,18.5600,17.5900,18.4000,18.3378,7354723,0.0000,1.0000
2019-01-23,17.2800,18.3000,17.2800,18.0500,17.9890,13053946,0.0000,1.0000
2019-01-22,16.7000,17.4900,16.1201,17.0900,17.0322,42345741,0.0000,1.0000
2019-01-18,20.3700,20.6100,20.2200,20.3400,20.2712,6283780,0.0000,1.0000
2019-01-17,20.0000,20.3700,20.0000,20.1800,20.1117,5380253,0.0000,1.0000
2019-01-16,20.1000,20.3700,19.8300,20.1000,20.0320,5559295,0.0000,1.0000
2019-01-15,19.3300,20.3000,19.0300,20.0700,20.0021,12646714,0.0000,1.0000
2019-01-14,19.2900,19.5300,19.0400,19.3700,19.3045,3822469,0.0000,1.0000
2019-01-11,19.3500,19.7900,19.3500,19.6800,19.6134,2762481,0.0000,1.0000
2019-01-10,19.4300,19.7200,18.9500,19.6100,19.5437,3849138,0.0000,1.0000
2019-01-09,19.7200,19.8200,19.4700,19.5200,19.4540,3162637,0.0000,1.0000
2019-01-08,19.6300,19.7600,19.4300,19.4700,19.4041,4085230,0.0000,1.0000
2019-01-07,18.9300,19.5000,18.7800,19.4100,19.3444,4690114,0.0000,1.0000
2019-01-04,18.6700,19.3500,18.6200,18.9600,18.8959,5840583,0.0000,1.0000
2019-01-03,18.5900,18.6200,18.0000,18.4300,18.3677,6114018,0.0000,1.0000
2019-01-02,16.6500,18.6000,16.5400,18.5600,18.4972,11174944,0.0000,1.0000
2018-12-31,16.7800,16.9100,16.3500,16.8600,16.8030,5099573,0.0000,1.0000
2018-12-28,17.1000,17.2600,16.6900,16.7600,16.7033,2868970,0.0000,1.0000
2018-12-27,16.5800,17.0400,16.2450,17.0300,16.9724,3833370,0.0000,1.0000
2018-12-26,16.2900,16.8400,15.6300,16.8400,16.7830,4761034,0.0000,1.0000
2018-12-24,16.7300,16.8400,16.1000,16.1400,16.0854,2468228,0.0000,1.0000
2018-12-21,17.5000,17.9500,16.9100,16.9800,16.9226,10688479,0.0000,1.0000
2018-12-20,18.0900,18.1600,17.2900,17.5600,17.5006,6014986,0.0000,1.0000
2018-12-19,18.6700,18.9900,17.8500,17.9200,17.8594,5334311,0.0000,1.0000
2018-12-18,19.3800,19.5500,18.6100,18.7000,18.6368,4578278,0.0000,1.0000
2018-12-17,19.6600,20.0553,18.9600,19.1500,19.0852,5956808,0.0000,1.0000
2018-12-14,19.8000,20.1800,19.6500,19.7400,19.6732,6389098,0.0000,1.0000
2018-12-13,20.3000,20.4900,19.8150,19.9400,19.8726,2903423,0.0000,1.0000
2018-12-12,20.5000,20.6157,20.1700,20.2600,20.1915,4298264,0.0000,1.0000
2018-12-11,20.3200,20.6700,19.8150,20.1400,20.0719,3734910,0.0000,1.0000
2018-12-10,20.2300,20.3500,19.4800,19.8900,19.8227,5585428,0.0000,1.0000
2018-12-07,20.5500,20.7800,20.2100,20.2900,20.2214,4059046,0.0000,1.0000
2018-12-06,20.3800,20.7100,20.1700,20.5300,20.4606,5165097,0.0000,1.0000
2018-12-04,21.5200,21.6700,20.5900,20.8500,20.7795,4588512,0.0000,1.0000
2018-12-03,21.5800,21.7400,21.0600,21.5200,21.4472,6172177,0.0000,1.0000
2018-11-30,21.2600,21.4900,20.9300,21.4800,21.4074,4514506,0.0000,1.0000
2018-11-29,20.7500,21.6900,20.5503,21.3400,21.2678,8138241,0.0000,1.0000
2018-11-28,20.4500,20.9700,20.3200,20.8200,20.7496,3230888,0.0000,1.0000
2018-11-27,20.2600,20.4100,20.0100,20.3800,20.3111,4917013,0.0000,1.0000
2018-11-26,20.7100,20.7717,20.3150,20.4600,20.3908,2679664,0.0000,1.0000
2018-11-23,20.3600,20.5500,20.2900,20.5000,20.4307,1396007,0.0000,1.0000
2018-11-21,19.9800,20.5400,19.8100,20.4900,20.4207,4984133,0.0000,1.0000
2018-11-20,19.9800,20.3500,19.7500,19.8400,19.7729,4504962,0.0000,1.0000
