,timestamp1,open1,high1,low1,close1,symbol
0,2019-02-11,76.0,76.39,75.7475,76.08,A
1,2019-02-08,75.07,75.81,74.76,75.8,A
2,2019-02-07,75.72,76.12,74.87,75.33,A
3,2019-02-06,76.11,76.69,76.0,76.3,A
4,2019-02-05,75.8,76.51,75.79,76.31,A
5,2019-02-04,76.18,76.23,75.32,76.03,A
6,2019-02-01,76.16,76.59,75.62,76.04,A
7,2019-01-31,75.21,76.31,74.67,76.05,A
8,2019-01-30,73.74,75.59,73.48,75.44,A
9,2019-01-29,73.7,74.06,73.2,73.56,A
10,2019-01-28,72.76,73.28,72.41,73.27,A
11,2019-01-25,72.79,73.73,72.56,73.65,A
12,2019-01-24,71.46,72.2,71.39,72.18,A
13,2019-01-23,71.95,72.85,70.74,71.65,A
14,2019-01-22,71.44,71.48,70.47,71.32,A
15,2019-01-18,71.29,72.31,70.85,71.93,A
16,2019-01-17,69.76,71.24,69.76,70.82,A
17,2019-01-16,70.82,71.13,69.975,70.03,A
18,2019-01-15,69.95,70.75,69.62,70.6,A
19,2019-01-14,69.72,70.29,69.67,69.75,A
20,2019-01-11,69.29,70.41,68.94,70.38,A
21,2019-01-10,69.05,69.95,68.6,69.9,A
22,2019-01-09,68.2,69.66,67.995,69.25,A
23,2019-01-08,67.59,68.21,66.7,67.83,A
24,2019-01-07,65.64,67.425,65.61,66.85,A
25,2019-01-04,64.09,65.95,64.09,65.46,A
26,2019-01-03,65.53,65.78,62.0,63.27,A
27,2019-01-02,66.5,66.57,65.3,65.69,A
28,2018-12-31,66.34,67.48,66.34,67.46,A
29,2018-12-28,66.98,67.12,65.71,65.96,A
30,2018-12-27,64.5,66.5,64.0,66.48,A
31,2018-12-26,62.93,65.58,62.76,65.54,A
32,2018-12-24,62.93,63.63,62.22,62.67,A
33,2018-12-21,65.22,66.23,63.22,63.29,A
34,2018-12-20,66.33,66.46,64.59,65.19,A
35,2018-12-19,68.27,69.09,65.81,66.83,A
36,2018-12-18,68.45,69.03,67.39,67.99,A
37,2018-12-17,69.11,69.625,67.4,67.85,A
38,2018-12-14,70.42,70.61,69.13,69.36,A
39,2018-12-13,72.14,72.68,70.9,71.14,A
40,2018-12-12,72.17,73.04,71.6,71.75,A
41,2018-12-11,71.76,72.44,70.7,71.05,A
42,2018-12-10,70.43,70.71,68.57,70.59,A
43,2018-12-07,71.71,72.09,69.65,70.25,A
44,2018-12-06,71.2,71.93,69.9,71.91,A
45,2018-12-04,74.7,75.115,72.63,72.91,A
46,2018-12-03,73.33,74.79,73.19,74.67,A
47,2018-11-30,71.63,72.645,71.34,72.35,A
48,2018-11-29,71.23,72.18,71.23,71.57,A
49,2018-11-28,69.82,71.485,69.43,71.48,A
50,2018-11-27,68.87,69.52,68.7,69.36,A
51,2018-11-26,68.94,69.3,68.39,69.25,A
52,2018-11-23,67.04,68.61,67.04,68.21,A
53,2018-11-21,67.66,68.67,67.19,67.72,A
54,2018-11-20,66.25,68.4324,64.93,67.52,A
55,2018-11-19,64.67,64.96,62.4,62.61,A
56,2018-11-16,64.38,65.6,64.38,64.99,A
57,2018-11-15,63.32,64.95,62.54,64.72,A
58,2018-11-14,64.64,64.84,63.28,63.47,A
59,2018-11-13,64.59,65.47,63.94,64.34,A
60,2018-11-12,66.16,66.25,64.45,64.5,A
61,2018-11-09,67.6,67.76,66.7,67.27,A
62,2018-11-08,67.99,68.36,67.38,67.79,A
63,2018-11-07,66.51,68.38,66.275,68.26,A
64,2018-11-06,66.04,66.42,65.67,65.98,A
65,2018-11-05,66.03,66.39,65.23,65.91,A
66,2018-11-02,65.8,66.61,65.435,65.93,A
67,2018-11-01,65.07,65.34,64.585,65.22,A
68,2018-10-31,64.35,65.98,64.19,64.79,A
69,2018-10-30,62.35,63.72,61.68,63.64,A
70,2018-10-29,63.65,64.17,61.13,62.08,A
71,2018-10-26,61.82,63.11,61.13,62.73,A
72,2018-10-25,61.49,62.89,61.07,62.61,A
73,2018-10-24,62.92,63.76,61.01,61.13,A
74,2018-10-23,62.82,63.13,61.38,62.73,A
75,2018-10-22,64.69,64.84,63.54,64.28,A
76,2018-10-19,65.81,66.24,64.24,64.47,A
77,2018-10-18,67.12,67.2,65.255,65.75,A
78,2018-10-17,67.17,67.46,66.31,67.2,A
79,2018-10-16,66.25,67.57,65.99,67.46,A
80,2018-10-15,65.92,66.35,65.36,65.63,A
81,2018-10-12,66.1,67.03,65.3,66.24,A
82,2018-10-11,66.64,66.97,64.62,64.89,A
83,2018-10-10,69.41,69.41,66.61,66.67,A
84,2018-10-09,69.34,69.625,68.71,69.41,A
85,2018-10-08,69.96,70.05,68.9697,69.5,A
86,2018-10-05,70.67,71.18,69.45,70.3,A
87,2018-10-04,71.92,72.13,70.48,70.66,A
88,2018-10-03,71.68,72.37,71.6,72.12,A
89,2018-10-02,71.24,71.73,70.98,71.68,A
90,2018-10-01,70.68,71.576,70.645,71.26,A
91,2018-09-28,70.69,70.995,70.46,70.54,A
92,2018-09-27,70.58,70.85,70.1,70.8,A
93,2018-09-26,70.57,70.99,70.05,70.33,A
94,2018-09-25,70.17,70.835,69.91,70.38,A
95,2018-09-24,70.68,70.68,69.7,69.95,A
96,2018-09-21,71.43,71.46,70.56,70.72,A
97,2018-09-20,69.73,71.16,69.7,71.13,A
98,2018-09-19,69.04,69.64,68.875,69.56,A
99,2018-09-18,69.1,69.27,68.41,68.93,A
