timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,408.1000,409.8300,402.6900,403.9500,403.9500,3046206,0.0000,1.0000
2019-02-08,400.0000,404.9600,397.8000,404.9100,404.9100,4570946,0.0000,1.0000
2019-02-07,407.9300,410.3500,402.2900,405.1700,405.1700,5211412,2.0550,1.0000
2019-02-06,411.5100,413.8800,405.6600,411.1100,409.0354,5356025,0.0000,1.0000
2019-02-05,400.7500,410.7500,399.5500,410.1800,408.1101,7230380,0.0000,1.0000
2019-02-04,388.9700,397.0700,388.1200,397.0000,394.9966,4256562,0.0000,1.0000
2019-02-01,386.1100,392.8000,384.7263,387.4300,385.4749,5625749,0.0000,1.0000
2019-01-31,387.1600,388.9850,382.0800,385.6200,383.6740,6878455,0.0000,1.0000
2019-01-30,387.4000,391.9690,380.5000,387.7200,385.7634,12705305,0.0000,1.0000
2019-01-29,363.0700,367.7800,362.4100,364.9100,363.0685,3202652,0.0000,1.0000
2019-01-28,360.6500,363.1650,357.5000,362.9700,361.1383,3128884,0.0000,1.0000
2019-01-25,362.4900,366.9400,360.3300,364.2000,362.3621,3190425,0.0000,1.0000
2019-01-24,358.9100,363.1800,356.9000,358.2700,356.4620,2801392,0.0000,1.0000
2019-01-23,361.9100,362.1995,353.6700,358.6100,356.8003,2924874,0.0000,1.0000
2019-01-22,362.8600,364.1950,354.2300,357.9000,356.0939,4336541,0.0000,1.0000
2019-01-18,363.8800,367.3156,361.3200,364.7300,362.8894,4256505,0.0000,1.0000
2019-01-17,350.7500,363.8300,350.7300,359.0900,357.2779,4270365,0.0000,1.0000
2019-01-16,352.5000,355.0000,351.5600,352.0600,350.2834,2731082,0.0000,1.0000
2019-01-15,352.0000,353.3150,347.9800,352.2400,350.4625,2940908,0.0000,1.0000
2019-01-14,348.2000,352.8100,347.0100,350.3600,348.5920,2476367,0.0000,1.0000
2019-01-11,348.5600,354.3600,348.0900,352.9000,351.1191,3158852,0.0000,1.0000
2019-01-10,346.5100,353.4662,343.0000,352.6100,350.8306,5358117,0.0000,1.0000
2019-01-09,342.9600,347.2000,340.8669,343.8300,342.0949,4213870,0.0000,1.0000
2019-01-08,334.1100,341.2500,332.6500,340.5300,338.8116,4736472,0.0000,1.0000
2019-01-07,330.5200,330.6900,323.3500,328.1100,326.4542,4030280,0.0000,1.0000
2019-01-04,316.6900,328.4400,316.0800,327.0800,325.4294,4448759,0.0000,1.0000
2019-01-03,319.4900,319.7400,309.4000,310.9000,309.3311,5705567,0.0000,1.0000
2019-01-02,316.1900,323.9500,313.7100,323.8100,322.1759,3292204,0.0000,1.0000
2018-12-31,320.5000,323.6400,318.7500,322.5000,320.8726,3557691,0.0000,1.0000
2018-12-28,319.7400,321.5300,315.1500,316.3800,314.7834,3725171,0.0000,1.0000
2018-12-27,309.0400,317.1400,302.2400,317.1400,315.5396,4341113,0.0000,1.0000
2018-12-26,298.6100,314.0899,292.4704,313.9300,312.3458,4843401,0.0000,1.0000
2018-12-24,300.6500,303.0000,294.1600,294.1600,292.6756,3435304,0.0000,1.0000
2018-12-21,309.0900,314.9700,304.0100,304.5500,303.0131,7641721,0.0000,1.0000
2018-12-20,317.0000,321.8210,308.0000,313.0500,311.4702,5368592,0.0000,1.0000
2018-12-19,329.3300,333.4800,316.1000,319.5500,317.9374,4871468,0.0000,1.0000
2018-12-18,325.4600,332.0899,323.2000,328.0600,326.4045,5881140,0.0000,1.0000
2018-12-17,316.9100,327.2162,314.4400,316.1300,314.5347,4968366,0.0000,1.0000
2018-12-14,322.4500,323.9100,315.5600,318.7500,317.1415,3298436,0.0000,1.0000
2018-12-13,328.4000,328.7400,324.1730,325.4700,323.8276,2247706,0.0000,1.0000
2018-12-12,327.3800,331.9000,324.6600,326.6900,325.0414,3424818,0.0000,1.0000
2018-12-11,333.2500,334.4900,318.7518,322.0300,320.4049,3566436,0.0000,1.0000
2018-12-10,321.2700,327.2000,315.5100,326.3500,324.7031,4400518,0.0000,1.0000
2018-12-07,332.3500,337.6100,321.3900,323.2200,321.5889,4526264,0.0000,1.0000
2018-12-06,329.9900,333.6300,317.3000,331.9000,330.2251,9297449,0.0000,1.0000
2018-12-04,357.0000,358.3200,341.7400,342.5000,340.7716,5199096,0.0000,1.0000
2018-12-03,364.3100,369.0000,356.3700,359.9600,358.1435,6569067,0.0000,1.0000
2018-11-30,341.9400,347.5800,337.5000,346.7600,345.0101,5373981,0.0000,1.0000
2018-11-29,335.9700,343.2300,334.0600,342.5600,340.8313,5331919,0.0000,1.0000
2018-11-28,325.7200,334.0100,321.7300,333.5000,331.8170,6117572,0.0000,1.0000
2018-11-27,315.2800,318.5600,310.9600,318.0300,316.4251,2946391,0.0000,1.0000
2018-11-26,315.5600,318.5900,310.6600,316.3600,314.7635,3362345,0.0000,1.0000
2018-11-23,315.0000,317.0000,311.8710,312.3200,310.7439,1599381,0.0000,1.0000
2018-11-21,325.0700,326.8890,315.5650,317.3200,315.7187,4401044,0.0000,1.0000
2018-11-20,302.1000,322.1800,296.6100,317.7000,316.0968,6875884,0.0000,1.0000
2018-11-19,335.5500,336.0400,317.2000,320.9400,319.3204,6782767,0.0000,1.0000
2018-11-16,339.0000,340.1904,331.1600,335.9500,334.2547,4425161,0.0000,1.0000
2018-11-15,341.1200,347.9800,336.5100,341.5700,339.8463,4863046,0.0000,1.0000
2018-11-14,352.0900,355.8500,343.8900,344.7200,342.9804,3445838,0.0000,1.0000
2018-11-13,349.5500,355.3800,342.0400,349.5100,347.7463,4959999,0.0000,1.0000
2018-11-12,370.2100,370.4800,355.9900,357.0300,355.2283,3088654,0.0000,1.0000
2018-11-09,367.8300,371.0000,366.1200,369.3400,367.4762,2590303,0.0000,1.0000
2018-11-08,369.3300,373.7000,365.5500,370.7700,368.8990,2752001,1.7100,1.0000
2018-11-07,367.6400,372.8500,359.5000,372.0200,368.4434,4015255,0.0000,1.0000
2018-11-06,362.4100,368.4400,362.1100,366.4700,362.9467,2471898,0.0000,1.0000
2018-11-05,359.7600,363.2900,356.4800,361.9800,358.4999,2253943,0.0000,1.0000
2018-11-02,366.9700,371.5400,356.7600,357.7500,354.3106,4029826,0.0000,1.0000
2018-11-01,357.4700,364.5700,353.2000,363.0700,359.5794,3760650,0.0000,1.0000
2018-10-31,352.5100,363.4050,352.5100,354.8600,351.4484,4175570,0.0000,1.0000
2018-10-30,330.3500,351.0500,329.7746,349.9100,346.5460,5773971,0.0000,1.0000
2018-10-29,360.5500,361.7100,328.6300,335.5900,332.3636,7461953,0.0000,1.0000
2018-10-26,360.7000,363.3000,354.1207,359.2700,355.8160,4073415,0.0000,1.0000
2018-10-25,357.3000,364.3900,354.9700,363.7700,360.2727,4003484,0.0000,1.0000
2018-10-24,361.5900,364.6000,351.6901,354.6500,351.2404,8442563,0.0000,1.0000
2018-10-23,349.5000,353.5620,342.8260,350.0500,346.6846,4389559,0.0000,1.0000
2018-10-22,357.8500,358.7584,352.4600,355.9800,352.5576,2263527,0.0000,1.0000
2018-10-19,359.8000,359.8700,354.2050,356.2600,352.8349,3491612,0.0000,1.0000
2018-10-18,364.8200,367.7600,356.7600,359.3500,355.8952,3254902,0.0000,1.0000
2018-10-17,368.0000,368.5000,362.7000,365.5000,361.9861,2238186,0.0000,1.0000
2018-10-16,360.4500,368.5700,358.5500,368.2500,364.7096,2822482,0.0000,1.0000
2018-10-15,359.4600,362.5500,355.5000,358.8800,355.4297,2979835,0.0000,1.0000
2018-10-12,366.0100,367.1200,352.2600,360.1100,356.6479,5509720,0.0000,1.0000
2018-10-11,363.4400,369.8500,355.1000,358.1100,354.6671,6266751,0.0000,1.0000
2018-10-10,382.9600,383.8000,367.0900,367.4700,363.9371,6033088,0.0000,1.0000
2018-10-09,384.3700,386.8200,381.1400,385.4400,381.7344,2862707,0.0000,1.0000
2018-10-08,383.8400,386.7300,377.3500,385.7700,382.0612,3324019,0.0000,1.0000
2018-10-05,389.0000,392.3900,383.0300,386.4700,382.7545,2899663,0.0000,1.0000
2018-10-04,390.7400,391.0900,385.2900,389.9900,386.2406,3822324,0.0000,1.0000
2018-10-03,388.9000,394.2800,386.6900,392.3000,388.5284,4794263,0.0000,1.0000
2018-10-02,380.8500,388.6150,379.7700,386.3700,382.6554,4622595,0.0000,1.0000
2018-10-01,375.1600,383.2100,375.0000,382.2900,378.6147,4758417,0.0000,1.0000
2018-09-28,368.6300,374.2200,366.2200,371.9000,368.3245,3600472,0.0000,1.0000
2018-09-27,368.4000,368.9700,364.4000,367.3900,363.8579,2355918,0.0000,1.0000
2018-09-26,367.5000,368.5601,364.3200,365.0300,361.5206,2368637,0.0000,1.0000
2018-09-25,369.0800,370.4600,366.8800,367.2300,363.6994,2969159,0.0000,1.0000
2018-09-24,371.0000,371.8927,367.3300,367.9900,364.4521,2800161,0.0000,1.0000
2018-09-21,369.4000,372.5650,366.0500,372.2300,368.6514,7144087,0.0000,1.0000
2018-09-20,368.7400,371.7300,365.6700,367.4600,363.9272,4011062,0.0000,1.0000
2018-09-19,363.5800,371.2300,363.1900,365.2200,361.7088,4753410,0.0000,1.0000
2018-09-18,357.3000,365.8100,356.1000,363.5800,360.0845,3003512,0.0000,1.0000
