,timestamp1,open1,high1,low1,close1,symbol
0,2019-02-11,54.0,54.2999,53.46,53.85,BLL
1,2019-02-08,53.08,53.91,52.84,53.9,BLL
2,2019-02-07,52.75,53.35,52.51,53.26,BLL
3,2019-02-06,52.56,53.47,52.4,53.21,BLL
4,2019-02-05,51.98,53.03,51.82,53.0,BLL
5,2019-02-04,52.16,52.4892,51.48,51.98,BLL
6,2019-02-01,52.37,53.13,51.875,52.03,BLL
7,2019-01-31,50.0,52.68,48.81,52.28,BLL
8,2019-01-30,51.66,51.96,51.16,51.18,BLL
9,2019-01-29,50.78,51.3535,50.74,51.32,BLL
10,2019-01-28,51.58,51.596,50.71,50.79,BLL
11,2019-01-25,51.26,52.18,51.15,51.75,BLL
12,2019-01-24,51.11,51.76,50.64,50.86,BLL
13,2019-01-23,50.85,51.21,50.02,50.78,BLL
14,2019-01-22,50.08,50.99,49.92,50.72,BLL
15,2019-01-18,49.7,50.39,49.48,50.26,BLL
16,2019-01-17,48.63,49.6,48.535,49.5,BLL
17,2019-01-16,49.23,49.56,48.35,48.44,BLL
18,2019-01-15,48.38,49.46,48.345,49.3,BLL
19,2019-01-14,47.86,48.5,47.73,48.47,BLL
20,2019-01-11,47.52,48.22,47.52,48.12,BLL
21,2019-01-10,46.82,47.81,46.73,47.65,BLL
22,2019-01-09,46.92,47.295,46.35,47.09,BLL
23,2019-01-08,46.78,47.35,46.72,46.91,BLL
24,2019-01-07,45.62,47.115,45.36,46.44,BLL
25,2019-01-04,44.87,46.07,44.69,45.59,BLL
26,2019-01-03,44.43,45.03,43.865,44.26,BLL
27,2019-01-02,45.25,45.35,44.4,44.67,BLL
28,2018-12-31,45.05,46.035,45.03,45.98,BLL
29,2018-12-28,44.74,45.25,44.61,44.8,BLL
30,2018-12-27,42.85,44.47,42.62,44.45,BLL
31,2018-12-26,42.48,43.5,42.24,43.49,BLL
32,2018-12-24,43.54,43.62,42.32,42.35,BLL
33,2018-12-21,43.86,44.94,43.55,43.62,BLL
34,2018-12-20,45.86,45.86,43.93,44.14,BLL
35,2018-12-19,46.87,47.13,45.49,45.87,BLL
36,2018-12-18,46.87,47.49,46.44,46.78,BLL
37,2018-12-17,48.19,48.19,46.535,46.65,BLL
38,2018-12-14,48.35,48.63,47.65,48.01,BLL
39,2018-12-13,48.3,49.15,48.3,48.53,BLL
40,2018-12-12,48.58,48.87,48.03,48.19,BLL
41,2018-12-11,49.05,49.27,47.77,47.83,BLL
42,2018-12-10,48.31,48.62,47.8,48.3,BLL
43,2018-12-07,48.8,49.4,47.97,48.39,BLL
44,2018-12-06,48.43,48.84,47.94,48.72,BLL
45,2018-12-04,49.62,50.12,48.95,49.03,BLL
46,2018-12-03,49.87,50.19,49.19,49.79,BLL
47,2018-11-30,49.51,49.78,48.99,49.11,BLL
48,2018-11-29,49.46,49.84,49.33,49.57,BLL
49,2018-11-28,48.83,49.75,48.5,49.59,BLL
50,2018-11-27,48.97,49.06,48.145,48.66,BLL
51,2018-11-26,49.15,49.45,48.58,49.1,BLL
52,2018-11-23,49.06,49.39,48.81,48.87,BLL
53,2018-11-21,49.23,49.98,49.04,49.31,BLL
54,2018-11-20,48.87,49.745,48.6,49.05,BLL
55,2018-11-19,50.36,50.78,49.48,49.51,BLL
56,2018-11-16,50.13,50.98,49.98,50.5,BLL
57,2018-11-15,48.68,50.44,48.66,50.38,BLL
58,2018-11-14,49.32,49.895,48.86,49.06,BLL
59,2018-11-13,48.37,49.43,48.37,49.1,BLL
60,2018-11-12,48.76,49.19,48.19,48.29,BLL
61,2018-11-09,48.6,49.05,48.31,48.68,BLL
62,2018-11-08,48.78,49.18,48.59,48.72,BLL
63,2018-11-07,48.25,48.85,47.94,48.84,BLL
64,2018-11-06,47.48,47.895,47.26,47.86,BLL
65,2018-11-05,47.39,47.915,47.2,47.41,BLL
66,2018-11-02,47.62,48.47,46.63,47.36,BLL
67,2018-11-01,45.85,48.0,44.5,47.62,BLL
68,2018-10-31,45.3,45.51,44.545,44.8,BLL
69,2018-10-30,43.84,45.06,43.8,44.97,BLL
70,2018-10-29,43.97,44.8096,43.34,43.87,BLL
71,2018-10-26,42.97,43.67,42.515,43.39,BLL
72,2018-10-25,43.97,44.09,43.235,43.32,BLL
73,2018-10-24,44.91,45.21,43.63,43.65,BLL
74,2018-10-23,44.63,45.43,44.22,45.11,BLL
75,2018-10-22,46.04,46.15,45.11,45.13,BLL
76,2018-10-19,46.42,46.42,45.615,45.93,BLL
77,2018-10-18,45.69,46.89,45.64,46.2,BLL
78,2018-10-17,46.1,46.43,45.84,46.2,BLL
79,2018-10-16,44.97,46.15,44.85,46.1,BLL
80,2018-10-15,44.07,44.83,43.98,44.6,BLL
81,2018-10-12,43.91,44.4,43.64,44.16,BLL
82,2018-10-11,43.9,44.39,43.43,43.51,BLL
83,2018-10-10,45.63,45.64,43.78,43.86,BLL
84,2018-10-09,46.17,46.24,45.685,45.72,BLL
85,2018-10-08,46.0,46.69,45.87,46.35,BLL
86,2018-10-05,45.75,46.18,45.61,45.93,BLL
87,2018-10-04,45.28,45.82,45.13,45.81,BLL
88,2018-10-03,44.78,45.6,44.75,45.32,BLL
89,2018-10-02,43.89,44.7,43.77,44.45,BLL
90,2018-10-01,44.29,44.29,43.755,43.88,BLL
91,2018-09-28,44.08,44.31,43.84,43.99,BLL
92,2018-09-27,44.25,44.61,44.13,44.14,BLL
93,2018-09-26,44.27,44.66,44.02,44.3,BLL
94,2018-09-25,44.87,44.96,44.14,44.22,BLL
95,2018-09-24,44.6,44.96,44.3,44.86,BLL
96,2018-09-21,44.39,44.765,44.28,44.57,BLL
97,2018-09-20,44.59,44.59,44.28,44.39,BLL
98,2018-09-19,44.84,44.92,44.22,44.23,BLL
99,2018-09-18,44.24,45.205,44.2207,44.92,BLL
