timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,118.4300,118.9600,117.9255,118.4400,118.4400,1233444,0.0000,1.0000
2019-02-08,118.0700,118.6300,117.4500,118.3700,118.3700,2113537,0.0000,1.0000
2019-02-07,116.7200,118.4300,116.7200,118.2800,118.2800,1521422,0.0000,1.0000
2019-02-06,119.4100,119.4300,117.1650,117.3600,117.3600,2007688,0.0000,1.0000
2019-02-05,117.6500,119.2400,117.4000,119.2200,119.2200,2352857,0.0000,1.0000
2019-02-04,116.8200,117.6400,115.9600,117.6400,117.6400,1915138,0.0000,1.0000
2019-02-01,117.2200,117.2700,114.8600,116.9800,116.9800,1982036,0.0000,1.0000
2019-01-31,115.4700,117.2000,114.2650,117.0600,117.0600,3463175,0.0000,1.0000
2019-01-30,114.9400,116.2710,114.8700,115.4700,115.4700,2357812,0.0000,1.0000
2019-01-29,114.0500,115.1100,114.0400,115.0500,115.0500,1788059,0.0000,1.0000
2019-01-28,113.6900,114.5900,112.7500,114.3800,114.3800,2026901,0.0000,1.0000
2019-01-25,112.7400,114.7700,112.3000,113.7000,113.7000,2449496,0.0000,1.0000
2019-01-24,110.7900,112.8800,109.5800,111.9100,111.9100,2990291,0.0000,1.0000
2019-01-23,109.7100,110.3000,108.9700,110.2700,110.2700,2557981,0.0000,1.0000
2019-01-22,107.6200,109.2100,107.5100,109.1900,109.1900,2322250,0.0000,1.0000
2019-01-18,108.2300,108.3500,106.9000,107.6100,107.6100,1907564,0.0000,1.0000
2019-01-17,107.2100,108.0100,106.7600,107.6200,107.6200,1488452,0.0000,1.0000
2019-01-16,107.1500,107.8600,106.5200,107.3300,107.3300,1483477,0.0000,1.0000
2019-01-15,106.7100,107.8500,106.4000,107.4000,107.4000,1271754,0.0000,1.0000
2019-01-14,106.8000,107.1800,104.2196,106.4200,106.4200,1989154,0.0000,1.0000
2019-01-11,106.6100,107.7150,105.9300,107.3800,107.3800,1482701,0.0000,1.0000
2019-01-10,105.6200,107.1200,105.1100,106.8500,106.8500,2276996,0.0000,1.0000
2019-01-09,107.3600,107.5400,104.4300,105.6700,105.6700,3213594,0.0000,1.0000
2019-01-08,109.4700,109.6000,107.3400,107.5400,107.5400,3250643,0.0000,1.0000
2019-01-07,108.4200,109.6990,108.1800,108.6000,108.6000,1431332,0.0000,1.0000
2019-01-04,107.3000,108.8700,106.8700,108.0700,108.0700,1591317,0.0000,1.0000
2019-01-03,105.8200,108.6500,105.8200,106.4800,106.4800,2288040,0.0000,1.0000
2019-01-02,107.6200,107.6200,105.1600,105.9500,105.9500,2127782,0.0000,1.0000
2018-12-31,108.5000,108.6600,106.6800,108.6300,108.6300,1375829,0.0000,1.0000
2018-12-28,108.9600,109.2400,107.4300,108.1200,108.1200,1575585,0.0000,1.0000
2018-12-27,107.1400,107.8800,104.4200,107.8800,107.8800,1690551,0.0000,1.0000
2018-12-26,104.0200,107.6400,103.2100,107.6300,107.6300,2234487,0.0000,1.0000
2018-12-24,106.2500,106.5600,103.8700,103.8700,103.8700,1501109,0.0000,1.0000
2018-12-21,108.3500,111.1800,106.1100,106.2000,106.2000,4839695,0.0000,1.0000
2018-12-20,110.0600,111.3100,109.2300,110.0000,110.0000,3422433,0.0000,1.0000
2018-12-19,111.2600,112.7500,110.1300,110.2600,110.2600,2324317,0.0000,1.0000
2018-12-18,111.4700,112.7100,109.9500,110.6200,110.6200,2091473,0.0000,1.0000
2018-12-17,114.5500,114.7700,110.8600,110.9100,110.9100,2837465,0.0000,1.0000
2018-12-14,114.5000,115.1750,113.6900,114.5500,114.5500,2231127,0.0000,1.0000
2018-12-13,114.7600,115.8400,114.0200,115.0500,115.0500,2153356,1.1250,1.0000
2018-12-12,116.7400,117.5200,115.4500,115.4800,114.3617,2173434,0.0000,1.0000
2018-12-11,116.7400,117.1700,116.0000,116.1400,115.0153,1732630,0.0000,1.0000
2018-12-10,115.7300,116.6600,114.3100,116.1000,114.9757,2188909,0.0000,1.0000
2018-12-07,117.1200,117.5800,115.3200,115.7600,114.6390,2308234,0.0000,1.0000
2018-12-06,114.4200,117.6000,113.2300,117.4700,116.3325,3247326,0.0000,1.0000
2018-12-04,113.6600,115.4050,113.6600,115.0000,113.8864,2907850,0.0000,1.0000
2018-12-03,114.6800,115.3350,111.3400,113.7000,112.5990,3640830,0.0000,1.0000
2018-11-30,113.3000,114.9500,112.7100,114.9000,113.7873,3752310,0.0000,1.0000
2018-11-29,112.1600,113.3700,111.5000,113.0000,111.9057,2646970,0.0000,1.0000
2018-11-28,110.7000,112.3700,110.1872,112.1200,111.0343,1865100,0.0000,1.0000
2018-11-27,108.5300,110.5100,108.2900,110.4800,109.4101,2016159,0.0000,1.0000
2018-11-26,108.3400,108.5900,107.9000,108.3900,107.3404,1539945,0.0000,1.0000
2018-11-23,109.2400,109.4300,107.9200,107.9600,106.9146,684706,0.0000,1.0000
2018-11-21,109.4300,110.1800,108.6300,109.4700,108.4099,2113016,0.0000,1.0000
2018-11-20,112.6700,112.9300,109.6300,109.6300,108.5684,2550341,0.0000,1.0000
2018-11-19,112.1700,113.7800,111.5400,112.2700,111.1828,2006854,0.0000,1.0000
2018-11-16,110.4200,112.3600,110.0570,112.1200,111.0343,2328878,0.0000,1.0000
2018-11-15,110.0700,110.9900,108.8100,110.5900,109.5191,2648746,0.0000,1.0000
2018-11-14,111.2600,111.2600,109.2500,110.3000,109.2319,1837004,0.0000,1.0000
2018-11-13,110.0500,111.0700,109.5300,110.6800,109.6082,2137331,0.0000,1.0000
2018-11-12,110.7900,111.8900,109.6600,109.7300,108.6674,2334091,0.0000,1.0000
2018-11-09,111.4700,111.9200,110.5400,110.8700,109.7964,1495786,0.0000,1.0000
2018-11-08,111.5900,111.8900,110.4800,111.4700,110.3906,2177176,0.0000,1.0000
2018-11-07,111.3500,112.4500,111.0500,111.7300,110.6480,1844570,0.0000,1.0000
2018-11-06,111.1900,111.8400,110.5300,111.2100,110.1331,1365403,0.0000,1.0000
2018-11-05,109.8100,111.7000,109.7450,111.0300,109.9548,2731285,0.0000,1.0000
2018-11-02,109.2500,109.6300,107.8800,109.3400,108.2812,2817426,0.0000,1.0000
2018-11-01,109.2400,110.2500,108.6601,109.3200,108.2614,2540522,0.0000,1.0000
2018-10-31,109.6800,110.0250,107.9300,108.7400,107.6870,3168151,0.0000,1.0000
2018-10-30,106.7700,110.1200,105.9800,109.5200,108.4594,3117118,0.0000,1.0000
2018-10-29,104.2000,106.7600,104.1400,106.0500,105.0230,4762732,0.0000,1.0000
2018-10-26,106.6100,106.8900,103.2900,103.5400,102.5374,3148703,0.0000,1.0000
2018-10-25,107.1000,108.3000,106.0300,107.3500,106.3105,3272047,0.0000,1.0000
2018-10-24,106.4200,108.4400,106.2100,106.7800,105.7460,4904402,0.0000,1.0000
2018-10-23,105.5400,106.3400,104.5300,106.1600,105.1320,3149460,0.0000,1.0000
2018-10-22,107.2600,107.8300,105.7800,105.7800,104.7557,2462483,0.0000,1.0000
2018-10-19,106.6700,107.8900,106.0600,106.9300,105.8945,2567826,0.0000,1.0000
2018-10-18,106.0000,108.6450,105.0200,106.6200,105.5875,3933088,0.0000,1.0000
2018-10-17,107.1300,107.5000,105.6500,106.7900,105.7559,2465071,0.0000,1.0000
2018-10-16,105.5700,107.1350,105.1000,106.9000,105.8648,2210517,0.0000,1.0000
2018-10-15,104.8100,106.6300,104.7400,105.5100,104.4883,1871142,0.0000,1.0000
2018-10-12,106.2700,106.9100,104.0600,104.9500,103.9337,3033440,0.0000,1.0000
2018-10-11,108.9800,108.9800,104.6000,105.2800,104.2605,2324837,0.0000,1.0000
2018-10-10,111.0700,111.5000,108.7000,108.7100,107.6573,3186697,0.0000,1.0000
2018-10-09,110.3100,112.0700,110.1900,111.0700,109.9944,2330320,0.0000,1.0000
2018-10-08,108.9800,111.0700,108.9500,110.2700,109.2022,2149299,0.0000,1.0000
2018-10-05,108.4100,109.4200,108.1300,108.7400,107.6870,1232122,0.0000,1.0000
2018-10-04,108.4400,108.8800,107.1900,108.3200,107.2711,1279969,0.0000,1.0000
2018-10-03,109.2800,110.1463,107.7900,108.8400,107.7860,1757516,0.0000,1.0000
2018-10-02,110.4500,110.7300,109.0200,109.0800,108.0237,1830814,0.0000,1.0000
2018-10-01,111.3300,111.9600,110.3700,110.4100,109.3408,2121405,0.0000,1.0000
2018-09-28,109.2300,111.3900,109.2300,111.3300,110.2519,2375104,0.0000,1.0000
2018-09-27,108.8600,109.6300,108.6400,108.9200,107.8653,2020892,0.0000,1.0000
2018-09-26,109.6900,110.3500,108.3100,108.5300,107.4790,2141938,0.0000,1.0000
2018-09-25,110.2600,111.0200,109.5700,109.6900,108.6278,1513795,0.0000,1.0000
2018-09-24,111.4800,111.8500,110.0300,110.2300,109.1626,1918273,0.0000,1.0000
2018-09-21,112.0100,112.8600,111.6700,111.7100,110.6282,2906154,0.0000,1.0000
2018-09-20,111.7200,112.7600,111.2900,112.4000,111.3116,2274543,0.0000,1.0000
2018-09-19,112.3800,112.5500,111.5000,111.8200,110.7372,2120208,0.0000,1.0000
2018-09-18,112.5100,113.0900,112.0900,112.1700,111.0838,1282372,0.0000,1.0000
