timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,181.6100,183.0300,180.8800,182.8900,182.8900,3735126,0.0000,1.0000
2019-02-08,185.3300,185.6000,180.5000,181.3700,181.3700,3036072,0.0000,1.0000
2019-02-07,185.8800,186.8100,183.6000,185.9600,185.9600,2349247,0.0000,1.0000
2019-02-06,185.9000,188.0000,185.2200,187.4800,187.4800,2268229,0.0000,1.0000
2019-02-05,192.7300,193.2900,186.0100,186.4500,186.4500,4061139,0.0000,1.0000
2019-02-04,192.3300,193.3800,189.5300,192.0700,192.0700,3346330,0.0000,1.0000
2019-02-01,195.0000,199.3800,188.6100,194.0600,194.0600,5566739,0.0000,1.0000
2019-01-31,199.4800,202.0500,198.8600,199.8100,199.8100,2894902,0.0000,1.0000
2019-01-30,199.2500,200.2800,195.2650,199.8000,199.8000,2719613,0.0000,1.0000
2019-01-29,194.5100,198.4800,194.2900,198.3900,198.3900,1575310,0.0000,1.0000
2019-01-28,195.5600,195.8400,193.1100,195.0800,195.0800,1510140,0.0000,1.0000
2019-01-25,194.9400,196.8700,194.5300,196.2800,196.2800,1988819,0.0000,1.0000
2019-01-24,196.3900,197.4300,193.0400,193.0700,193.0700,1923347,0.0000,1.0000
2019-01-23,194.5000,197.7100,193.9500,196.9200,196.9200,2241646,0.0000,1.0000
2019-01-22,193.6400,195.4300,192.5000,193.0800,193.0800,3700984,0.0000,1.0000
2019-01-18,196.4500,197.9800,194.6200,194.8300,194.8300,2521372,0.0000,1.0000
2019-01-17,195.4100,196.7200,193.0900,194.5000,194.5000,2536671,0.0000,1.0000
2019-01-16,196.3900,198.3850,195.8300,196.7300,196.7300,2911006,0.0000,1.0000
2019-01-15,192.3400,197.3300,191.8500,196.5500,196.5500,2945972,0.0000,1.0000
2019-01-14,193.6800,194.5900,191.6800,192.0500,192.0500,2489914,0.0000,1.0000
2019-01-11,189.8600,194.8300,189.5500,194.6600,194.6600,3923729,0.0000,1.0000
2019-01-10,190.1300,191.9500,188.2100,191.7800,191.7800,2646272,0.0000,1.0000
