timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,277.5000,279.4900,274.6800,275.2300,275.2300,222346,0.0000,1.0000
2019-02-08,271.7700,276.1600,271.2350,276.0700,276.0700,214521,0.0000,1.0000
2019-02-07,274.4400,275.8800,270.5400,272.8200,272.8200,310580,0.0000,1.0000
2019-02-06,277.6700,278.6500,275.7100,276.4600,276.4600,244836,0.0000,1.0000
2019-02-05,278.2200,281.3000,276.7300,277.8500,277.8500,225291,0.0000,1.0000
2019-02-04,277.7400,278.7000,273.6000,277.2400,277.2400,336220,0.0000,1.0000
2019-02-01,281.9200,288.5100,277.0100,277.7200,277.7200,373358,0.0000,1.0000
2019-01-31,275.6400,279.7800,273.8350,278.7600,278.7600,474074,0.0000,1.0000
2019-01-30,273.8000,279.1500,272.5550,276.7500,276.7500,296632,0.0000,1.0000
2019-01-29,273.6700,275.5550,271.0800,273.7600,273.7600,202618,0.0000,1.0000
2019-01-28,274.0700,275.2500,271.9400,273.6400,273.6400,184163,0.0000,1.0000
2019-01-25,272.9400,275.8100,272.0800,275.6100,275.6100,268826,0.0000,1.0000
2019-01-24,269.0800,272.5300,268.9800,271.9700,271.9700,239279,0.0000,1.0000
2019-01-23,268.4400,272.5900,264.8400,268.8100,268.8100,242598,0.0000,1.0000
2019-01-22,268.3600,269.3100,264.3900,267.5100,267.5100,310808,0.0000,1.0000
2019-01-18,269.1100,270.0800,263.7600,269.6300,269.6300,552214,0.0300,1.0000
2019-01-17,272.2300,274.4500,267.2100,267.5000,267.4702,542645,0.0000,1.0000
2019-01-16,269.0000,272.9900,266.8500,272.1500,272.1197,435801,0.0000,1.0000
2019-01-15,259.7300,269.7000,259.2100,268.6800,268.6501,318163,0.0000,1.0000
2019-01-14,260.0200,263.5800,259.3100,260.5800,260.5510,344937,0.0000,1.0000
2019-01-11,258.6600,261.6400,255.8300,261.4900,261.4609,185544,0.0000,1.0000
2019-01-10,257.1800,260.3000,256.0700,259.6400,259.6111,291944,0.0000,1.0000
2019-01-09,255.0000,263.1500,255.0000,258.2600,258.2313,452273,0.0000,1.0000
2019-01-08,247.8300,254.3000,247.8300,253.8300,253.8018,418020,0.0000,1.0000
2019-01-07,247.2000,250.5250,246.0000,246.7700,246.7425,483626,0.0000,1.0000
2019-01-04,242.0000,249.2900,241.7217,246.1900,246.1626,870702,0.0000,1.0000
2019-01-03,249.2200,250.3700,242.4450,246.1800,246.1526,468537,0.0000,1.0000
2019-01-02,251.5400,252.8800,247.0400,250.6300,250.6021,293496,0.0000,1.0000
2018-12-31,251.7900,255.6200,249.3600,254.5000,254.4717,291178,0.0000,1.0000
2018-12-28,252.9500,252.9500,246.3300,249.6500,249.6222,452643,0.0000,1.0000
2018-12-27,241.8400,252.7400,239.9800,252.1800,252.1519,878841,0.0000,1.0000
2018-12-26,233.9600,244.6800,231.8600,244.5900,244.5628,454438,0.0000,1.0000
2018-12-24,235.9300,235.9300,228.6500,232.7000,232.6741,357029,0.0000,1.0000
2018-12-21,234.4300,239.3700,234.4300,236.5800,236.5537,721000,0.0000,1.0000
2018-12-20,242.6900,244.1500,234.4650,236.7800,236.7537,543780,0.0000,1.0000
2018-12-19,247.9600,249.6700,241.9500,243.5900,243.5629,435985,0.0000,1.0000
2018-12-18,246.4400,249.0500,245.6000,247.2200,247.1925,546360,0.0000,1.0000
2018-12-17,247.4700,249.8500,241.8100,244.4600,244.4328,416304,0.0000,1.0000
2018-12-14,255.0800,255.0800,248.6500,249.9700,249.9422,326729,0.0000,1.0000
2018-12-13,257.7200,259.5800,254.4500,256.8800,256.8514,335135,0.0000,1.0000
2018-12-12,257.9500,260.9000,254.4200,254.7300,254.7017,328334,0.0000,1.0000
2018-12-11,256.0900,260.7700,249.2000,254.7700,254.7417,476415,0.0000,1.0000
2018-12-10,242.6500,254.7000,241.1500,253.0800,253.0518,784584,0.0000,1.0000
2018-12-07,263.4900,272.0000,242.6500,243.0100,242.9830,1253678,0.0000,1.0000
2018-12-06,273.1100,277.8900,264.7800,277.0300,276.9992,635300,0.0000,1.0000
2018-12-04,282.3800,282.8600,273.9400,274.9000,274.8694,530508,0.0000,1.0000
2018-12-03,279.9300,283.1800,279.7900,281.6600,281.6287,585439,0.0000,1.0000
2018-11-30,279.2200,281.7500,275.9200,278.8300,278.7990,511023,0.0000,1.0000
2018-11-29,272.2600,278.6100,272.2600,277.4200,277.3891,355876,0.0000,1.0000
2018-11-28,273.3300,273.9200,269.1000,273.3800,273.3496,609629,0.0000,1.0000
2018-11-27,272.0700,274.3000,269.5000,273.6400,273.6096,291768,0.0000,1.0000
2018-11-26,273.0000,274.9900,270.9600,272.5200,272.4897,380530,0.0000,1.0000
2018-11-23,264.6100,270.3500,264.6100,270.0800,270.0500,154580,0.0000,1.0000
2018-11-21,261.2400,267.8100,261.2400,265.9200,265.8904,300393,0.0000,1.0000
2018-11-20,253.7500,261.2300,252.3600,260.9000,260.8710,311348,0.0000,1.0000
2018-11-19,265.5700,265.5700,255.0950,256.8000,256.7714,291408,0.0000,1.0000
2018-11-16,256.3300,265.7100,253.3700,265.0300,265.0005,270034,0.0000,1.0000
2018-11-15,252.4800,258.0600,250.4600,257.2100,257.1814,284947,0.0000,1.0000
2018-11-14,257.0500,262.1000,251.7500,254.0600,254.0317,251216,0.0000,1.0000
2018-11-13,261.6000,263.4600,254.1600,255.0000,254.9716,338165,0.0000,1.0000
2018-11-12,267.8300,267.8300,260.5500,261.7500,261.7209,356745,0.0000,1.0000
2018-11-09,267.5000,270.3400,265.2200,267.8000,267.7702,204578,0.0000,1.0000
2018-11-08,265.9800,268.2700,264.8500,267.6300,267.6002,225410,0.0000,1.0000
2018-11-07,261.0000,268.4000,261.0000,265.8500,265.8204,244467,0.0000,1.0000
2018-11-06,256.9000,260.4400,256.9000,259.6400,259.6111,244885,0.0000,1.0000
