,timestamp1,open1,high1,low1,close1,symbol
0,2019-02-11,47.34,47.71,47.13,47.58,CSCO
1,2019-02-08,46.4,47.2,46.3,47.19,CSCO
2,2019-02-07,47.19,47.3199,46.49,46.7,CSCO
3,2019-02-06,47.12,47.59,46.95,47.48,CSCO
4,2019-02-05,47.42,47.455,47.075,47.26,CSCO
5,2019-02-04,47.22,47.47,47.12,47.35,CSCO
6,2019-02-01,47.37,47.56,47.0501,47.34,CSCO
7,2019-01-31,46.72,47.38,46.52,47.29,CSCO
8,2019-01-30,45.94,46.93,45.92,46.71,CSCO
9,2019-01-29,45.81,46.05,45.645,45.96,CSCO
10,2019-01-28,45.73,45.77,45.23,45.75,CSCO
11,2019-01-25,46.12,46.66,45.95,46.13,CSCO
12,2019-01-24,45.63,45.75,45.23,45.61,CSCO
13,2019-01-23,45.14,45.88,45.02,45.46,CSCO
14,2019-01-22,44.88,45.24,44.38,44.78,CSCO
15,2019-01-18,44.48,45.35,44.31,45.03,CSCO
16,2019-01-17,43.87,44.53,43.8,44.21,CSCO
17,2019-01-16,44.12,44.24,43.7605,43.96,CSCO
18,2019-01-15,43.33,44.04,43.15,44.02,CSCO
19,2019-01-14,43.08,43.39,43.0,43.21,CSCO
20,2019-01-11,43.11,43.54,42.885,43.49,CSCO
21,2019-01-10,43.11,43.29,42.58,43.24,CSCO
22,2019-01-09,43.87,43.87,43.17,43.32,CSCO
23,2019-01-08,43.57,43.94,43.1,43.56,CSCO
24,2019-01-07,42.86,43.645,42.76,43.21,CSCO
25,2019-01-04,41.85,43.0,41.53,42.92,CSCO
26,2019-01-03,42.3,42.41,40.96,41.07,CSCO
27,2019-01-02,42.28,43.2,42.21,42.95,CSCO
28,2018-12-31,43.19,43.55,42.89,43.33,CSCO
29,2018-12-28,43.17,43.525,42.46,42.77,CSCO
30,2018-12-27,41.89,42.93,41.15,42.91,CSCO
31,2018-12-26,40.68,42.5,40.4,42.47,CSCO
32,2018-12-24,41.7,41.81,40.25,40.28,CSCO
33,2018-12-21,42.91,43.46,41.74,41.85,CSCO
34,2018-12-20,42.99,43.23,41.87,42.49,CSCO
35,2018-12-19,43.89,44.92,42.57,43.14,CSCO
36,2018-12-18,44.55,44.61,43.73,44.06,CSCO
37,2018-12-17,45.82,45.99,43.905,44.2,CSCO
38,2018-12-14,46.37,46.615,45.64,45.82,CSCO
39,2018-12-13,47.68,47.965,47.13,47.47,CSCO
40,2018-12-12,47.92,48.2,47.36,47.42,CSCO
41,2018-12-11,47.86,47.9,46.71,47.09,CSCO
42,2018-12-10,46.3,47.13,45.815,46.86,CSCO
43,2018-12-07,48.16,48.485,46.36,46.44,CSCO
44,2018-12-06,46.99,48.46,46.47,48.39,CSCO
45,2018-12-04,48.7,49.1388,47.25,47.35,CSCO
46,2018-12-03,48.32,48.79,48.08,48.74,CSCO
47,2018-11-30,47.27,47.9099,46.92,47.87,CSCO
48,2018-11-29,46.9,47.76,46.9,47.34,CSCO
49,2018-11-28,46.3,47.48,46.12,47.29,CSCO
50,2018-11-27,45.45,46.39,45.21,46.12,CSCO
51,2018-11-26,45.14,45.64,45.09,45.57,CSCO
52,2018-11-23,44.45,45.12,44.39,44.54,CSCO
53,2018-11-21,44.95,45.18,44.395,44.89,CSCO
54,2018-11-20,44.92,45.285,44.14,44.49,CSCO
55,2018-11-19,46.35,46.58,45.25,45.75,CSCO
56,2018-11-16,46.46,47.04,46.13,46.35,CSCO
57,2018-11-15,46.8,47.1,45.1515,46.77,CSCO
58,2018-11-14,45.46,45.64,44.08,44.33,CSCO
59,2018-11-13,45.7,46.055,45.0268,45.12,CSCO
60,2018-11-12,47.14,47.25,45.54,45.62,CSCO
61,2018-11-09,48.08,48.25,46.7,47.11,CSCO
62,2018-11-08,47.87,48.44,47.87,48.44,CSCO
63,2018-11-07,46.98,47.93,46.745,47.9,CSCO
64,2018-11-06,46.04,46.62,46.0,46.5,CSCO
65,2018-11-05,45.74,46.435,45.35,46.14,CSCO
66,2018-11-02,45.72,46.09,44.98,45.48,CSCO
67,2018-11-01,45.67,45.88,45.1,45.65,CSCO
68,2018-10-31,45.05,46.3,44.89,45.75,CSCO
69,2018-10-30,43.92,44.7,43.75,44.58,CSCO
70,2018-10-29,44.89,45.05,42.94,43.84,CSCO
71,2018-10-26,44.57,45.11,43.78,44.25,CSCO
72,2018-10-25,44.62,45.81,44.205,45.47,CSCO
73,2018-10-24,45.49,45.68,43.96,44.07,CSCO
74,2018-10-23,45.15,45.77,44.44,45.42,CSCO
75,2018-10-22,45.77,46.28,45.405,45.76,CSCO
76,2018-10-19,45.4,46.2,45.13,45.34,CSCO
77,2018-10-18,46.3,46.49,45.15,45.46,CSCO
78,2018-10-17,45.89,46.23,45.22,45.94,CSCO
79,2018-10-16,45.29,45.94,44.85,45.82,CSCO
80,2018-10-15,45.52,45.72,44.67,44.67,CSCO
81,2018-10-12,44.93,45.85,44.46,45.71,CSCO
82,2018-10-11,45.46,45.6,43.92,44.12,CSCO
83,2018-10-10,47.44,47.51,45.54,45.63,CSCO
84,2018-10-09,47.53,48.03,47.28,47.49,CSCO
85,2018-10-08,47.92,48.5,47.1504,47.52,CSCO
86,2018-10-05,48.4,48.85,47.61,48.13,CSCO
87,2018-10-04,48.63,48.77,48.04,48.38,CSCO
88,2018-10-03,49.26,49.47,49.07,49.14,CSCO
89,2018-10-02,48.75,49.14,48.67,49.01,CSCO
90,2018-10-01,49.0,49.14,48.665,48.87,CSCO
91,2018-09-28,48.27,48.8,48.06,48.65,CSCO
92,2018-09-27,48.33,48.76,48.21,48.33,CSCO
93,2018-09-26,48.74,49.06,48.27,48.41,CSCO
94,2018-09-25,48.57,48.88,48.43,48.47,CSCO
95,2018-09-24,48.21,48.62,48.19,48.44,CSCO
96,2018-09-21,47.93,48.639,47.82,48.56,CSCO
97,2018-09-20,47.41,47.81,47.16,47.73,CSCO
98,2018-09-19,47.42,47.62,47.12,47.28,CSCO
99,2018-09-18,47.07,47.65,47.07,47.46,CSCO
