timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,163.6300,164.2400,161.9300,161.9400,161.9400,1844242,0.0000,1.0000
2019-02-08,160.2500,162.7900,160.2500,162.7500,162.7500,1628263,0.0000,1.0000
2019-02-07,162.6900,163.8000,160.1100,161.8000,161.8000,2488117,0.0000,1.0000
2019-02-06,164.1200,164.9100,163.0000,163.6800,163.6800,1660462,0.0000,1.0000
2019-02-05,164.6300,164.9900,163.0100,164.2100,164.2100,1574659,0.0000,1.0000
2019-02-04,164.0600,164.8800,162.3400,164.5100,164.5100,1907943,0.0000,1.0000
2019-02-01,164.0800,164.3600,162.9600,163.8800,163.8800,1704320,0.0000,1.0000
2019-01-31,162.4300,164.8800,160.1800,164.0000,164.0000,3118752,0.0000,1.0000
2019-01-30,161.9100,163.6800,160.0700,162.9100,162.9100,1988956,0.0000,1.0000
2019-01-29,157.4800,160.9400,156.8100,160.4800,160.4800,2199852,0.0000,1.0000
2019-01-28,157.0900,158.4200,155.2000,156.4900,156.4900,2199362,0.0000,1.0000
2019-01-25,160.6300,162.8200,159.8700,161.5000,161.5000,1826770,0.0000,1.0000
2019-01-24,157.7500,159.0900,157.0700,158.4300,158.4300,1602061,0.0000,1.0000
2019-01-23,159.5400,160.7000,156.2500,157.6100,157.6100,1780779,0.0000,1.0000
2019-01-22,162.8900,163.0000,157.3800,158.8400,158.8400,2076458,0.0000,1.0000
2019-01-18,162.0000,166.1900,161.8400,164.6100,164.6100,3879782,0.0000,1.0000
2019-01-17,156.7400,161.6400,156.2451,160.0700,160.0700,2155088,0.0000,1.0000
2019-01-16,157.2500,158.6900,156.9201,157.4100,157.4100,1457313,0.0000,1.0000
2019-01-15,157.2600,158.7500,155.7650,157.0500,157.0500,1369063,0.0000,1.0000
2019-01-14,156.2100,158.3400,155.8400,157.4100,157.4100,1365313,0.0000,1.0000
2019-01-11,157.7700,159.7850,156.6100,158.2800,158.2800,2039033,0.0000,1.0000
2019-01-10,153.6500,159.4300,151.4900,159.1200,159.1200,2693597,0.0000,1.0000
2019-01-09,157.8600,157.9000,153.5000,154.3300,154.3300,3134647,0.0000,1.0000
2019-01-08,155.0300,157.8900,154.0200,156.9200,156.9200,3125245,0.0000,1.0000
2019-01-07,151.9200,155.9400,150.8900,154.1600,154.1600,2947645,0.0000,1.0000
2019-01-04,147.0100,151.7600,146.8500,151.6800,151.6800,2549084,0.0000,1.0000
2019-01-03,147.4200,147.6600,142.7000,144.0500,144.0500,2047215,0.0000,1.0000
2019-01-02,146.2300,149.6600,146.2300,148.1000,148.1000,1987747,0.0000,1.0000
2018-12-31,146.2200,149.2400,146.2200,149.1700,149.1700,1954556,0.0000,1.0000
2018-12-28,146.3900,147.9600,144.4900,145.2800,145.2800,1597083,0.7600,1.0000
2018-12-27,141.2000,146.7200,140.1650,146.7200,145.9565,2457319,0.0000,1.0000
2018-12-26,138.4200,143.3200,136.1300,143.2700,142.5244,2267438,0.0000,1.0000
2018-12-24,141.7500,142.3400,137.3800,137.3800,136.6651,1444661,0.0000,1.0000
2018-12-21,144.5400,147.0800,142.4700,142.9900,142.2459,3931730,0.0000,1.0000
2018-12-20,145.1200,148.3549,142.6000,144.6400,143.8873,2822783,0.0000,1.0000
2018-12-19,149.2700,152.0000,144.3143,146.0800,145.3198,3173308,0.0000,1.0000
2018-12-18,148.3400,150.8550,147.8300,149.2300,148.4534,2846216,0.0000,1.0000
2018-12-17,148.3000,150.0500,145.0000,146.0800,145.3198,2504017,0.0000,1.0000
2018-12-14,146.3100,149.5100,146.3100,149.0100,148.2345,1967970,0.0000,1.0000
2018-12-13,149.3500,150.4700,147.7700,148.3100,147.5382,1733941,0.0000,1.0000
2018-12-12,150.1400,151.5900,148.0000,148.1400,147.3691,1863925,0.0000,1.0000
2018-12-11,150.2900,151.8700,145.9400,147.0000,146.2350,1818779,0.0000,1.0000
2018-12-10,145.7800,148.1450,143.8500,147.0300,146.2648,1791443,0.0000,1.0000
2018-12-07,153.6000,154.7200,146.3100,147.2600,146.4937,3005646,0.0000,1.0000
2018-12-06,147.7000,154.4900,146.5678,154.3900,153.5865,4596166,0.0000,1.0000
2018-12-04,160.9400,161.0000,151.3100,151.5900,150.8011,3549617,0.0000,1.0000
2018-12-03,161.9900,164.3700,161.1300,162.2100,161.3659,5130441,0.0000,1.0000
2018-11-30,149.8900,155.3200,149.7850,154.8800,154.0740,2534869,0.0000,1.0000
2018-11-29,151.8500,152.4900,149.0900,149.9700,149.1895,2236708,0.0000,1.0000
2018-11-28,148.2700,152.0200,147.0400,152.0100,151.2189,2421680,0.0000,1.0000
2018-11-27,147.9800,148.9400,146.6500,147.8100,147.0408,1753991,0.0000,1.0000
2018-11-26,144.9800,149.1454,144.3600,148.9200,148.1450,4361681,0.0000,1.0000
2018-11-23,139.7600,143.4400,139.7400,142.8400,142.0967,1192503,0.0000,1.0000
2018-11-21,136.5600,146.4800,136.5600,141.8800,141.1416,4987782,0.0000,1.0000
2018-11-20,140.4700,140.4700,135.8700,138.5200,137.7991,3701359,0.0000,1.0000
2018-11-19,147.2800,148.1700,142.1000,142.5700,141.8281,2912447,0.0000,1.0000
2018-11-16,145.7200,148.2300,145.2100,147.8700,147.1005,2327256,0.0000,1.0000
2018-11-15,142.6100,147.7500,142.5000,146.7000,145.9366,3015413,0.0000,1.0000
2018-11-14,148.3900,150.2391,145.1600,147.2200,146.4539,1824165,0.0000,1.0000
2018-11-13,145.2000,150.0700,145.0400,147.2300,146.4638,3540460,0.0000,1.0000
2018-11-12,145.0000,145.9400,143.5500,144.5700,143.8176,1562774,0.0000,1.0000
2018-11-09,145.5400,145.6800,143.0400,144.8100,144.0564,2581584,0.0000,1.0000
2018-11-08,147.7800,148.1800,145.0400,146.6700,145.9067,1899770,0.0000,1.0000
2018-11-07,146.5600,149.7800,145.7600,148.4300,147.6576,2161688,0.0000,1.0000
2018-11-06,142.4300,145.5100,142.0890,145.4700,144.7130,1729463,0.0000,1.0000
2018-11-05,142.1200,143.5200,141.8700,142.6500,141.9076,1576779,0.0000,1.0000
2018-11-02,142.5300,143.9700,141.1700,141.7200,140.9825,2938057,0.0000,1.0000
2018-11-01,136.2100,141.1400,135.6000,140.6500,139.9180,2953976,0.0000,1.0000
2018-10-31,134.6200,137.0400,134.6200,135.4400,134.7352,2018161,0.0000,1.0000
2018-10-30,130.5000,132.9600,129.2901,132.7600,132.0691,2347645,0.0000,1.0000
2018-10-29,135.4000,135.7900,128.3200,130.5600,129.8806,3274796,0.0000,1.0000
2018-10-26,134.5000,135.3100,131.6000,133.0000,132.3079,4771135,0.0000,1.0000
2018-10-25,135.6300,138.3100,134.3300,136.7800,136.0682,1854399,0.0000,1.0000
2018-10-24,139.6500,140.3600,133.5600,133.8900,133.1932,3731520,0.0000,1.0000
2018-10-23,139.6200,141.3062,136.6650,139.6300,138.9034,5166898,0.0000,1.0000
2018-10-22,146.8500,146.9500,144.3308,145.4400,144.6831,1702261,0.0000,1.0000
2018-10-19,147.5200,149.0000,145.3700,145.9100,145.1507,1901500,0.0000,1.0000
2018-10-18,150.4800,151.0600,145.7050,147.2000,146.4340,2491808,0.0000,1.0000
2018-10-17,151.1200,152.4750,149.4300,151.6400,150.8509,1516048,0.0000,1.0000
2018-10-16,149.9800,152.3200,148.2100,151.9600,151.1692,2124497,0.0000,1.0000
2018-10-15,148.0500,150.1100,147.5600,148.4500,147.6775,1678310,0.0000,1.0000
2018-10-12,149.0900,149.9999,145.8500,148.4200,147.6476,1880982,0.0000,1.0000
2018-10-11,146.7800,151.0000,145.5000,146.4700,145.7078,3309474,0.0000,1.0000
2018-10-10,150.0000,150.7100,146.5600,147.4600,146.6926,2861379,0.0000,1.0000
2018-10-09,152.9600,153.7300,150.1100,150.4500,149.6671,2107389,0.0000,1.0000
2018-10-08,153.8100,155.4100,152.0700,153.8200,153.0195,2863666,0.0000,1.0000
2018-10-05,158.5000,158.7000,154.7300,156.4000,155.5861,1948333,0.0000,1.0000
2018-10-04,157.9500,159.3000,155.6900,158.3100,157.4861,3882884,0.0000,1.0000
2018-10-03,155.6500,158.9000,155.1200,158.2100,157.3867,2973670,0.0000,1.0000
2018-10-02,151.1300,154.9600,150.4031,154.8200,154.0143,2149150,0.0000,1.0000
2018-10-01,151.7200,152.4700,150.1800,150.8600,150.0749,2671014,0.0000,1.0000
2018-09-28,150.5500,152.1600,150.0400,150.3300,149.5477,1736994,0.0000,1.0000
2018-09-27,152.4000,153.9999,151.0000,151.2200,150.4330,1494466,0.6900,1.0000
2018-09-26,151.0300,153.4400,150.7400,152.3200,150.8391,1784893,0.0000,1.0000
2018-09-25,151.7000,152.3602,150.1600,151.2900,149.8191,1399994,0.0000,1.0000
2018-09-24,152.0900,152.3500,149.7000,151.5500,150.0765,1713543,0.0000,1.0000
2018-09-21,154.3700,155.0700,152.6600,152.8100,151.3243,2514028,0.0000,1.0000
2018-09-20,154.2400,156.7700,153.2200,154.0700,152.5720,2762212,0.0000,1.0000
2018-09-19,149.3400,153.7500,149.3000,152.3900,150.9084,2373000,0.0000,1.0000
2018-09-18,149.4900,150.8700,147.8900,149.0400,147.5909,1530071,0.0000,1.0000
