timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,86.9400,87.4600,86.5700,87.3900,87.3900,1840030,0.0000,1.0000
2019-02-08,86.6800,86.9800,86.1300,86.8200,86.8200,840396,0.0000,1.0000
2019-02-07,87.5400,87.8300,86.4100,86.9200,86.9200,1570308,0.0000,1.0000
2019-02-06,88.0600,88.2850,87.7200,87.9300,87.9300,1037324,0.0000,1.0000
2019-02-05,87.1300,88.1900,87.1300,88.1900,88.1900,1307758,0.0000,1.0000
2019-02-04,87.1600,87.6400,86.9200,87.2900,87.2900,1447187,0.0000,1.0000
2019-02-01,88.1500,88.8000,87.4000,87.6100,87.6100,1087204,0.0000,1.0000
2019-01-31,88.8400,90.1000,87.5800,87.8300,87.8300,2643909,0.0000,1.0000
2019-01-30,87.1100,89.7700,86.2500,88.8200,88.8200,2173075,0.0000,1.0000
2019-01-29,85.4700,86.5096,82.5150,86.1600,86.1600,2569270,0.0000,1.0000
2019-01-28,78.5600,79.2400,77.9500,79.2400,79.2400,1515312,0.0000,1.0000
2019-01-25,80.1500,80.3100,79.4300,79.4800,79.4800,930409,0.0000,1.0000
2019-01-24,78.8700,79.4200,78.3000,79.1800,79.1800,1140050,0.0000,1.0000
2019-01-23,79.6400,80.1500,78.3100,78.8200,78.8200,911510,0.0000,1.0000
2019-01-22,79.8800,79.9700,78.6400,79.2900,79.2900,809088,0.0000,1.0000
2019-01-18,79.7200,81.0000,79.3000,80.6900,80.6900,1011167,0.0000,1.0000
2019-01-17,77.4100,79.4000,77.4100,79.0600,79.0600,878828,0.0000,1.0000
2019-01-16,78.3900,78.7300,77.6600,77.7300,77.7300,824151,0.0000,1.0000
2019-01-15,78.1300,78.5000,77.6500,78.1000,78.1000,579826,0.0000,1.0000
2019-01-14,77.3800,78.4200,77.1600,78.0600,78.0600,1091703,0.0000,1.0000
2019-01-11,77.1900,78.0800,76.9400,77.8600,77.8600,1290953,0.0000,1.0000
2019-01-10,76.7500,77.5800,75.9100,77.4800,77.4800,1130144,0.0000,1.0000
2019-01-09,75.9600,76.8500,75.8600,76.3500,76.3500,868129,0.0000,1.0000
2019-01-08,74.5300,75.6300,74.2400,75.5600,75.5600,1125515,0.0000,1.0000
2019-01-07,73.2400,74.5900,72.3300,73.9300,73.9300,1446042,0.0000,1.0000
2019-01-04,70.8700,73.0000,70.6100,72.9600,72.9600,1316103,0.0000,1.0000
2019-01-03,71.0100,71.0500,69.1350,69.7900,69.7900,1171231,0.0000,1.0000
2019-01-02,69.7800,71.5700,69.0925,71.2500,71.2500,1486921,0.0000,1.0000
2018-12-31,70.0600,71.2200,69.9500,70.9500,70.9500,1678415,0.0000,1.0000
2018-12-28,70.2900,70.7800,69.4300,69.8000,69.8000,1243877,0.0000,1.0000
2018-12-27,67.5800,70.1200,67.1200,70.1100,70.1100,1693108,0.0000,1.0000
2018-12-26,67.2700,68.6400,65.8300,68.6100,68.6100,1656452,0.0000,1.0000
2018-12-24,68.6000,68.9700,66.4100,66.5300,66.5300,668679,0.0000,1.0000
2018-12-21,70.0800,71.8300,68.8900,68.9900,68.9900,2880084,0.0000,1.0000
2018-12-20,71.4600,71.5400,69.2700,70.0600,70.0600,2267284,0.0000,1.0000
2018-12-19,73.7900,74.8800,71.3000,71.7000,71.7000,1419820,0.0000,1.0000
2018-12-18,74.4100,75.4200,73.2400,73.9500,73.9500,1390127,0.0000,1.0000
2018-12-17,75.9600,76.2136,73.9300,74.3300,74.3300,1274217,0.0000,1.0000
2018-12-14,77.4100,78.1700,76.0600,76.3200,76.3200,974254,0.0000,1.0000
2018-12-13,78.5100,78.9000,77.6100,78.1300,78.1300,1429266,0.0000,1.0000
2018-12-12,79.6200,80.0800,78.2800,78.3400,78.3400,1408086,0.0000,1.0000
2018-12-11,79.4200,79.8500,77.7300,78.3700,78.3700,1669609,0.0000,1.0000
2018-12-10,79.3800,79.4100,76.8300,78.2000,78.2000,1218963,0.0000,1.0000
2018-12-07,82.3200,82.7200,79.1400,79.5000,79.5000,1534735,0.0000,1.0000
2018-12-06,82.5000,82.5000,79.1000,81.8400,81.8400,2574888,0.0000,1.0000
2018-12-04,86.0600,86.0600,83.4200,83.4900,83.4900,1905413,0.0000,1.0000
2018-12-03,86.1000,87.0300,85.4400,86.1600,86.1600,2740009,0.0000,1.0000
2018-11-30,84.2000,84.9900,83.9500,84.8900,84.8900,1732687,0.0000,1.0000
2018-11-29,84.0500,84.4400,83.2100,84.0400,84.0400,1112922,0.4800,1.0000
2018-11-28,83.6700,84.6800,83.2500,84.4000,83.9207,1796058,0.0000,1.0000
2018-11-27,83.7400,83.8300,82.8500,83.3700,82.8965,1709091,0.0000,1.0000
2018-11-26,84.9800,85.6300,83.8200,83.9600,83.4832,1625184,0.0000,1.0000
