timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,56.1700,56.4800,55.8300,55.9900,55.9900,1464013,0.0000,1.0000
2019-02-08,56.7500,56.7500,55.1520,56.1300,56.1300,1224865,0.0000,1.0000
2019-02-07,56.0900,57.4100,55.9400,57.0300,57.0300,1774629,0.0000,1.0000
2019-02-06,56.7300,57.1100,55.8750,56.1500,56.1500,1190262,0.0000,1.0000
2019-02-05,56.8500,57.9000,56.7300,56.8500,56.8500,1633003,0.0000,1.0000
2019-02-04,56.3000,56.8600,56.0823,56.6000,56.6000,1121881,0.0000,1.0000
2019-02-01,56.0000,56.7600,55.4400,56.3000,56.3000,2301390,0.0000,1.0000
2019-01-31,55.8000,56.6500,55.6500,56.1300,56.1300,1760807,0.0000,1.0000
2019-01-30,57.0000,57.5000,55.5000,55.8400,55.8400,1640914,0.0000,1.0000
2019-01-29,56.3700,56.8200,55.7700,56.6100,56.6100,1211343,0.0000,1.0000
2019-01-28,56.6800,56.8600,55.7500,56.0700,56.0700,1300547,0.0000,1.0000
2019-01-25,57.1100,57.7500,56.7300,57.0900,57.0900,1633773,0.0000,1.0000
2019-01-24,56.8200,57.2100,56.3300,56.3900,56.3900,2349041,0.0000,1.0000
2019-01-23,56.9900,58.0000,56.7400,56.9600,56.9600,957604,0.0000,1.0000
2019-01-22,57.1000,57.1000,56.1300,56.8500,56.8500,1037760,0.0000,1.0000
2019-01-18,57.2900,57.7300,56.8800,57.3700,57.3700,1300353,0.0000,1.0000
2019-01-17,56.8300,57.5200,56.4600,56.7200,56.7200,943819,0.0000,1.0000
2019-01-16,56.6300,57.7300,56.6300,57.2700,57.2700,1796649,0.0000,1.0000
2019-01-15,56.0400,56.9300,55.7700,56.7700,56.7700,1240711,0.0000,1.0000
2019-01-14,55.6000,56.6000,55.3400,55.9600,55.9600,3050078,0.0000,1.0000
2019-01-11,54.8300,56.1200,54.5900,56.0700,56.0700,1700561,0.0000,1.0000
2019-01-10,53.6600,55.3200,53.6600,55.1600,55.1600,1033097,0.0000,1.0000
2019-01-09,54.3600,54.3800,53.4700,53.9200,53.9200,1151645,0.0000,1.0000
2019-01-08,55.4000,55.4000,53.0000,54.0600,54.0600,1890720,0.0000,1.0000
2019-01-07,54.1100,55.0900,53.4800,54.3700,54.3700,1389671,0.0000,1.0000
2019-01-04,51.8200,54.1900,51.5400,54.0000,54.0000,2491264,0.0000,1.0000
2019-01-03,51.2100,52.2500,50.6300,50.9800,50.9800,1574574,0.0000,1.0000
