timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,45.9500,46.4950,45.7600,46.3800,46.3800,3167488,0.0000,1.0000
2019-02-08,46.3400,46.5800,45.5350,45.9300,45.9300,3569353,0.0000,1.0000
2019-02-07,46.6300,46.8000,45.9350,46.6400,46.6400,2106662,0.0000,1.0000
2019-02-06,46.9500,47.3450,46.6200,46.9400,46.9400,2250346,0.0000,1.0000
2019-02-05,47.5700,47.7700,46.6200,47.1600,47.1600,3961966,0.0000,1.0000
2019-02-04,47.4600,47.7300,47.0300,47.5700,47.5700,2993914,0.0000,1.0000
2019-02-01,46.7600,47.9400,46.6600,47.3000,47.3000,3255020,0.0000,1.0000
2019-01-31,46.1100,46.7100,45.6500,46.6600,46.6600,5114216,0.1400,1.0000
2019-01-30,47.5300,47.5300,45.8700,46.4400,46.3011,4198971,0.0000,1.0000
2019-01-29,47.5300,47.7850,47.2200,47.5000,47.3579,2525380,0.0000,1.0000
2019-01-28,47.3900,47.7500,47.2000,47.5100,47.3679,4186120,0.0000,1.0000
2019-01-25,47.9500,48.5000,47.2700,47.7700,47.6271,8102101,0.0000,1.0000
2019-01-24,49.2600,49.8200,48.9050,49.4800,49.3320,3569992,0.0000,1.0000
2019-01-23,50.3900,50.5700,48.8100,49.3000,49.1525,2802427,0.0000,1.0000
2019-01-22,50.2500,50.4600,49.5800,50.0800,49.9302,2612893,0.0000,1.0000
2019-01-18,50.1500,50.7500,49.3900,50.6600,50.5085,2711488,0.0000,1.0000
2019-01-17,49.1200,50.0300,48.4815,49.7200,49.5713,1870029,0.0000,1.0000
2019-01-16,48.2700,49.5850,48.2100,49.3400,49.1924,2133611,0.0000,1.0000
2019-01-15,47.4200,47.8800,46.9900,47.8000,47.6570,1639455,0.0000,1.0000
2019-01-14,47.4300,48.2500,47.3000,47.6000,47.4576,2129615,0.0000,1.0000
2019-01-11,47.3600,47.9000,46.8550,47.8800,47.7368,1360831,0.0000,1.0000
2019-01-10,47.2100,47.7700,46.8350,47.6600,47.5174,1865955,0.0000,1.0000
2019-01-09,46.5000,47.5850,46.4800,47.4700,47.3280,2755282,0.0000,1.0000
2019-01-08,46.2300,46.5000,45.4200,46.3500,46.2113,2657683,0.0000,1.0000
2019-01-07,45.3200,46.2100,44.8500,45.5700,45.4337,2200712,0.0000,1.0000
2019-01-04,44.2500,45.3800,44.0200,45.2800,45.1445,2081512,0.0000,1.0000
2019-01-03,44.1300,44.4200,43.3300,43.4000,43.2702,2943775,0.0000,1.0000
2019-01-02,43.0200,44.7500,43.0200,44.4700,44.3370,2599307,0.0000,1.0000
2018-12-31,43.9800,44.3000,43.2500,43.8800,43.7487,1776673,0.0000,1.0000
2018-12-28,43.8300,44.1700,43.0700,43.5300,43.3998,2652580,0.0000,1.0000
2018-12-27,42.3400,43.4900,41.9800,43.4800,43.3499,2994097,0.0000,1.0000
2018-12-26,41.4100,43.2400,40.4100,43.2200,43.0907,2960126,0.0000,1.0000
2018-12-24,41.2500,42.1100,41.0100,41.2700,41.1465,1610796,0.0000,1.0000
