,timestamp1,open1,high1,low1,close1,symbol
0,2019-02-11,11.5,11.615,11.45,11.53,FCX
1,2019-02-08,11.85,11.95,11.4,11.61,FCX
2,2019-02-07,11.85,12.14,11.8,11.86,FCX
3,2019-02-06,11.86,12.05,11.775,11.91,FCX
4,2019-02-05,11.9,12.01,11.77,11.87,FCX
5,2019-02-04,11.44,11.97,11.42,11.86,FCX
6,2019-02-01,11.56,11.63,11.395,11.51,FCX
7,2019-01-31,11.23,11.76,11.21,11.64,FCX
8,2019-01-30,10.62,11.345,10.6,11.27,FCX
9,2019-01-29,10.43,10.59,10.26,10.45,FCX
10,2019-01-28,11.02,11.05,10.2,10.28,FCX
11,2019-01-25,10.97,11.48,10.96,11.24,FCX
12,2019-01-24,11.47,11.88,10.6,10.7,FCX
13,2019-01-23,12.4,12.55,12.18,12.31,FCX
14,2019-01-22,12.27,12.41,12.11,12.38,FCX
15,2019-01-18,12.32,12.645,12.28,12.56,FCX
16,2019-01-17,11.9,12.22,11.86,12.13,FCX
17,2019-01-16,11.71,11.97,11.63,11.89,FCX
18,2019-01-15,11.85,11.965,11.44,11.57,FCX
19,2019-01-14,11.41,11.635,11.3964,11.55,FCX
20,2019-01-11,11.51,11.74,11.365,11.6,FCX
21,2019-01-10,11.33,11.53,11.2439,11.51,FCX
22,2019-01-09,11.34,11.6,11.18,11.51,FCX
23,2019-01-08,11.15,11.27,10.98,11.2,FCX
24,2019-01-07,10.96,11.22,10.81,11.0,FCX
25,2019-01-04,10.4752,10.93,10.33,10.82,FCX
26,2019-01-03,10.27,10.385,9.835,10.07,FCX
27,2019-01-02,10.01,10.5,9.93,10.36,FCX
28,2018-12-31,10.47,10.51,10.04,10.31,FCX
29,2018-12-28,10.74,10.88,10.37,10.47,FCX
30,2018-12-27,10.14,10.69,10.02,10.67,FCX
31,2018-12-26,9.9,10.4,9.6,10.4,FCX
32,2018-12-24,9.93,10.08,9.72,9.78,FCX
33,2018-12-21,10.36,10.48,9.99,10.05,FCX
34,2018-12-20,10.31,10.51,10.0,10.24,FCX
35,2018-12-19,10.63,11.04,10.03,10.18,FCX
36,2018-12-18,10.64,11.14,10.44,10.6,FCX
37,2018-12-17,10.58,10.96,10.41,10.59,FCX
38,2018-12-14,10.64,10.9,10.39,10.57,FCX
39,2018-12-13,11.23,11.3,10.79,10.92,FCX
40,2018-12-12,10.96,11.37,10.95,11.07,FCX
41,2018-12-11,11.01,11.14,10.61,10.76,FCX
42,2018-12-10,10.86,10.93,10.45,10.69,FCX
43,2018-12-07,11.25,11.49,10.9,10.92,FCX
44,2018-12-06,11.04,11.16,10.73,11.15,FCX
45,2018-12-04,12.2,12.31,11.4125,11.5,FCX
46,2018-12-03,12.45,12.665,12.05,12.09,FCX
47,2018-11-30,11.71,11.99,11.58,11.94,FCX
48,2018-11-29,11.9,11.995,11.62,11.82,FCX
49,2018-11-28,11.33,11.99,10.975,11.97,FCX
50,2018-11-27,10.89,11.27,10.86,11.24,FCX
51,2018-11-26,10.75,11.215,10.71,11.09,FCX
52,2018-11-23,11.08,11.1,10.76,10.77,FCX
53,2018-11-21,11.1,11.49,11.03,11.41,FCX
54,2018-11-20,11.27,11.27,10.77,10.88,FCX
55,2018-11-19,11.91,12.0067,11.48,11.51,FCX
56,2018-11-16,11.97,12.11,11.76,11.96,FCX
57,2018-11-15,11.56,12.175,11.51,11.96,FCX
58,2018-11-14,11.3,11.65,11.235,11.54,FCX
59,2018-11-13,11.16,11.5,11.055,11.25,FCX
60,2018-11-12,11.43,11.455,11.07,11.16,FCX
61,2018-11-09,11.56,11.61,11.18,11.35,FCX
62,2018-11-08,12.21,12.27,11.87,11.93,FCX
63,2018-11-07,12.17,12.35,12.04,12.33,FCX
64,2018-11-06,12.23,12.39,12.1334,12.2,FCX
65,2018-11-05,12.2,12.33,12.055,12.22,FCX
66,2018-11-02,12.48,12.69,12.005,12.24,FCX
67,2018-11-01,11.86,12.47,11.76,12.28,FCX
68,2018-10-31,11.57,11.78,11.38,11.65,FCX
69,2018-10-30,10.99,11.485,10.95,11.41,FCX
