timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,9.8700,10.1500,9.8300,10.0300,10.0300,70649484,0.0000,1.0000
2019-02-08,10.0100,10.1000,9.5400,9.8100,9.8100,118549512,0.0000,1.0000
2019-02-07,10.4200,10.4400,9.9700,10.0600,10.0600,108704197,0.0000,1.0000
2019-02-06,10.6701,10.9100,10.4300,10.4700,10.4700,120486531,0.0000,1.0000
2019-02-05,10.2500,10.6500,10.1700,10.6300,10.6300,102823122,0.0000,1.0000
2019-02-04,10.2700,10.3400,10.1000,10.2100,10.2100,103243874,0.0000,1.0000
2019-02-01,10.2000,10.4300,9.9600,10.1900,10.1900,158161788,0.0000,1.0000
2019-01-31,9.9400,10.7700,9.7600,10.1600,10.1600,348639470,0.0000,1.0000
2019-01-30,8.9800,9.2800,8.8800,9.1000,9.1000,86434567,0.0000,1.0000
2019-01-29,8.9000,9.1300,8.6500,8.9000,8.9000,114467693,0.0000,1.0000
2019-01-28,8.9800,9.0000,8.7500,8.9300,8.9300,91635871,0.0000,1.0000
2019-01-25,8.8500,9.2100,8.8400,9.1600,9.1600,112339638,0.0000,1.0000
2019-01-24,8.6300,8.9700,8.6100,8.7800,8.7800,90331550,0.0000,1.0000
2019-01-23,8.6900,8.8400,8.6100,8.7300,8.7300,72385915,0.0000,1.0000
2019-01-22,8.9795,8.9900,8.5600,8.6600,8.6600,108172008,0.0000,1.0000
2019-01-18,9.2300,9.2500,9.0300,9.0600,9.0600,92734517,0.0000,1.0000
2019-01-17,8.9000,9.1867,8.7500,9.1400,9.1400,105792241,0.0000,1.0000
2019-01-16,8.7100,9.0000,8.6600,8.9800,8.9800,84265676,0.0000,1.0000
2019-01-15,8.9100,8.9300,8.7000,8.7300,8.7300,94058188,0.0000,1.0000
2019-01-14,8.8100,9.0000,8.7600,8.9000,8.9000,81678101,0.0000,1.0000
2019-01-11,8.8700,8.9500,8.7200,8.9400,8.9400,80669289,0.0000,1.0000
2019-01-10,8.5000,8.9500,8.4850,8.9400,8.9400,112341452,0.0000,1.0000
2019-01-09,8.5200,8.7600,8.1800,8.5000,8.5000,116306329,0.0000,1.0000
2019-01-08,8.9100,9.0400,8.5150,8.5600,8.5600,146980417,0.0000,1.0000
