,timestamp1,open1,high1,low1,close1,symbol
0,2019-02-11,51.83,53.69,51.34,53.58,HES
1,2019-02-08,52.31,52.58,51.1,52.47,HES
2,2019-02-07,54.2,54.4808,52.01,52.4,HES
3,2019-02-06,54.7,55.16,54.13,54.94,HES
4,2019-02-05,55.4,55.87,54.285,54.41,HES
5,2019-02-04,54.77,55.8,54.25,55.67,HES
6,2019-02-01,54.6,56.62,54.405,55.66,HES
7,2019-01-31,54.04,55.38,53.86,54.0,HES
8,2019-01-30,52.92,54.05,51.28,53.93,HES
9,2019-01-29,52.25,52.57,51.69,51.87,HES
10,2019-01-28,51.56,52.11,51.05,51.73,HES
11,2019-01-25,51.54,53.63,51.47,53.1,HES
12,2019-01-24,50.9,51.89,50.37,51.0,HES
13,2019-01-23,52.35,52.35,50.08,51.05,HES
14,2019-01-22,51.93,52.585,51.495,51.87,HES
15,2019-01-18,52.51,52.95,51.79,52.81,HES
16,2019-01-17,50.71,52.405,50.56,51.84,HES
17,2019-01-16,51.85,52.1,51.15,51.28,HES
18,2019-01-15,51.6,52.41,51.42,51.82,HES
19,2019-01-14,50.4,51.38,50.21,50.81,HES
20,2019-01-11,51.01,51.33,50.2,51.27,HES
21,2019-01-10,49.68,52.035,49.11,51.95,HES
22,2019-01-09,49.15,50.56,48.6,50.16,HES
23,2019-01-08,48.7,48.79,47.541,48.48,HES
24,2019-01-07,45.81,48.17,45.1,47.88,HES
25,2019-01-04,43.5,45.86,43.0,45.69,HES
26,2019-01-03,42.4,42.85,40.6,42.39,HES
27,2019-01-02,39.29,42.4,39.08,42.24,HES
28,2018-12-31,40.65,41.32,40.08,40.5,HES
29,2018-12-28,41.72,41.85,40.17,40.38,HES
30,2018-12-27,39.69,41.61,39.06,41.54,HES
31,2018-12-26,37.26,40.48,35.5925,40.45,HES
32,2018-12-24,40.64,40.86,36.43,36.43,HES
33,2018-12-21,43.27,43.7,41.25,41.49,HES
34,2018-12-20,45.41,46.12,43.4,43.51,HES
35,2018-12-19,47.66,48.7,45.9,46.0,HES
36,2018-12-18,49.75,49.83,47.28,47.31,HES
37,2018-12-17,50.73,51.2,49.27,49.76,HES
38,2018-12-14,51.43,52.28,50.5,50.9,HES
39,2018-12-13,51.74,53.58,51.57,52.21,HES
40,2018-12-12,52.82,53.82,51.4,51.74,HES
41,2018-12-11,52.64,52.94,51.47,51.98,HES
42,2018-12-10,51.75,52.57,50.37,51.49,HES
