timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,15.9100,16.0450,15.8300,15.8400,15.8400,7021592,0.0000,1.0000
2019-02-08,15.6600,15.9250,15.6200,15.9200,15.9200,7984709,0.0000,1.0000
2019-02-07,15.9100,16.0950,15.7500,15.8500,15.8500,6135546,0.0000,1.0000
2019-02-06,15.9400,16.1900,15.9000,16.0900,16.0900,7159007,0.0000,1.0000
2019-02-05,15.7900,16.0990,15.7800,15.8900,15.8900,6625746,0.0000,1.0000
2019-02-04,15.7300,15.8500,15.5800,15.7900,15.7900,9193826,0.0000,1.0000
2019-02-01,15.6900,15.8100,15.5650,15.6900,15.6900,9152135,0.0000,1.0000
2019-01-31,15.4700,15.6500,15.3500,15.5900,15.5900,11945802,0.0000,1.0000
2019-01-30,15.4800,15.6700,15.2750,15.5200,15.5200,7852407,0.0000,1.0000
2019-01-29,15.7500,15.8600,15.3650,15.3700,15.3700,20884296,0.0000,1.0000
2019-01-28,15.1100,15.6700,15.0700,15.6600,15.6600,29335781,0.0000,1.0000
2019-01-25,14.9400,15.3800,14.9050,15.3500,15.3500,17843446,0.0000,1.0000
2019-01-24,14.4800,14.8800,14.4400,14.7600,14.7600,7087941,0.0000,1.0000
2019-01-23,14.5200,14.6900,14.3200,14.4400,14.4400,6831401,0.0000,1.0000
2019-01-22,14.6600,14.6600,14.3500,14.4500,14.4500,9537611,0.0000,1.0000
2019-01-18,14.3800,14.7500,14.3800,14.6800,14.6800,8935855,0.0000,1.0000
2019-01-17,14.2600,14.4000,14.1000,14.2700,14.2700,6239980,0.0000,1.0000
2019-01-16,13.7700,14.3700,13.7300,14.3200,14.3200,12256760,0.0000,1.0000
2019-01-15,14.2100,14.4900,14.1700,14.4400,14.4400,6786449,0.0000,1.0000
2019-01-14,14.1100,14.3067,14.0100,14.1600,14.1600,8960258,0.0000,1.0000
2019-01-11,14.0400,14.2600,13.8900,14.2400,14.2400,6507207,0.0000,1.0000
2019-01-10,13.9900,14.1400,13.8800,14.1300,14.1300,8556153,0.0000,1.0000
2019-01-09,13.8800,14.1950,13.8800,14.0600,14.0600,7668107,0.0000,1.0000
2019-01-08,14.1900,14.3100,13.6850,13.8000,13.8000,12732472,0.0000,1.0000
2019-01-07,13.8200,14.1700,13.7500,14.0700,14.0700,8027463,0.0000,1.0000
2019-01-04,13.5100,13.9200,13.4500,13.8000,13.8000,11277089,0.0000,1.0000
2019-01-03,13.2800,13.3700,12.9300,13.1800,13.1800,11921669,0.0000,1.0000
2019-01-02,12.9500,13.6400,12.9500,13.4600,13.4600,10865536,0.0000,1.0000
2018-12-31,13.1700,13.2550,13.0300,13.2100,13.2100,6453785,0.0000,1.0000
2018-12-28,13.2100,13.3150,12.9700,13.0300,13.0300,8726986,0.0000,1.0000
2018-12-27,12.6900,13.1200,12.5400,13.1000,13.1000,8150284,0.0000,1.0000
2018-12-26,12.3400,12.8600,12.0868,12.8100,12.8100,10312248,0.0000,1.0000
2018-12-24,12.4600,12.5950,12.2250,12.2700,12.2700,5400214,0.0000,1.0000
2018-12-21,12.6600,13.0000,12.4850,12.6100,12.6100,25427629,0.0000,1.0000
2018-12-20,13.0800,13.1600,12.5950,12.6500,12.6500,18528340,0.0000,1.0000
2018-12-19,13.5900,13.8400,13.0700,13.1700,13.1700,14299881,0.0000,1.0000
2018-12-18,13.7100,13.9300,13.5400,13.6300,13.6300,12805013,0.0000,1.0000
2018-12-17,14.1700,14.2700,13.5500,13.5900,13.5900,17072752,0.0000,1.0000
2018-12-14,14.3500,14.4600,14.2000,14.2200,14.2200,11166186,0.0000,1.0000
2018-12-13,14.6500,14.9300,14.4400,14.4900,14.4900,12862136,0.0000,1.0000
2018-12-12,14.9600,14.9900,14.6300,14.6400,14.6400,14122854,0.0000,1.0000
2018-12-11,14.5800,14.8300,14.3800,14.7400,14.7400,16343589,0.1125,1.0000
2018-12-10,14.6200,14.8450,14.1900,14.5700,14.4596,14047623,0.0000,1.0000
2018-12-07,15.9700,15.9700,14.6600,14.7100,14.5986,18469946,0.0000,1.0000
2018-12-06,14.8100,16.2600,14.5600,16.0200,15.8987,29136697,0.0000,1.0000
2018-12-04,15.4200,15.5400,14.9800,15.0500,14.9360,18349541,0.0000,1.0000
2018-12-03,15.2600,15.5300,15.2200,15.5000,15.3826,14845103,0.0000,1.0000
2018-11-30,15.0900,15.1400,14.7700,15.0000,14.8864,20963157,0.0000,1.0000
2018-11-29,15.4000,15.4200,15.1000,15.1200,15.0055,10922008,0.0000,1.0000
2018-11-28,15.1800,15.4600,14.9000,15.4600,15.3429,13439221,0.0000,1.0000
2018-11-27,14.7900,15.0600,14.7600,15.0600,14.9459,7771920,0.0000,1.0000
2018-11-26,14.7200,14.9850,14.6900,14.9100,14.7971,9953860,0.0000,1.0000
2018-11-23,14.5600,14.7150,14.4900,14.5400,14.4299,2909396,0.0000,1.0000
2018-11-21,14.6400,14.9300,14.6300,14.7000,14.5887,8652318,0.0000,1.0000
2018-11-20,14.6000,14.8000,14.4050,14.5300,14.4199,11300698,0.0000,1.0000
2018-11-19,15.1000,15.2150,14.7000,14.8300,14.7177,12707703,0.0000,1.0000
2018-11-16,15.2800,15.3500,15.1000,15.2000,15.0849,11150637,0.0000,1.0000
2018-11-15,15.0700,15.4800,14.8900,15.3200,15.2040,15279988,0.0000,1.0000
2018-11-14,15.4800,15.6750,15.1100,15.1500,15.0352,16235387,0.0000,1.0000
2018-11-13,15.3100,15.6100,15.2446,15.3400,15.2238,9517002,0.0000,1.0000
2018-11-12,15.5800,15.6050,15.1900,15.2800,15.1643,9571270,0.0000,1.0000
2018-11-09,16.1300,16.1950,15.5650,15.7200,15.6009,10721490,0.0000,1.0000
2018-11-08,16.1900,16.5187,16.1500,16.2500,16.1269,7195475,0.0000,1.0000
2018-11-07,16.0300,16.2500,15.8400,16.2400,16.1170,18460163,0.0000,1.0000
2018-11-06,15.9300,16.0700,15.8300,15.8800,15.7597,13047271,0.0000,1.0000
2018-11-05,15.8900,16.0100,15.6800,15.9300,15.8093,6268145,0.0000,1.0000
2018-11-02,15.8300,16.0950,15.7346,15.8900,15.7696,15140663,0.0000,1.0000
2018-11-01,15.2400,15.8000,15.2400,15.8000,15.6803,6066828,0.0000,1.0000
2018-10-31,15.1400,15.5200,15.1400,15.2500,15.1345,9547415,0.0000,1.0000
2018-10-30,14.5700,14.9400,14.5100,14.9300,14.8169,8297060,0.0000,1.0000
2018-10-29,14.8000,15.0500,14.3600,14.5700,14.4596,8024445,0.0000,1.0000
2018-10-26,14.9700,14.9800,14.4760,14.6300,14.5192,10469596,0.0000,1.0000
2018-10-25,15.2000,15.3450,15.0800,15.1500,15.0352,8175749,0.0000,1.0000
2018-10-24,15.6300,15.7950,15.0600,15.0900,14.9757,8119527,0.0000,1.0000
2018-10-23,15.5300,15.7500,15.3100,15.6500,15.5315,9081348,0.0000,1.0000
2018-10-22,15.5400,15.8900,15.5200,15.8400,15.7200,7881611,0.0000,1.0000
2018-10-19,15.3500,15.6300,15.3400,15.4400,15.3230,7652659,0.0000,1.0000
2018-10-18,15.4000,15.5300,15.1000,15.3300,15.2139,8275157,0.0000,1.0000
2018-10-17,15.5900,15.6500,15.3100,15.5200,15.4024,6231693,0.0000,1.0000
