,timestamp1,open1,high1,low1,close1,symbol
0,2019-02-11,54.9,55.8116,54.62,55.68,HP
1,2019-02-08,55.49,55.83,54.51,55.44,HP
2,2019-02-07,56.3,56.47,54.73,55.75,HP
3,2019-02-06,56.15,57.21,56.05,57.13,HP
4,2019-02-05,57.1,57.485,56.28,56.47,HP
5,2019-02-04,56.0,57.31,55.8,57.1,HP
6,2019-02-01,56.28,56.97,55.52,56.55,HP
7,2019-01-31,58.0,58.28,55.2601,55.99,HP
8,2019-01-30,54.67,57.52,52.91,56.83,HP
9,2019-01-29,53.44,54.83,53.32,53.86,HP
10,2019-01-28,52.41,52.75,51.59,52.41,HP
11,2019-01-25,53.05,53.74,52.45,53.42,HP
12,2019-01-24,50.62,52.86,50.62,52.57,HP
13,2019-01-23,52.2,52.24,50.0001,50.68,HP
14,2019-01-22,53.31,53.31,51.84,52.01,HP
15,2019-01-18,54.38,54.53,53.55,54.14,HP
16,2019-01-17,52.02,53.85,51.77,53.58,HP
17,2019-01-16,53.06,53.6,52.83,52.9,HP
18,2019-01-15,54.1,54.26,52.9,53.39,HP
19,2019-01-14,52.99,53.61,52.8,53.23,HP
20,2019-01-11,53.26,53.58,52.52,53.43,HP
21,2019-01-10,52.83,54.63,52.68,53.97,HP
22,2019-01-09,51.9,53.845,51.1501,53.51,HP
23,2019-01-08,51.69,51.72,50.77,51.0,HP
24,2019-01-07,49.22,50.89,48.9,50.67,HP
25,2019-01-04,48.95,49.43,47.14,49.0,HP
26,2019-01-03,48.1,48.78,46.09,48.06,HP
27,2019-01-02,47.17,49.0028,46.05,48.05,HP
28,2018-12-31,47.91,48.26,47.07,47.94,HP
29,2018-12-28,48.08,48.485,46.9,47.62,HP
30,2018-12-27,46.73,47.74,45.8,47.73,HP
31,2018-12-26,45.9,47.97,44.56,47.94,HP
32,2018-12-24,45.44,46.32,44.76,44.95,HP
33,2018-12-21,46.68,47.99,45.9,46.17,HP
34,2018-12-20,49.82,50.27,46.55,47.16,HP
35,2018-12-19,54.67,54.75,50.62,50.77,HP
36,2018-12-18,56.35,56.35,53.658,54.45,HP
37,2018-12-17,58.42,58.86,56.1,56.37,HP
38,2018-12-14,60.2,60.91,58.18,58.48,HP
39,2018-12-13,61.58,62.21,60.22,60.8,HP
40,2018-12-12,60.83,63.12,60.83,61.94,HP
41,2018-12-11,60.95,61.25,59.4,60.0,HP
42,2018-12-10,59.96,60.38,58.21,59.2,HP
43,2018-12-07,62.15,62.98,60.39,60.74,HP
44,2018-12-06,59.0,60.17,58.08,60.16,HP
45,2018-12-04,62.2,62.56,60.3,60.59,HP
46,2018-12-03,62.94,63.53,61.27,62.29,HP
47,2018-11-30,60.4,60.65,58.97,60.6,HP
48,2018-11-29,60.99,61.67,60.31,61.15,HP
49,2018-11-28,60.03,60.75,58.59,60.72,HP
50,2018-11-27,60.03,61.36,59.47,59.77,HP
51,2018-11-26,59.78,60.81,59.39,60.26,HP
52,2018-11-23,57.8,59.13,57.24,58.77,HP
