timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,23.9000,24.1050,23.8300,23.9400,23.9400,2351861,0.0000,1.0000
2019-02-08,23.7900,24.0300,23.7900,23.9100,23.9100,2508989,0.0000,1.0000
2019-02-07,23.8800,24.0150,23.8300,23.9800,23.9800,2989256,0.0000,1.0000
2019-02-06,23.8800,24.0300,23.6600,24.0100,24.0100,2348412,0.0000,1.0000
2019-02-05,23.6700,24.0500,23.6100,23.9300,23.9300,5185692,0.0000,1.0000
2019-02-04,23.9600,23.9900,23.4500,23.6200,23.6200,3299514,0.0000,1.0000
2019-02-01,23.6650,24.0300,23.5000,23.9900,23.9900,6252156,0.0000,1.0000
2019-01-31,24.7900,24.8200,22.9600,23.5900,23.5900,12991246,0.0000,1.0000
2019-01-30,25.8200,25.8200,25.4100,25.5200,25.5200,1677269,0.0000,1.0000
2019-01-29,25.7500,25.7900,25.3300,25.6500,25.6500,2454295,0.0000,1.0000
2019-01-28,25.6600,25.7900,25.2100,25.7600,25.7600,2964015,0.0000,1.0000
2019-01-25,25.8800,25.9700,25.6050,25.9100,25.9100,3001400,0.0000,1.0000
2019-01-24,25.4300,25.7600,25.4150,25.7000,25.7000,3097199,0.0000,1.0000
2019-01-23,25.2000,25.7400,25.2000,25.3700,25.3700,2596165,0.0000,1.0000
2019-01-22,25.6000,25.7500,24.8800,25.0800,25.0800,3552725,0.0000,1.0000
2019-01-18,25.1300,25.7450,24.9950,25.6300,25.6300,2861735,0.0000,1.0000
2019-01-17,24.9300,25.4600,24.9100,25.2400,25.2400,3205215,0.0000,1.0000
2019-01-16,25.4000,25.5100,24.7900,25.0300,25.0300,4719516,0.0000,1.0000
2019-01-15,25.5200,25.7350,25.3200,25.3400,25.3400,3872260,0.0000,1.0000
2019-01-14,25.5300,25.9600,25.5200,25.5700,25.5700,3607440,0.0000,1.0000
2019-01-11,25.6000,25.8150,25.4500,25.7800,25.7800,2593798,0.0000,1.0000
2019-01-10,25.6200,25.7750,25.3900,25.6000,25.6000,3411119,0.0000,1.0000
2019-01-09,25.5300,25.9215,25.4400,25.6800,25.6800,3290033,0.0000,1.0000
2019-01-08,25.5600,25.6600,25.1900,25.4500,25.4500,3359928,0.0000,1.0000
2019-01-07,25.4400,25.6400,25.2200,25.3000,25.3000,2923416,0.0000,1.0000
2019-01-04,24.9700,25.4600,24.8900,25.4600,25.4600,2965249,0.0000,1.0000
2019-01-03,25.4900,25.4900,24.6200,24.6900,24.6900,3607999,0.0000,1.0000
2019-01-02,25.0400,25.6000,24.9900,25.5800,25.5800,3916696,0.0000,1.0000
2018-12-31,25.3500,25.4550,25.0500,25.3700,25.3700,2139675,0.0000,1.0000
2018-12-28,25.3000,25.4900,24.9900,25.2300,25.2300,2151268,0.0000,1.0000
2018-12-27,24.5800,25.1300,24.2400,25.1200,25.1200,3214414,0.0000,1.0000
2018-12-26,23.7600,24.8800,23.6200,24.8400,24.8400,3066263,0.0000,1.0000
2018-12-24,23.8400,24.1900,23.6050,23.6300,23.6300,1678071,0.0000,1.0000
2018-12-21,24.5200,24.8700,23.8450,23.9400,23.9400,4434618,0.0000,1.0000
2018-12-20,25.0300,25.0700,24.4400,24.5200,24.5200,4190910,0.0000,1.0000
2018-12-19,26.0800,26.2400,25.0400,25.1000,25.1000,3514658,0.0000,1.0000
2018-12-18,26.3800,26.5500,25.8400,26.0200,26.0200,3883190,0.0000,1.0000
2018-12-17,26.8500,27.0400,26.0800,26.2300,26.2300,3227974,0.0000,1.0000
2018-12-14,26.8200,27.3800,26.7300,26.9800,26.9800,2836141,0.0000,1.0000
2018-12-13,28.1300,28.3300,26.8650,27.0300,27.0300,3531138,0.0000,1.0000
2018-12-12,28.1500,28.4600,27.8550,28.0400,28.0400,4309669,0.0000,1.0000
2018-12-11,28.2100,28.6300,27.6100,27.7600,27.7600,3472248,0.0000,1.0000
2018-12-10,27.0600,27.9850,26.9300,27.8800,27.8800,3433866,0.0000,1.0000
2018-12-07,27.6500,27.9600,26.8400,27.0400,27.0400,4597063,0.0000,1.0000
2018-12-06,27.3400,28.2500,26.5200,27.7000,27.7000,4331739,0.0000,1.0000
2018-12-04,27.9700,28.1400,26.8800,27.5200,27.5200,5108018,0.0000,1.0000
2018-12-03,27.2700,28.1300,27.1200,27.9800,27.9800,3715426,0.0000,1.0000
2018-11-30,27.9300,28.1500,26.7900,27.0100,27.0100,4302989,0.2500,1.0000
2018-11-29,28.2700,28.4099,28.0600,28.2400,27.9810,4009696,0.0000,1.0000
2018-11-28,27.7800,28.3700,27.7600,28.2900,28.0306,3175727,0.0000,1.0000
2018-11-27,27.9700,28.1900,27.7300,27.7900,27.5351,2676161,0.0000,1.0000
2018-11-26,28.1900,28.2400,27.7500,28.0500,27.7928,2197448,0.0000,1.0000
2018-11-23,27.7000,28.0800,27.5731,27.9500,27.6937,900910,0.0000,1.0000
2018-11-21,27.7800,28.1550,27.6500,27.7600,27.5054,1448533,0.0000,1.0000
2018-11-20,27.6700,28.0400,27.6200,27.7300,27.4757,2005919,0.0000,1.0000
2018-11-19,28.3000,28.6200,27.8900,27.9600,27.7036,2645898,0.0000,1.0000
2018-11-16,28.0200,28.5200,27.8900,28.3800,28.1197,1625771,0.0000,1.0000
2018-11-15,28.1100,28.2200,27.6200,28.1700,27.9117,2881357,0.0000,1.0000
