timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,299.6700,301.0000,293.5800,293.7600,293.7600,1331599,0.0000,1.0000
2019-02-08,303.6500,303.8400,297.6600,298.8900,298.8900,697144,0.0000,1.0000
2019-02-07,300.5700,305.4300,299.9800,303.9700,303.9700,1018675,0.0000,1.0000
2019-02-06,298.2900,304.0000,291.6100,301.7700,301.7700,1224420,0.0000,1.0000
2019-02-05,306.5400,308.4560,303.1200,303.4100,303.4100,964438,0.0000,1.0000
2019-02-04,306.2800,308.9800,301.8900,305.9600,305.9600,758725,0.0000,1.0000
2019-02-01,306.2000,309.6500,299.8071,306.3000,306.3000,1127741,0.0000,1.0000
2019-01-31,306.3800,309.4100,304.4800,308.9900,308.9900,918562,0.0000,1.0000
2019-01-30,304.5000,308.1600,303.2200,306.3900,306.3900,802882,0.0000,1.0000
2019-01-29,302.3600,302.3600,297.7100,300.8200,300.8200,614576,0.0000,1.0000
2019-01-28,299.7300,302.1900,295.7500,301.6300,301.6300,921084,0.0000,1.0000
2019-01-25,302.9900,303.9900,298.9500,300.6800,300.6800,660976,0.0000,1.0000
2019-01-24,299.0500,302.9000,296.7300,300.5300,300.5300,805973,0.0000,1.0000
2019-01-23,299.4300,299.9800,292.6100,299.2800,299.2800,1432263,0.0000,1.0000
2019-01-22,294.3100,298.9200,293.8400,298.7800,298.7800,1614866,0.0000,1.0000
2019-01-18,293.0000,296.8900,292.7865,295.5600,295.5600,766269,0.0000,1.0000
2019-01-17,291.7600,293.8900,290.5723,291.0200,291.0200,1195730,0.0000,1.0000
2019-01-16,289.8900,293.5000,287.8600,293.3000,293.3000,1037271,0.0000,1.0000
2019-01-15,284.0000,289.6300,284.0000,288.6100,288.6100,892959,0.0000,1.0000
2019-01-14,280.7000,284.0800,280.4300,282.0800,282.0800,842831,0.0000,1.0000
2019-01-11,275.9000,284.7700,275.2000,283.4700,283.4700,1081443,0.0000,1.0000
2019-01-10,275.1100,276.1800,271.9100,275.0200,275.0200,855937,0.0000,1.0000
2019-01-09,276.0200,281.2900,275.4400,276.2500,276.2500,775505,0.0000,1.0000
2019-01-08,278.7100,280.3000,271.2100,274.9300,274.9300,1313142,0.0000,1.0000
2019-01-07,277.0000,279.8800,274.5300,276.5800,276.5800,1298719,0.0000,1.0000
2019-01-04,272.3100,279.7200,271.0700,276.6200,276.6200,1698998,0.0000,1.0000
2019-01-03,281.4000,283.0200,269.1800,269.7000,269.7000,1330751,0.0000,1.0000
2019-01-02,283.3100,283.8600,277.2300,281.5900,281.5900,1168844,0.0000,1.0000
2018-12-31,282.9400,287.1600,281.9700,286.4800,286.4800,860505,0.0000,1.0000
2018-12-28,286.2400,287.4800,280.6500,282.2800,282.2800,849688,0.5000,1.0000
2018-12-27,280.2100,284.6300,273.9326,284.4300,283.9271,887792,0.0000,1.0000
2018-12-26,273.8500,282.9200,272.1100,282.6100,282.1103,836759,0.0000,1.0000
2018-12-24,273.6074,276.8200,271.0100,273.3600,272.8767,514949,0.0000,1.0000
2018-12-21,275.0200,284.9100,274.6400,274.6400,274.1544,2109984,0.0000,1.0000
2018-12-20,284.2500,284.4200,275.5800,278.0900,277.5983,1470701,0.0000,1.0000
2018-12-19,291.9200,292.2250,281.0550,283.2900,282.7891,1655640,0.0000,1.0000
2018-12-18,305.0700,306.7150,289.1779,292.0200,291.5037,1497232,0.0000,1.0000
2018-12-17,294.6100,305.2100,294.0800,303.2200,302.6839,1897314,0.0000,1.0000
2018-12-14,309.8100,309.8100,298.2800,299.9300,299.3997,1121454,0.0000,1.0000
2018-12-13,312.6000,318.7600,311.3400,312.5000,311.9475,948837,0.0000,1.0000
2018-12-12,307.1100,315.0450,307.1100,310.5200,309.9710,865975,0.0000,1.0000
2018-12-11,310.9600,313.0200,303.6000,306.0700,305.5288,869703,0.0000,1.0000
2018-12-10,306.9900,308.5400,297.0000,307.3200,306.7766,1268734,0.0000,1.0000
2018-12-07,314.8300,318.1400,304.7600,306.0000,305.4589,1320988,0.0000,1.0000
2018-12-06,322.6400,322.6400,306.6700,316.2700,315.7108,1913651,0.0000,1.0000
2018-12-04,333.2000,336.1300,323.5800,324.4700,323.8963,1951894,0.0000,1.0000
2018-12-03,330.2600,333.6900,322.9800,333.4800,332.8904,1795006,0.0000,1.0000
2018-11-30,331.3200,332.9550,328.4200,329.4700,328.8874,1138044,0.0000,1.0000
2018-11-29,327.4700,332.6900,326.0550,330.2900,329.7060,912482,0.0000,1.0000
2018-11-28,311.2400,329.0400,311.2400,328.9000,328.3185,1373265,0.0000,1.0000
2018-11-27,312.0800,313.8725,306.7900,309.6300,309.0825,996809,0.0000,1.0000
2018-11-26,307.2400,314.9200,306.0600,313.5500,312.9956,1073171,0.0000,1.0000
2018-11-23,303.5700,306.9200,302.9100,305.9200,305.3791,309394,0.0000,1.0000
2018-11-21,307.5500,308.8950,302.0000,305.1000,304.5605,1414273,0.0000,1.0000
2018-11-20,308.5500,308.8700,299.6319,307.2200,306.6768,1705287,0.0000,1.0000
2018-11-19,319.7600,320.6850,309.5400,310.4000,309.8512,1050380,0.0000,1.0000
2018-11-16,317.0000,319.9700,314.5650,319.7300,319.1647,1268311,0.0000,1.0000
2018-11-15,319.7100,320.0300,312.2700,318.0100,317.4477,1122782,0.0000,1.0000
2018-11-14,333.7200,335.3800,319.5900,320.4100,319.8435,1534875,0.0000,1.0000
2018-11-13,337.8900,338.7200,333.1700,334.0700,333.4793,985564,0.0000,1.0000
2018-11-12,338.4900,339.4300,335.7300,337.6500,337.0530,772161,0.0000,1.0000
2018-11-09,338.5600,342.0337,336.0000,338.9500,338.3507,783391,0.0000,1.0000
