timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,226.8300,227.3200,224.6600,225.4700,225.4700,1365572,0.0000,1.0000
2019-02-08,219.3100,224.9100,218.8338,224.8300,224.8300,1400610,0.0000,1.0000
2019-02-07,222.1600,223.4400,220.5000,220.9700,220.9700,1166408,0.0000,1.0000
2019-02-06,224.1500,224.8525,221.0800,224.5800,224.5800,915885,0.0000,1.0000
2019-02-05,221.4300,225.4700,221.1900,224.4900,224.4900,1818218,0.0000,1.0000
2019-02-04,216.8800,222.3600,215.5600,220.9100,220.9100,2256024,0.0000,1.0000
2019-02-01,215.7400,216.8600,212.6700,214.4500,214.4500,1934978,0.0000,1.0000
2019-01-31,213.6000,217.4000,213.3000,215.8200,215.8200,2792264,0.0000,1.0000
2019-01-30,209.7200,214.6500,209.6000,214.1000,214.1000,1251485,0.0000,1.0000
2019-01-29,211.2100,211.8650,207.6900,208.3300,208.3300,995655,0.0000,1.0000
2019-01-28,212.8300,212.9000,209.7500,211.0500,211.0500,972488,0.0000,1.0000
2019-01-25,214.6000,215.5100,212.7600,214.3000,214.3000,1127456,0.0000,1.0000
2019-01-24,212.3400,213.5700,210.2650,212.1600,212.1600,966155,0.0000,1.0000
2019-01-23,213.0000,216.4900,209.8950,212.2400,212.2400,1454721,0.0000,1.0000
2019-01-22,212.8400,215.8200,210.8700,212.3400,212.3400,1656479,0.0000,1.0000
2019-01-18,214.1800,215.3200,210.8900,213.8700,213.8700,1622569,0.0000,1.0000
2019-01-17,208.5100,212.1100,208.5100,211.7300,211.7300,1106376,0.0000,1.0000
2019-01-16,210.9900,214.3800,209.2500,209.9900,209.9900,1340700,0.0000,1.0000
2019-01-15,205.3800,210.2500,205.3800,209.8100,209.8100,1559923,0.0000,1.0000
2019-01-14,203.7500,206.3350,202.9100,205.1500,205.1500,1058036,0.0000,1.0000
2019-01-11,205.4400,207.0000,204.0600,206.1500,206.1500,1479582,0.0000,1.0000
2019-01-10,201.7500,207.2900,201.1050,206.0600,206.0600,1507701,0.0000,1.0000
2019-01-09,204.0600,205.0000,200.3400,202.6600,202.6600,1643215,0.4700,1.0000
2019-01-08,200.8300,203.8600,198.0800,203.7600,203.2885,1654048,0.0000,1.0000
2019-01-07,195.3300,200.4100,195.3300,198.9900,198.5296,1175424,0.0000,1.0000
2019-01-04,191.8100,198.2800,189.7600,196.0000,195.5465,1736376,0.0000,1.0000
2019-01-03,191.2500,193.2400,188.2100,188.5200,188.0838,2016129,0.0000,1.0000
2019-01-02,191.5000,195.8100,191.1100,194.4700,194.0200,1485776,0.0000,1.0000
2018-12-31,197.3700,198.7600,195.4300,196.8500,196.3945,1074167,0.0000,1.0000
