timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,18.1400,18.2300,17.9800,18.1900,18.1900,4113505,0.0000,1.0000
2019-02-08,18.2500,18.3500,17.7000,18.0000,18.0000,4319101,0.0000,1.0000
2019-02-07,18.5500,18.7900,18.1100,18.3700,18.3700,4309810,0.0000,1.0000
2019-02-06,18.7000,18.8850,18.5400,18.5800,18.5800,4086586,0.0000,1.0000
2019-02-05,18.6300,18.7500,18.4650,18.7200,18.7200,3730248,0.0000,1.0000
2019-02-04,18.4400,18.6650,18.2300,18.5800,18.5800,4005291,0.0000,1.0000
2019-02-01,18.3500,18.5600,18.1600,18.3600,18.3600,5477351,0.0000,1.0000
2019-01-31,18.4000,18.5300,18.0500,18.2200,18.2200,10575276,0.0000,1.0000
2019-01-30,18.7600,18.9050,18.0300,18.5900,18.5900,7507426,0.0000,1.0000
2019-01-29,19.3800,19.5000,19.0150,19.0600,19.0600,4277863,0.0000,1.0000
2019-01-28,18.9300,19.4900,18.8700,19.4200,19.4200,5609151,0.0000,1.0000
2019-01-25,19.0000,19.1850,18.8200,19.0200,19.0200,6294059,0.0000,1.0000
2019-01-24,18.5700,18.9000,18.5400,18.7800,18.7800,4370983,0.0000,1.0000
2019-01-23,18.7900,18.8400,18.3800,18.6100,18.6100,3707655,0.0000,1.0000
2019-01-22,18.7900,18.8100,18.5050,18.7100,18.7100,4573590,0.0000,1.0000
2019-01-18,18.6700,19.0000,18.5400,18.8400,18.8400,4682393,0.0000,1.0000
2019-01-17,18.1300,18.6100,17.9300,18.4600,18.4600,4877066,0.0000,1.0000
2019-01-16,17.9400,18.4450,17.8600,18.3100,18.3100,4262114,0.0000,1.0000
2019-01-15,17.5400,17.8200,17.4700,17.8000,17.8000,3587486,0.0000,1.0000
2019-01-14,17.2900,17.7000,17.1300,17.5500,17.5500,5212086,0.0000,1.0000
2019-01-11,17.2800,17.6500,17.1000,17.3800,17.3800,6079454,0.0000,1.0000
2019-01-10,17.3200,17.7400,17.2900,17.5500,17.5500,5046481,0.0000,1.0000
2019-01-09,17.2700,17.5700,17.1700,17.3200,17.3200,3957073,0.0000,1.0000
2019-01-08,17.6000,17.8200,17.1900,17.2800,17.2800,3998139,0.0000,1.0000
2019-01-07,17.1900,17.7200,17.0100,17.4700,17.4700,3884702,0.0000,1.0000
2019-01-04,16.7500,17.3350,16.6200,17.2600,17.2600,5041513,0.0000,1.0000
2019-01-03,16.7500,16.8450,16.3600,16.4300,16.4300,6000571,0.0000,1.0000
2019-01-02,16.4200,17.0400,16.3200,16.8400,16.8400,5222267,0.0000,1.0000
2018-12-31,16.5300,16.8200,16.4007,16.7400,16.7400,3800760,0.0000,1.0000
