,timestamp1,open1,high1,low1,close1,symbol
0,2019-02-11,34.12,34.38,33.95,34.07,JCI
1,2019-02-08,33.72,34.01,33.34,34.0,JCI
2,2019-02-07,33.95,34.09,33.45,33.89,JCI
3,2019-02-06,34.03,34.39,33.95,34.12,JCI
4,2019-02-05,33.79,34.115,33.6,34.04,JCI
5,2019-02-04,33.09,33.84,33.09,33.82,JCI
6,2019-02-01,33.72,34.1,32.895,33.25,JCI
7,2019-01-31,32.99,33.88,32.77,33.77,JCI
8,2019-01-30,32.94,33.3,32.58,33.09,JCI
9,2019-01-29,32.61,33.03,32.61,32.82,JCI
10,2019-01-28,32.41,32.83,32.11,32.69,JCI
11,2019-01-25,32.62,33.015,32.57,32.71,JCI
12,2019-01-24,32.01,32.42,31.985,32.27,JCI
13,2019-01-23,32.62,32.7,31.815,32.04,JCI
14,2019-01-22,32.55,32.58,32.06,32.55,JCI
15,2019-01-18,32.37,33.06,32.3,32.73,JCI
16,2019-01-17,31.49,32.35,31.44,32.26,JCI
17,2019-01-16,31.64,31.99,31.64,31.67,JCI
18,2019-01-15,32.25,32.4,31.48,31.71,JCI
19,2019-01-14,31.98,32.635,31.98,32.37,JCI
20,2019-01-11,31.5,32.35,31.5,32.18,JCI
21,2019-01-10,31.7,32.15,31.58,31.88,JCI
22,2019-01-09,32.04,32.21,31.44,31.97,JCI
23,2019-01-08,32.1,32.4,31.53,31.94,JCI
24,2019-01-07,31.33,32.04,31.2,31.72,JCI
25,2019-01-04,30.42,31.4,30.42,31.21,JCI
26,2019-01-03,30.32,30.725,29.95,30.01,JCI
27,2019-01-02,29.3,30.51,29.16,30.5,JCI
28,2018-12-31,29.65,29.91,29.15,29.65,JCI
29,2018-12-28,29.85,30.11,29.39,29.61,JCI
30,2018-12-27,29.33,29.71,28.64,29.71,JCI
31,2018-12-26,28.62,29.74,28.295,29.74,JCI
32,2018-12-24,29.37,29.69,28.5,28.51,JCI
33,2018-12-21,30.42,31.07,29.43,29.47,JCI
34,2018-12-20,30.79,31.3101,30.31,30.49,JCI
35,2018-12-19,31.88,32.6095,30.72,30.83,JCI
36,2018-12-18,31.27,32.03,31.12,31.79,JCI
37,2018-12-17,31.95,32.27,30.915,31.06,JCI
38,2018-12-14,31.7,32.44,31.65,31.97,JCI
39,2018-12-13,32.76,33.01,32.11,32.14,JCI
40,2018-12-12,32.61,33.23,32.56,32.6,JCI
41,2018-12-11,32.86,33.17,32.175,32.23,JCI
42,2018-12-10,32.7,32.71,31.7335,32.35,JCI
43,2018-12-07,33.31,33.88,32.6314,32.66,JCI
44,2018-12-06,33.34,33.53,32.76,33.39,JCI
45,2018-12-04,34.88,35.105,33.79,33.89,JCI
46,2018-12-03,35.0,35.63,34.44,35.04,JCI
47,2018-11-30,34.23,34.815,34.21,34.78,JCI
48,2018-11-29,33.93,34.485,33.69,34.27,JCI
49,2018-11-28,33.53,34.0,33.09,34.0,JCI
50,2018-11-27,33.47,33.83,33.34,33.5,JCI
51,2018-11-26,33.55,34.055,33.5431,33.78,JCI
52,2018-11-23,33.02,33.76,32.76,33.39,JCI
53,2018-11-21,33.32,33.725,33.07,33.25,JCI
54,2018-11-20,33.03,33.91,33.03,33.34,JCI
55,2018-11-19,33.21,33.7,32.98,33.45,JCI
56,2018-11-16,33.43,33.97,33.39,33.44,JCI
57,2018-11-15,33.05,33.72,32.85,33.52,JCI
58,2018-11-14,34.81,35.03,33.145,33.41,JCI
59,2018-11-13,34.95,35.745,34.65,34.78,JCI
60,2018-11-12,34.3,34.69,33.91,34.19,JCI
61,2018-11-09,34.22,34.51,33.835,34.35,JCI
62,2018-11-08,34.0,35.55,33.59,34.48,JCI
63,2018-11-07,33.59,33.63,32.8,33.4,JCI
64,2018-11-06,32.97,33.43,32.91,33.26,JCI
65,2018-11-05,32.54,33.2,32.54,33.08,JCI
66,2018-11-02,33.58,33.79,32.44,32.5,JCI
67,2018-11-01,32.22,33.46,32.09,33.34,JCI
68,2018-10-31,32.12,32.275,31.71,31.97,JCI
69,2018-10-30,31.33,31.95,31.06,31.81,JCI
70,2018-10-29,31.8,32.7,30.6,31.28,JCI
71,2018-10-26,31.84,31.915,30.905,31.32,JCI
72,2018-10-25,31.8,32.38,31.56,32.1,JCI
73,2018-10-24,32.47,32.64,31.32,31.37,JCI
74,2018-10-23,32.23,32.8,31.66,32.58,JCI
75,2018-10-22,32.93,33.05,32.42,32.66,JCI
76,2018-10-19,33.24,33.38,32.7,32.93,JCI
77,2018-10-18,33.68,33.84,32.85,33.19,JCI
78,2018-10-17,34.01,34.16,33.35,33.86,JCI
79,2018-10-16,33.3,34.02,33.14,33.99,JCI
80,2018-10-15,32.73,33.4799,32.65,33.15,JCI
81,2018-10-12,34.31,34.32,32.35,32.96,JCI
82,2018-10-11,34.25,34.47,33.59,33.73,JCI
83,2018-10-10,34.74,34.8126,34.19,34.21,JCI
84,2018-10-09,36.49,36.49,34.99,35.01,JCI
85,2018-10-08,36.18,36.54,36.045,36.51,JCI
86,2018-10-05,36.43,36.58,36.16,36.31,JCI
87,2018-10-04,35.62,36.45,35.62,36.37,JCI
88,2018-10-03,35.62,36.07,35.47,35.79,JCI
89,2018-10-02,35.25,35.73,35.22,35.57,JCI
90,2018-10-01,35.28,35.63,35.07,35.18,JCI
91,2018-09-28,35.47,35.47,34.99,35.0,JCI
92,2018-09-27,35.66,35.86,35.44,35.55,JCI
93,2018-09-26,35.8,35.96,35.62,35.68,JCI
94,2018-09-25,36.11,36.17,35.64,35.78,JCI
95,2018-09-24,36.79,36.92,35.99,36.24,JCI
96,2018-09-21,36.94,37.075,36.64,36.96,JCI
97,2018-09-20,37.31,37.54,37.04,37.37,JCI
98,2018-09-19,37.14,37.545,36.96,37.0,JCI
99,2018-09-18,37.2,37.39,36.69,37.11,JCI
