timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,60.3900,61.3600,60.0500,60.6900,60.6900,1440996,0.0000,1.0000
2019-02-08,59.8500,60.5300,59.5400,60.3800,60.3800,1206758,0.0000,1.0000
2019-02-07,60.8200,60.9140,59.7400,60.1200,60.1200,1641684,0.0000,1.0000
2019-02-06,61.6400,62.1000,60.8800,60.9900,60.9900,1344641,0.0000,1.0000
2019-02-05,61.6200,62.2500,60.7400,61.9400,61.9400,2431179,0.0000,1.0000
2019-02-04,59.3400,61.3800,59.1400,61.3400,61.3400,2763085,0.0000,1.0000
2019-02-01,58.7500,59.3600,58.0400,59.1900,59.1900,3114377,0.0000,1.0000
2019-01-31,59.0300,59.4100,58.5050,58.7800,58.7800,1665405,0.0000,1.0000
2019-01-30,58.5300,59.4900,57.9800,58.9700,58.9700,1553375,0.0000,1.0000
2019-01-29,59.6400,59.8050,58.0400,58.3900,58.3900,1916078,0.0000,1.0000
2019-01-28,59.9600,60.1300,58.1800,60.0800,60.0800,2044289,0.0000,1.0000
2019-01-25,60.1300,60.8600,59.6100,60.3100,60.3100,1545146,0.0000,1.0000
2019-01-24,59.1700,60.0700,58.9500,59.4400,59.4400,1535357,0.0000,1.0000
2019-01-23,59.5000,59.5600,57.9500,58.9800,58.9800,2694944,0.0000,1.0000
2019-01-22,61.2200,61.9300,59.0400,59.4500,59.4500,3835355,0.0000,1.0000
2019-01-18,64.1500,64.2000,61.1800,61.9200,61.9200,4091559,0.0000,1.0000
2019-01-17,63.5400,64.7700,63.5200,64.5600,64.5600,1328772,0.0000,1.0000
2019-01-16,63.5300,64.3900,62.3300,63.9700,63.9700,1943679,0.0000,1.0000
2019-01-15,64.5300,64.9350,63.9300,64.3900,64.3900,1230517,0.0000,1.0000
2019-01-14,64.4000,65.2700,64.1300,64.8600,64.8600,1129938,0.0000,1.0000
2019-01-11,64.5400,65.5000,64.5000,64.9900,64.9900,1223677,0.0000,1.0000
2019-01-10,64.8200,64.8400,63.8800,64.6100,64.6100,1205886,0.0000,1.0000
2019-01-09,65.1300,66.6400,65.1300,65.6400,65.6400,1309339,0.0000,1.0000
2019-01-08,66.0000,66.0000,63.2850,64.9100,64.9100,2899756,0.0000,1.0000
2019-01-07,64.3900,66.6000,64.2500,66.4300,66.4300,2028688,0.0000,1.0000
2019-01-04,62.7400,64.3600,62.5250,63.6100,63.6100,1254337,0.0000,1.0000
2019-01-03,62.5800,62.8900,61.7700,61.8900,61.8900,1319107,0.0000,1.0000
2019-01-02,61.9000,63.2500,61.5900,62.9700,62.9700,1369068,0.0000,1.0000
2018-12-31,62.8300,62.9600,61.8900,62.7300,62.7300,1510916,0.0000,1.0000
2018-12-28,63.6600,64.1000,62.1600,62.4900,62.4900,1634406,0.0000,1.0000
2018-12-27,61.9500,63.1900,60.9200,63.1800,63.1800,1968717,0.0000,1.0000
2018-12-26,59.4100,62.6400,59.2000,62.5900,62.5900,2100510,0.0000,1.0000
2018-12-24,59.3000,60.4800,57.9900,59.0500,59.0500,1750468,0.0000,1.0000
2018-12-21,58.3300,60.5700,55.5800,58.9600,58.9600,7549360,0.0000,1.0000
2018-12-20,57.5000,57.6700,55.2400,56.7200,56.7200,3168855,0.0000,1.0000
2018-12-19,59.4900,60.1500,57.5000,57.7800,57.7800,2598472,0.0000,1.0000
2018-12-18,60.6400,61.0900,59.3300,59.7600,59.7600,2539747,0.0000,1.0000
2018-12-17,60.7900,61.9300,59.7900,60.2600,60.2600,1762072,0.0000,1.0000
2018-12-14,61.9900,62.5300,60.9300,61.2100,61.2100,1220349,0.0000,1.0000
2018-12-13,63.3400,63.6200,62.0100,62.3600,62.3600,1593674,0.0000,1.0000
2018-12-12,63.8900,64.2900,63.1700,63.3400,63.3400,1050161,0.0000,1.0000
2018-12-11,63.0500,64.2800,62.1200,63.1900,63.1900,1824734,0.0000,1.0000
2018-12-10,62.5600,62.9000,61.4900,62.3400,62.3400,1139251,0.0000,1.0000
2018-12-07,64.5100,65.1000,62.2900,62.5600,62.5600,1611415,0.0000,1.0000
2018-12-06,63.1600,64.5600,62.2400,64.5200,64.5200,2358264,0.0000,1.0000
2018-12-04,65.6400,66.3223,63.5400,64.0500,64.0500,2187818,0.0000,1.0000
2018-12-03,67.1300,67.6800,65.6600,65.6700,65.6700,2073456,0.0000,1.0000
2018-11-30,65.9600,66.1800,65.2700,66.0700,66.0700,1360994,0.0000,1.0000
2018-11-29,66.4800,66.8000,65.7400,66.0900,66.0900,1413651,0.0000,1.0000
2018-11-28,64.5900,66.9700,64.2300,66.8100,66.8100,2702057,0.0000,1.0000
2018-11-27,63.4600,65.0500,63.4050,64.6500,64.6500,1863378,0.0000,1.0000
2018-11-26,62.8200,63.9300,62.5400,63.6700,63.6700,1295209,0.0000,1.0000
2018-11-23,62.1000,62.9900,62.1000,62.2400,62.2400,348981,0.0000,1.0000
2018-11-21,61.0200,62.7700,60.9800,62.4600,62.4600,1310416,0.0000,1.0000
2018-11-20,61.1000,62.6500,58.9600,60.9100,60.9100,1723623,0.0000,1.0000
2018-11-19,61.9700,63.1000,61.9700,62.2100,62.2100,1462688,0.0000,1.0000
2018-11-16,62.2500,62.4500,60.9550,62.0300,62.0300,2264553,0.0000,1.0000
2018-11-15,62.5000,63.5000,61.5500,63.2100,63.2100,1700927,0.0000,1.0000
2018-11-14,65.5500,65.5600,62.7500,62.8600,62.8600,2768621,0.0000,1.0000
