timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,77.8000,77.8400,76.2100,76.7100,76.7100,12962216,0.0000,1.0000
2019-02-08,76.7500,77.5400,76.5700,77.5200,77.5200,8842639,0.0000,1.0000
2019-02-07,76.9400,77.1300,76.1100,76.8200,76.8200,9218891,0.0000,1.0000
2019-02-06,76.8400,77.7250,76.6300,77.3900,77.3900,7992105,0.0000,1.0000
2019-02-05,77.3800,78.3750,77.0600,77.1500,77.1500,12362293,0.0000,1.0000
2019-02-04,75.9500,76.8900,75.6800,76.8700,76.8700,11282641,0.0000,1.0000
2019-02-01,75.9700,77.4900,75.3300,76.4500,76.4500,15211767,0.0000,1.0000
2019-01-31,73.1500,74.8200,73.1100,74.4300,74.4300,16028339,0.0000,1.0000
2019-01-30,73.4600,73.8100,73.0150,73.3700,73.3700,13302853,0.0000,1.0000
2019-01-29,72.9000,73.6800,72.6400,73.2300,73.2300,11418594,0.0000,1.0000
2019-01-28,72.5000,73.0700,72.0500,72.9200,72.9200,12764067,0.0000,1.0000
2019-01-25,73.8200,73.8400,72.1200,72.9500,72.9500,13410687,0.0000,1.0000
2019-01-24,75.1600,75.1600,72.3800,73.1700,73.1700,20979630,0.0000,1.0000
2019-01-23,75.5500,75.7100,74.7400,75.4400,75.4400,13711083,0.0000,1.0000
2019-01-22,75.5700,76.2000,75.3550,75.8300,75.8300,10084654,0.0000,1.0000
2019-01-18,76.1400,76.3250,75.4700,75.8700,75.8700,14294582,0.0000,1.0000
2019-01-17,74.3100,75.7700,74.3100,75.6000,75.6000,16192110,0.0000,1.0000
2019-01-16,74.7400,75.7700,74.4700,74.6100,74.6100,14573342,0.0000,1.0000
2019-01-15,73.1000,74.8900,73.1000,74.5000,74.5000,12502012,0.0000,1.0000
2019-01-14,74.2900,74.4400,73.1000,73.3700,73.3700,14951833,0.0000,1.0000
2019-01-11,74.7000,74.9400,74.1500,74.9000,74.9000,9425598,0.0000,1.0000
2019-01-10,75.6800,75.6800,73.4700,74.4800,74.4800,18257842,0.0000,1.0000
2019-01-09,75.8900,76.3100,75.3200,75.4100,75.4100,11370592,0.0000,1.0000
2019-01-08,75.8700,76.2100,75.2850,75.9900,75.9900,11351852,0.0000,1.0000
2019-01-07,76.1500,76.4700,75.4100,75.4300,75.4300,15071652,0.0000,1.0000
2019-01-04,74.7400,76.5000,74.6400,76.2700,76.2700,14077352,0.0000,1.0000
2019-01-03,75.5600,75.9700,73.8500,74.0400,74.0400,13273470,0.0000,1.0000
2019-01-02,75.2900,75.9900,74.6000,75.5900,75.5900,14427639,0.0000,1.0000
2018-12-31,75.8200,76.7000,75.6600,76.4100,76.4100,9244230,0.0000,1.0000
2018-12-28,75.8800,76.5850,74.8300,75.3700,75.3700,12577008,0.0000,1.0000
2018-12-27,73.2800,75.3800,72.7600,75.3800,75.3800,12955274,0.0000,1.0000
2018-12-26,70.9700,74.0300,70.9700,74.0000,74.0000,13429377,0.0000,1.0000
2018-12-24,72.5300,72.9000,70.8900,71.1500,71.1500,11036143,0.0000,1.0000
2018-12-21,72.9500,74.4500,72.2200,72.9000,72.9000,36183410,0.0000,1.0000
2018-12-20,73.4500,74.1330,72.6400,73.4900,73.4900,19390657,0.0000,1.0000
2018-12-19,74.6800,75.2450,73.0700,73.7700,73.7700,18860587,0.0000,1.0000
2018-12-18,75.6000,75.7800,73.5550,74.3300,74.3300,15423600,0.0000,1.0000
2018-12-17,75.9700,76.8900,74.8600,75.2300,75.2300,15106668,0.0000,1.0000
2018-12-14,77.8300,78.0300,76.2300,76.4800,76.4800,13259931,0.5500,1.0000
2018-12-13,78.2500,79.0800,78.0000,79.0100,78.4459,10756280,0.0000,1.0000
2018-12-12,77.7700,78.7600,77.7200,78.0100,77.4530,10705908,0.0000,1.0000
2018-12-11,77.9200,78.3100,76.5350,77.1100,76.5594,13232513,0.0000,1.0000
2018-12-10,77.4500,77.7800,75.8600,77.4200,76.8672,15423666,0.0000,1.0000
2018-12-07,78.2200,78.3000,76.1000,76.7200,76.1722,12622990,0.0000,1.0000
2018-12-06,76.9600,78.3700,75.8200,78.3700,77.8104,16536175,0.0000,1.0000
2018-12-04,79.3000,80.1900,78.1000,78.2100,77.6516,14773831,0.0000,1.0000
2018-12-03,79.5200,79.5750,78.2800,79.2200,78.6544,12578915,0.0000,1.0000
2018-11-30,77.8400,79.4900,77.7190,79.3400,78.7735,21355692,0.0000,1.0000
2018-11-29,77.1900,78.4800,77.1100,77.9100,77.3537,10905810,0.0000,1.0000
2018-11-28,76.8000,77.3600,76.2700,77.2300,76.6786,12047786,0.0000,1.0000
2018-11-27,75.0700,76.5150,75.0700,76.3400,75.7949,14623737,0.0000,1.0000
2018-11-26,74.9900,75.7500,74.7900,75.4400,74.9014,10884607,0.0000,1.0000
2018-11-23,74.1300,75.3000,74.0100,74.6700,74.1369,3521792,0.0000,1.0000
2018-11-21,74.9200,75.0650,74.1800,74.7900,74.2560,9054477,0.0000,1.0000
2018-11-20,76.0100,76.3600,74.6500,74.7800,74.2461,13588213,0.0000,1.0000
2018-11-19,76.2200,76.6100,75.5900,76.3500,75.8049,16422353,0.0000,1.0000
2018-11-16,74.7400,76.2500,74.5500,76.0600,75.5169,13725173,0.0000,1.0000
2018-11-15,73.5000,74.8700,73.1300,74.8400,74.3056,11974403,0.0000,1.0000
2018-11-14,74.9500,74.9600,73.6800,74.0900,73.5610,9481140,0.0000,1.0000
2018-11-13,75.2200,75.2700,74.0100,74.6100,74.0773,15827652,0.0000,1.0000
2018-11-12,75.1300,75.2700,74.0300,74.6900,74.1567,14006700,0.0000,1.0000
2018-11-09,75.8600,75.9900,74.7950,74.8600,74.3255,14656305,0.0000,1.0000
2018-11-08,74.8900,75.6850,74.6200,75.4800,74.9411,13010204,0.0000,1.0000
2018-11-07,74.1000,75.3300,73.8400,75.0800,74.5439,18670454,0.0000,1.0000
2018-11-06,72.9400,73.8000,72.7500,73.3100,72.7866,10246061,0.0000,1.0000
2018-11-05,71.9600,73.5700,70.1200,73.1200,72.5979,12330465,0.0000,1.0000
2018-11-02,73.5700,73.7000,71.6200,72.2700,71.7540,12898685,0.0000,1.0000
2018-11-01,73.8000,74.0400,72.6650,73.1200,72.5979,13843503,0.0000,1.0000
2018-10-31,73.4100,74.4900,72.7700,73.6100,73.0844,15863094,0.0000,1.0000
2018-10-30,71.6900,72.9550,71.5000,72.8700,72.3497,18937000,0.0000,1.0000
2018-10-29,71.3700,73.0300,70.5500,71.4500,70.9398,18839556,0.0000,1.0000
2018-10-26,69.7700,70.7800,68.8800,70.4000,69.8973,16950648,0.0000,1.0000
2018-10-25,66.9400,70.5700,66.1000,69.9600,69.4605,20566489,0.0000,1.0000
2018-10-24,71.8200,72.6353,70.2300,70.5400,70.0363,14645170,0.0000,1.0000
2018-10-23,72.1600,72.4150,71.2200,72.1000,71.5852,11561871,0.0000,1.0000
2018-10-22,72.9700,73.4900,71.8500,72.5700,72.0518,11914307,0.0000,1.0000
2018-10-19,72.3000,72.6550,71.9350,72.3500,71.8334,14513382,0.0000,1.0000
2018-10-18,72.1500,72.4000,71.4200,72.2100,71.6944,12225953,0.0000,1.0000
2018-10-17,71.0900,71.9399,70.8000,71.8200,71.3072,9344523,0.0000,1.0000
2018-10-16,69.8500,71.3100,69.7500,71.2200,70.7115,10229047,0.0000,1.0000
2018-10-15,69.1900,70.2100,68.9300,69.4600,68.9641,6580933,0.0000,1.0000
2018-10-12,68.7000,70.0590,68.4200,69.8100,69.3116,10161183,0.0000,1.0000
2018-10-11,70.3700,70.5310,67.8200,68.3700,67.8818,12873989,0.0000,1.0000
2018-10-10,72.4800,72.8900,70.3900,70.4500,69.9470,12651947,0.0000,1.0000
2018-10-09,71.4600,72.6550,70.9700,72.3400,71.8235,7871282,0.0000,1.0000
2018-10-08,70.9300,71.6953,70.8900,71.4600,70.9498,8854797,0.0000,1.0000
2018-10-05,71.2300,71.6900,70.5800,71.0300,70.5228,7433463,0.0000,1.0000
2018-10-04,71.1200,71.3600,70.4600,71.2200,70.7115,10340686,0.0000,1.0000
2018-10-03,72.0900,72.4200,71.3500,71.3700,70.8604,9577563,0.0000,1.0000
2018-10-02,71.9700,72.1700,71.0900,71.7500,71.2377,10395642,0.0000,1.0000
2018-10-01,71.0700,71.8900,70.6100,71.5300,71.0193,7629853,0.0000,1.0000
2018-09-28,70.7200,71.2000,70.6500,70.9400,70.4335,6808847,0.0000,1.0000
2018-09-27,70.3300,71.1800,70.0850,70.7200,70.2151,6026173,0.0000,1.0000
2018-09-26,70.9300,71.1500,70.1800,70.3300,69.8278,6928378,0.0000,1.0000
2018-09-25,70.8500,71.3800,70.5200,70.6500,70.1456,6460371,0.0000,1.0000
2018-09-24,70.9200,71.3000,70.6300,70.7800,70.2746,6438828,0.0000,1.0000
2018-09-21,70.9100,71.5750,70.9050,71.1000,70.5923,17033118,0.0000,1.0000
2018-09-20,70.3500,70.8300,70.0500,70.7800,70.2746,6140720,0.0000,1.0000
2018-09-19,70.1500,70.5700,69.6400,69.9800,69.4803,7944187,0.0000,1.0000
2018-09-18,70.4100,70.9000,69.8950,70.4200,69.9172,6800546,0.0000,1.0000
