timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,14.9400,15.3600,14.9005,15.2700,15.2700,11881360,0.0000,1.0000
2019-02-08,15.2700,15.3200,14.8300,15.1300,15.1300,11329940,0.0000,1.0000
2019-02-07,15.7600,15.8300,15.1800,15.2700,15.2700,13165628,0.0000,1.0000
2019-02-06,15.8000,16.0800,15.7300,15.9100,15.9100,9737308,0.0000,1.0000
2019-02-05,16.0800,16.1950,15.8700,15.9400,15.9400,7258778,0.0000,1.0000
2019-02-04,15.8400,16.2500,15.8350,16.1500,16.1500,13278864,0.0000,1.0000
2019-02-01,15.8800,16.2400,15.8100,16.0000,16.0000,12970321,0.0000,1.0000
2019-01-31,16.0300,16.1000,15.5900,15.7900,15.7900,12572488,0.0000,1.0000
2019-01-30,16.0700,16.1700,15.8400,16.0200,16.0200,9960579,0.0000,1.0000
2019-01-29,16.0100,16.1000,15.8650,15.9100,15.9100,8009899,0.0000,1.0000
2019-01-28,15.6000,15.8400,15.5100,15.8300,15.8300,7330965,0.0000,1.0000
2019-01-25,15.9400,16.1400,15.8800,15.9000,15.9000,9403828,0.0000,1.0000
2019-01-24,15.4900,15.9300,15.4450,15.8000,15.8000,7734244,0.0000,1.0000
2019-01-23,15.7700,15.8400,15.3700,15.5600,15.5600,9966797,0.0000,1.0000
2019-01-22,15.8800,15.9200,15.5400,15.6900,15.6900,13352919,0.0000,1.0000
2019-01-18,15.9900,16.1500,15.7900,16.1000,16.1000,11621094,0.0000,1.0000
2019-01-17,15.3900,15.8700,15.3300,15.7900,15.7900,10236061,0.0000,1.0000
2019-01-16,15.7110,15.8550,15.5100,15.5400,15.5400,15802413,0.0000,1.0000
2019-01-15,15.9800,16.1600,15.7800,15.8300,15.8300,10065826,0.0000,1.0000
2019-01-14,15.8600,16.0900,15.7800,15.8300,15.8300,10729557,0.0000,1.0000
2019-01-11,16.1700,16.2200,15.8200,16.1100,16.1100,10834590,0.0000,1.0000
2019-01-10,15.8500,16.4200,15.7000,16.3500,16.3500,13253774,0.0000,1.0000
2019-01-09,15.7400,16.1600,15.5500,16.0700,16.0700,12816618,0.0000,1.0000
2019-01-08,15.8800,15.9700,15.3000,15.4800,15.4800,12484826,0.0000,1.0000
2019-01-07,15.5400,15.7650,15.2500,15.6200,15.6200,10186707,0.0000,1.0000
2019-01-04,14.9700,15.4300,14.7900,15.4100,15.4100,14563501,0.0000,1.0000
2019-01-03,14.7400,14.9200,14.2000,14.6200,14.6200,10915080,0.0000,1.0000
2019-01-02,13.9000,14.8900,13.8600,14.7200,14.7200,10497083,0.0000,1.0000
2018-12-31,14.2300,14.3600,14.0300,14.3400,14.3400,9646866,0.0000,1.0000
2018-12-28,14.4100,14.4400,13.9600,14.0800,14.0800,9668945,0.0000,1.0000
2018-12-27,13.8000,14.3000,13.5700,14.2900,14.2900,12227235,0.0000,1.0000
2018-12-26,12.8400,14.1750,12.5700,14.1700,14.1700,16234387,0.0000,1.0000
2018-12-24,13.2500,13.3600,12.6600,12.6600,12.6600,7147912,0.0000,1.0000
2018-12-21,13.5400,13.9000,13.3900,13.4500,13.4500,24619848,0.0000,1.0000
2018-12-20,13.6100,13.9600,13.4200,13.6100,13.6100,20450972,0.0000,1.0000
2018-12-19,14.4300,14.6900,13.7800,13.8600,13.8600,14545320,0.0000,1.0000
2018-12-18,14.7900,14.8000,14.1550,14.2400,14.2400,18485728,0.0000,1.0000
2018-12-17,14.9400,15.1800,14.6200,14.7200,14.7200,13529514,0.0000,1.0000
2018-12-14,15.4100,15.5300,14.9500,15.0400,15.0400,12708550,0.0000,1.0000
2018-12-13,15.4000,15.7700,15.2700,15.6200,15.6200,13073872,0.0000,1.0000
2018-12-12,15.7000,16.0600,15.5100,15.5200,15.5200,18043767,0.0000,1.0000
2018-12-11,15.4600,15.6300,15.0200,15.3300,15.3300,21603928,0.0000,1.0000
2018-12-10,15.6900,15.9100,15.1333,15.3000,15.3000,15896318,0.0000,1.0000
2018-12-07,16.7400,17.1400,16.0300,16.0500,16.0500,21693595,0.0000,1.0000
2018-12-06,16.2800,16.3200,15.6000,16.2200,16.2200,19130065,0.0000,1.0000
2018-12-04,17.5700,17.7600,16.7700,16.8200,16.8200,13177523,0.0000,1.0000
2018-12-03,17.6200,17.8350,17.0800,17.5500,17.5500,15108429,0.0000,1.0000
2018-11-30,16.3000,16.7700,16.0800,16.6900,16.6900,13260439,0.0000,1.0000
2018-11-29,16.5700,16.8200,16.3300,16.5500,16.5500,9998417,0.0000,1.0000
2018-11-28,16.1100,16.5000,15.8600,16.4900,16.4900,10034349,0.0000,1.0000
2018-11-27,16.2000,16.4450,15.8950,16.1000,16.1000,13631676,0.0000,1.0000
2018-11-26,15.8500,16.3000,15.8483,16.2300,16.2300,10699174,0.0000,1.0000
2018-11-23,15.6800,16.0250,15.4900,15.6500,15.6500,7405061,0.0000,1.0000
2018-11-21,16.1400,16.6800,16.0600,16.4100,16.4100,12515407,0.0000,1.0000
2018-11-20,16.6100,16.6900,15.8000,15.9300,15.9300,14425596,0.0500,1.0000
2018-11-19,16.8000,17.2850,16.7900,17.1200,17.0664,10829900,0.0000,1.0000
2018-11-16,17.1600,17.4350,16.8100,17.1900,17.1362,15480799,0.0000,1.0000
2018-11-15,16.6800,17.2200,16.5900,17.1500,17.0963,14108063,0.0000,1.0000
2018-11-14,16.9700,17.2300,16.3700,16.6800,16.6278,19490658,0.0000,1.0000
2018-11-13,17.1900,17.3200,16.3700,16.4700,16.4185,21411319,0.0000,1.0000
2018-11-12,18.0600,18.2000,17.2200,17.2600,17.2060,11315167,0.0000,1.0000
2018-11-09,17.6800,18.0000,17.2100,17.8400,17.7842,17026279,0.0000,1.0000
2018-11-08,19.1400,19.3000,17.9900,18.0500,17.9935,21615627,0.0000,1.0000
2018-11-07,18.6000,18.9400,18.1800,18.5100,18.4521,19896469,0.0000,1.0000
2018-11-06,18.8000,18.8200,17.9568,18.3300,18.2726,14573761,0.0000,1.0000
2018-11-05,18.5100,18.7000,18.3600,18.6900,18.6315,10104830,0.0000,1.0000
2018-11-02,18.6600,18.9600,17.9500,18.2100,18.1530,17873843,0.0000,1.0000
2018-11-01,19.0300,19.3149,18.5100,18.6100,18.5518,12954014,0.0000,1.0000
2018-10-31,18.9600,19.7600,18.8900,18.9900,18.9306,14835413,0.0000,1.0000
2018-10-30,17.9400,18.7200,17.8500,18.6800,18.6216,14023427,0.0000,1.0000
2018-10-29,18.8300,18.8600,17.7750,18.1500,18.0932,11731778,0.0000,1.0000
2018-10-26,18.4200,18.9500,18.1650,18.6900,18.6315,11082797,0.0000,1.0000
2018-10-25,18.6900,19.0500,18.3900,18.7900,18.7312,11616959,0.0000,1.0000
2018-10-24,19.6900,19.7250,18.3300,18.3500,18.2926,18081329,0.0000,1.0000
2018-10-23,19.8600,19.8800,19.1700,19.4800,19.4190,18252703,0.0000,1.0000
2018-10-22,20.5200,20.5900,20.1500,20.4600,20.3960,10419262,0.0000,1.0000
2018-10-19,20.8000,21.0200,20.5600,20.6700,20.6053,13550955,0.0000,1.0000
2018-10-18,20.5000,20.7700,20.3400,20.5500,20.4857,9053983,0.0000,1.0000
2018-10-17,21.1400,21.1500,20.4550,20.8900,20.8246,9543955,0.0000,1.0000
2018-10-16,20.9500,21.2650,20.7100,21.1800,21.1137,12526938,0.0000,1.0000
2018-10-15,20.9200,21.0100,20.4149,20.8400,20.7748,11811242,0.0000,1.0000
2018-10-12,20.5800,20.7000,20.0100,20.5200,20.4558,15494854,0.0000,1.0000
2018-10-11,20.8900,21.1500,19.9200,19.9600,19.8975,22326072,0.0000,1.0000
2018-10-10,22.8100,22.9400,21.1300,21.1600,21.0938,16397060,0.0000,1.0000
2018-10-09,23.0000,23.2100,22.7000,22.9300,22.8583,9196075,0.0000,1.0000
2018-10-08,23.1200,23.2660,22.7350,22.8800,22.8084,7871062,0.0000,1.0000
2018-10-05,23.6900,23.9900,23.0200,23.4100,23.3368,9526936,0.0000,1.0000
2018-10-04,23.8200,24.1350,23.4300,23.7200,23.6458,10949500,0.0000,1.0000
2018-10-03,23.6400,24.2000,23.3300,23.9900,23.9149,12575947,0.0000,1.0000
2018-10-02,23.8000,23.8800,23.4100,23.5100,23.4364,9888603,0.0000,1.0000
2018-10-01,23.4300,23.9800,23.2600,23.8600,23.7853,14321932,0.0000,1.0000
2018-09-28,22.6900,23.6700,22.6500,23.2800,23.2072,11899435,0.0000,1.0000
2018-09-27,22.7300,22.9000,22.5200,22.7300,22.6589,10788672,0.0000,1.0000
2018-09-26,22.3900,22.9000,22.2200,22.4400,22.3698,13096259,0.0000,1.0000
2018-09-25,22.5500,22.6800,22.3000,22.4900,22.4196,13944017,0.0000,1.0000
2018-09-24,22.2100,22.7600,22.1000,22.3400,22.2701,17304588,0.0000,1.0000
2018-09-21,21.5700,21.9500,21.5000,21.8600,21.7916,11655285,0.0000,1.0000
2018-09-20,21.9500,22.0800,21.3600,21.5500,21.4826,7970079,0.0000,1.0000
2018-09-19,21.4500,21.9800,21.4200,21.7600,21.6919,8008993,0.0000,1.0000
2018-09-18,21.0800,21.6950,21.0000,21.5000,21.4327,8904846,0.0000,1.0000
