timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,11.2700,11.4050,11.2700,11.3900,11.3900,1285365,0.0000,1.0000
2019-02-08,11.2600,11.3600,11.1200,11.2500,11.2500,1436543,0.0000,1.0000
2019-02-07,11.4000,11.5100,11.2950,11.3700,11.3700,1459065,0.0000,1.0000
2019-02-06,11.4200,11.4750,11.3400,11.4200,11.4200,1611679,0.0000,1.0000
2019-02-05,11.4100,11.5000,11.3200,11.4400,11.4400,1297274,0.0000,1.0000
2019-02-04,11.4000,11.5500,11.2800,11.4000,11.4000,1745876,0.0000,1.0000
2019-02-01,11.4000,11.5200,11.3200,11.4400,11.4400,1492926,0.0000,1.0000
2019-01-31,11.4100,11.4900,11.2800,11.4000,11.4000,2384705,0.0000,1.0000
2019-01-30,11.4600,11.5700,11.3000,11.4500,11.4500,1737497,0.0000,1.0000
2019-01-29,11.4000,11.5200,11.3400,11.4500,11.4500,1750005,0.0000,1.0000
2019-01-28,11.3700,11.5400,11.3300,11.4400,11.4400,1613848,0.0000,1.0000
2019-01-25,11.6000,11.6300,11.4400,11.5400,11.5400,2168309,0.0000,1.0000
2019-01-24,11.0900,11.5250,11.0469,11.4400,11.4400,2150151,0.0000,1.0000
2019-01-23,11.6000,11.6100,10.8000,11.1100,11.1100,2585603,0.0000,1.0000
2019-01-22,10.8300,10.9150,10.6800,10.8500,10.8500,2990966,0.0000,1.0000
2019-01-18,10.6700,10.9400,10.6500,10.9100,10.9100,1777750,0.0000,1.0000
2019-01-17,10.5800,10.6950,10.5000,10.5600,10.5600,2205529,0.0000,1.0000
2019-01-16,10.5900,10.8150,10.5800,10.6500,10.6500,2520416,0.0000,1.0000
2019-01-15,10.4000,10.4800,10.2800,10.4600,10.4600,1581712,0.0000,1.0000
2019-01-14,10.3100,10.4900,10.2000,10.4100,10.4100,1508392,0.0000,1.0000
2019-01-11,10.3600,10.5000,10.2500,10.3900,10.3900,2082007,0.0000,1.0000
2019-01-10,10.3600,10.4750,10.2450,10.4500,10.4500,2039445,0.0000,1.0000
2019-01-09,10.2200,10.4700,10.1500,10.3900,10.3900,1635994,0.0000,1.0000
2019-01-08,10.1400,10.3300,10.0300,10.1800,10.1800,2390576,0.0000,1.0000
2019-01-07,9.8700,10.1700,9.8000,10.0500,10.0500,2920898,0.0000,1.0000
2019-01-04,9.6000,9.9600,9.6000,9.8300,9.8300,2800157,0.0000,1.0000
2019-01-03,9.2300,9.5750,9.1200,9.4500,9.4500,2889890,0.0000,1.0000
2019-01-02,8.6800,9.2900,8.6400,9.2900,9.2900,2378419,0.0000,1.0000
2018-12-31,8.9200,8.9200,8.6700,8.8100,8.8100,1947123,0.0000,1.0000
2018-12-28,8.8300,9.0400,8.7700,8.8500,8.8500,1900705,0.0000,1.0000
2018-12-27,8.6800,8.8200,8.5200,8.8100,8.8100,2848804,0.0000,1.0000
2018-12-26,8.4700,8.8600,8.2300,8.8500,8.8500,2371249,0.0000,1.0000
2018-12-24,8.4800,8.6200,8.3500,8.4300,8.4300,1743843,0.0000,1.0000
2018-12-21,8.7700,8.8600,8.4200,8.5400,8.5400,5204734,0.0000,1.0000
2018-12-20,8.6000,8.7800,8.5300,8.7000,8.7000,3356904,0.0000,1.0000
2018-12-19,9.1600,9.2900,8.5900,8.6900,8.6900,3437892,0.0000,1.0000
2018-12-18,9.3400,9.5150,9.0700,9.1100,9.1100,2715549,0.0000,1.0000
2018-12-17,9.5300,9.6500,9.2400,9.3300,9.3300,2939645,0.0000,1.0000
2018-12-14,9.7600,9.9800,9.5300,9.5900,9.5900,2821037,0.0000,1.0000
2018-12-13,10.2000,10.2400,9.8100,9.8500,9.8500,1882093,0.0000,1.0000
2018-12-12,10.0000,10.3250,10.0000,10.1700,10.1700,1953846,0.0000,1.0000
2018-12-11,10.3400,10.4900,9.8900,9.9300,9.9300,2578696,0.0000,1.0000
2018-12-10,10.6100,10.6400,10.0600,10.1900,10.1900,2723299,0.0000,1.0000
2018-12-07,10.8100,10.9750,10.4600,10.6400,10.6400,2610392,0.0000,1.0000
2018-12-06,10.6000,10.8500,10.3790,10.8100,10.8100,3452707,0.1600,1.0000
2018-12-04,11.3300,11.4600,10.7600,10.8200,10.6622,1965270,0.0000,1.0000
2018-12-03,11.6800,11.8200,11.2100,11.3800,11.2140,2258563,0.0000,1.0000
2018-11-30,11.4000,11.6050,11.3000,11.5000,11.3323,3979813,0.0000,1.0000
2018-11-29,11.2100,11.6300,11.1000,11.4500,11.2830,2791724,0.0000,1.0000
2018-11-28,11.1500,11.2700,10.9200,11.2100,11.0465,2597177,0.0000,1.0000
2018-11-27,11.3300,11.3600,11.0050,11.0800,10.9184,1854715,0.0000,1.0000
2018-11-26,11.3300,11.4800,11.2450,11.3500,11.1845,1621469,0.0000,1.0000
2018-11-23,11.1500,11.3100,11.0800,11.1400,10.9775,942669,0.0000,1.0000
2018-11-21,10.7500,11.3700,10.7500,11.2000,11.0366,3151557,0.0000,1.0000
2018-11-20,11.8700,11.8700,10.6900,10.7300,10.5735,4826677,0.0000,1.0000
2018-11-19,12.1100,12.2500,11.9800,12.0000,11.8250,2816155,0.0000,1.0000
2018-11-16,12.6400,12.7400,12.1100,12.1600,11.9826,3047017,0.0000,1.0000
2018-11-15,12.4800,12.8500,12.4300,12.7500,12.5640,1899130,0.0000,1.0000
2018-11-14,12.8500,12.8750,12.5050,12.6500,12.4655,1396430,0.0000,1.0000
2018-11-13,12.5700,12.8500,12.5700,12.7600,12.5739,1705932,0.0000,1.0000
2018-11-12,12.6100,12.7000,12.5250,12.5400,12.3571,1548730,0.0000,1.0000
