,timestamp1,open1,high1,low1,close1,symbol
0,2019-02-11,82.95,83.83,82.8704,83.68,NKE
1,2019-02-08,82.25,82.72,81.94,82.36,NKE
2,2019-02-07,82.15,82.845,81.71,82.39,NKE
3,2019-02-06,82.51,82.71,81.64,82.71,NKE
4,2019-02-05,81.98,83.19,81.93,82.86,NKE
5,2019-02-04,81.22,82.0,80.83,81.99,NKE
6,2019-02-01,81.83,81.9,81.13,81.51,NKE
7,2019-01-31,81.18,81.95,80.71,81.88,NKE
8,2019-01-30,80.4,81.29,80.0601,81.28,NKE
9,2019-01-29,80.36,80.83,79.84,80.22,NKE
10,2019-01-28,79.8,80.505,79.74,80.32,NKE
11,2019-01-25,81.25,81.3319,80.43,80.61,NKE
12,2019-01-24,80.6,80.87,79.55,80.44,NKE
13,2019-01-23,81.19,81.4,80.22,80.5,NKE
14,2019-01-22,80.33,81.3129,80.2,80.75,NKE
15,2019-01-18,79.95,80.97,79.74,80.45,NKE
16,2019-01-17,77.54,79.4,77.31,79.13,NKE
17,2019-01-16,78.0,78.85,77.5863,77.68,NKE
18,2019-01-15,76.19,77.98,76.13,77.88,NKE
19,2019-01-14,75.46,76.81,75.46,76.09,NKE
20,2019-01-11,76.34,76.89,75.8,76.04,NKE
21,2019-01-10,75.64,77.34,75.46,76.42,NKE
22,2019-01-09,76.97,77.15,76.14,76.59,NKE
23,2019-01-08,76.83,77.4,76.2,76.73,NKE
24,2019-01-07,74.74,76.365,74.3,75.72,NKE
25,2019-01-04,73.45,75.12,73.12,74.65,NKE
26,2019-01-03,73.25,73.32,71.21,72.75,NKE
27,2019-01-02,72.79,74.64,72.19,74.06,NKE
28,2018-12-31,73.98,74.46,73.515,74.14,NKE
29,2018-12-28,73.97,74.46,72.57,73.34,NKE
30,2018-12-27,72.18,73.73,70.99,73.67,NKE
31,2018-12-26,68.7,73.01,68.65,73.01,NKE
32,2018-12-24,71.4,71.93,68.08,68.1,NKE
33,2018-12-21,73.29,74.29,71.25,72.37,NKE
34,2018-12-20,68.73,69.57,66.53,67.53,NKE
35,2018-12-19,71.45,72.0,68.32,68.97,NKE
36,2018-12-18,70.9,72.41,70.43,71.15,NKE
37,2018-12-17,71.37,71.77,69.455,69.9,NKE
38,2018-12-14,71.97,73.65,71.41,72.53,NKE
39,2018-12-13,74.5,74.59,72.59,72.93,NKE
