timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,59.6500,60.0400,59.0300,59.9000,59.9000,2596646,0.0000,1.0000
2019-02-08,59.3200,59.8700,58.8500,59.8200,59.8200,2795615,0.0000,1.0000
2019-02-07,59.9800,60.3800,58.8500,59.3400,59.3400,2769321,0.0000,1.0000
2019-02-06,61.1200,61.3500,60.2750,60.4400,60.4400,3132501,0.0000,1.0000
2019-02-05,61.9300,61.9300,61.1500,61.3800,61.3800,2355062,0.0000,1.0000
2019-02-04,61.4700,62.3100,61.1300,62.1000,62.1000,2545446,0.0000,1.0000
2019-02-01,61.2600,61.9800,61.1800,61.4800,61.4800,2904012,0.0000,1.0000
2019-01-31,59.7400,61.5600,58.9000,61.2400,61.2400,4474863,0.0000,1.0000
2019-01-30,60.2700,60.8500,59.5100,60.3400,60.3400,3529249,0.0000,1.0000
2019-01-29,60.2100,61.2812,59.3900,60.1300,60.1300,3435049,0.0000,1.0000
2019-01-28,57.6600,58.5100,56.9000,58.5000,58.5000,2963165,0.0000,1.0000
2019-01-25,57.8500,58.5800,57.4500,58.1000,58.1000,3417127,0.0000,1.0000
2019-01-24,57.0100,57.1300,56.4900,56.8700,56.8700,1883963,0.0000,1.0000
2019-01-23,57.8600,58.0000,56.4800,57.2800,57.2800,2165081,0.0000,1.0000
2019-01-22,58.1200,58.2000,57.1600,57.7000,57.7000,3052350,0.0000,1.0000
2019-01-18,58.1800,58.8900,57.5000,58.7300,58.7300,3000513,0.0000,1.0000
2019-01-17,56.6200,58.1700,56.3400,57.7400,57.7400,1926475,0.0000,1.0000
2019-01-16,56.0000,57.0850,55.8400,56.8700,56.8700,2633243,0.0000,1.0000
2019-01-15,56.3900,56.6300,55.5200,55.8800,55.8800,1689450,0.0000,1.0000
2019-01-14,56.2100,56.6250,55.7600,56.2600,56.2600,1696092,0.0000,1.0000
2019-01-11,56.1900,56.6500,55.7500,56.5900,56.5900,1619860,0.0000,1.0000
2019-01-10,55.7800,56.5100,55.4200,56.4900,56.4900,2042416,0.0000,1.0000
2019-01-09,55.9900,56.3800,54.8500,55.9200,55.9200,2145317,0.0000,1.0000
2019-01-08,54.1800,55.4000,54.1800,55.2600,55.2600,2835576,0.0000,1.0000
2019-01-07,54.2700,54.6000,53.3000,53.4200,53.4200,3021834,0.0000,1.0000
2019-01-04,52.6600,54.1400,52.0500,53.8300,53.8300,2662427,0.0000,1.0000
2019-01-03,51.7600,52.3800,50.9100,51.3000,51.3000,3321859,0.0000,1.0000
