timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,14.3200,14.6600,14.0800,14.3300,14.3300,7212720,0.0000,1.0000
2019-02-08,13.9300,14.5700,13.7103,14.2000,14.2000,6488278,0.0000,1.0000
2019-02-07,13.5000,14.1500,13.4200,14.0600,14.0600,8918497,0.0000,1.0000
2019-02-06,14.1200,14.1400,13.6600,13.6700,13.6700,5999724,0.0000,1.0000
2019-02-05,13.2600,14.2500,13.1700,14.0800,14.0800,9157107,0.0000,1.0000
2019-02-04,13.3700,13.3900,12.8000,13.2900,13.2900,8512113,0.0000,1.0000
2019-02-01,12.8800,13.2500,12.8107,13.0800,13.0800,6496910,0.0000,1.0000
2019-01-31,13.3800,13.6580,12.7300,13.0000,13.0000,12119528,0.0000,1.0000
2019-01-30,14.1500,14.1500,13.1500,13.6700,13.6700,19681038,0.0000,1.0000
2019-01-29,12.3100,14.3500,12.2300,13.9900,13.9900,56057392,0.0000,1.0000
2019-01-28,10.6100,14.1500,10.6100,12.0100,12.0100,58267049,0.0000,1.0000
2019-01-25,12.7000,12.8600,11.5100,11.7700,11.7700,72454086,0.0000,1.0000
2019-01-24,7.9000,14.5000,7.3000,13.9500,13.9500,82538284,0.0000,1.0000
2019-01-23,7.9600,8.0500,7.5200,7.9900,7.9900,21631003,0.0000,1.0000
2019-01-22,7.1600,8.3800,7.0000,7.7000,7.7000,59384937,0.0000,1.0000
2019-01-18,6.6600,7.4600,6.5400,7.2300,7.2300,53590412,0.0000,1.0000
2019-01-17,8.3000,8.3200,6.3100,6.3600,6.3600,205294486,0.0000,1.0000
2019-01-16,6.4500,7.1100,6.3100,7.0300,7.0300,78485910,0.0000,1.0000
2019-01-15,6.2800,7.2000,5.0700,6.9100,6.9100,173062577,0.0000,1.0000
2019-01-14,9.2100,9.7300,7.7800,8.3800,8.3800,127198783,0.0000,1.0000
2019-01-11,17.0000,17.9600,16.7200,17.5900,17.5900,19750705,0.0000,1.0000
2019-01-10,18.0500,19.2000,17.0700,17.7600,17.7600,24798319,0.0000,1.0000
2019-01-09,17.6000,19.3500,17.5600,17.8300,17.8300,24533320,0.0000,1.0000
2019-01-08,16.7900,17.5600,15.7800,17.5600,17.5600,34202024,0.0000,1.0000
2019-01-07,18.5000,20.2000,17.9600,18.9500,18.9500,35120521,0.0000,1.0000
2019-01-04,23.8400,24.8300,23.8400,24.4000,24.4000,9156628,0.0000,1.0000
2019-01-03,23.8500,24.2000,23.4100,23.9500,23.9500,5591753,0.0000,1.0000
