,timestamp1,open1,high1,low1,close1,symbol
0,2019-02-11,41.12,41.28,40.96,41.09,PNR
1,2019-02-08,40.78,41.14,40.45,41.0,PNR
2,2019-02-07,41.26,41.41,40.58,40.94,PNR
3,2019-02-06,41.45,41.71,41.35,41.5,PNR
4,2019-02-05,41.1,41.49,41.05,41.47,PNR
5,2019-02-04,40.98,41.21,40.68,41.19,PNR
6,2019-02-01,41.28,41.74,40.93,41.0,PNR
7,2019-01-31,41.21,41.26,40.49,41.19,PNR
8,2019-01-30,41.45,41.46,40.82,41.19,PNR
9,2019-01-29,42.1,42.6738,40.91,40.98,PNR
10,2019-01-28,40.69,40.785,40.33,40.54,PNR
11,2019-01-25,40.95,41.39,40.66,41.06,PNR
12,2019-01-24,40.15,40.69,40.02,40.46,PNR
13,2019-01-23,40.29,40.63,39.81,40.24,PNR
14,2019-01-22,40.9,40.9,39.8604,40.16,PNR
15,2019-01-18,40.68,41.42,40.54,41.17,PNR
16,2019-01-17,39.95,40.765,39.87,40.36,PNR
17,2019-01-16,40.28,40.42,40.09,40.17,PNR
18,2019-01-15,40.5,40.56,39.92,40.27,PNR
19,2019-01-14,40.15,40.525,40.02,40.38,PNR
20,2019-01-11,40.12,40.51,39.87,40.45,PNR
21,2019-01-10,40.05,40.73,39.82,40.47,PNR
22,2019-01-09,39.89,40.48,39.76,40.24,PNR
23,2019-01-08,38.99,39.7,38.62,39.66,PNR
24,2019-01-07,38.28,39.02,37.97,38.54,PNR
25,2019-01-04,37.1,38.17,36.83,38.15,PNR
26,2019-01-03,37.61,37.61,36.58,36.64,PNR
27,2019-01-02,37.12,37.97,36.86,37.77,PNR
28,2018-12-31,37.45,37.8358,37.39,37.78,PNR
29,2018-12-28,37.59,37.77,37.09,37.31,PNR
30,2018-12-27,36.24,37.45,36.1216,37.44,PNR
31,2018-12-26,35.84,37.05,35.3,37.02,PNR
32,2018-12-24,36.66,36.76,35.78,35.81,PNR
33,2018-12-21,37.42,37.85,36.68,36.73,PNR
34,2018-12-20,38.14,38.53,37.24,37.55,PNR
35,2018-12-19,38.82,39.35,37.75,38.16,PNR
36,2018-12-18,38.48,39.02,38.22,38.57,PNR
37,2018-12-17,39.08,39.21,38.07,38.32,PNR
38,2018-12-14,39.46,39.9,38.94,39.11,PNR
39,2018-12-13,39.81,40.13,39.555,39.69,PNR
40,2018-12-12,40.36,40.36,39.56,39.59,PNR
41,2018-12-11,40.22,40.34,39.6,39.75,PNR
42,2018-12-10,39.64,39.95,38.81,39.68,PNR
43,2018-12-07,40.45,40.59,39.62,39.72,PNR
44,2018-12-06,39.91,40.34,38.705,40.28,PNR
45,2018-12-04,42.5,42.53,40.5436,40.58,PNR
46,2018-12-03,43.4,43.78,42.45,42.5,PNR
47,2018-11-30,42.43,42.97,42.18,42.7,PNR
48,2018-11-29,42.75,42.89,42.34,42.47,PNR
49,2018-11-28,41.71,42.89,41.43,42.89,PNR
50,2018-11-27,41.46,41.72,41.17,41.63,PNR
51,2018-11-26,42.01,42.28,41.37,41.77,PNR
52,2018-11-23,41.24,42.11,41.2,41.79,PNR
53,2018-11-21,41.53,42.29,41.43,41.59,PNR
54,2018-11-20,41.59,42.01,41.265,41.35,PNR
55,2018-11-19,42.28,42.64,41.91,41.99,PNR
56,2018-11-16,42.22,42.76,42.1,42.29,PNR
57,2018-11-15,41.52,42.725,41.38,42.5,PNR
58,2018-11-14,42.19,42.67,41.56,41.84,PNR
59,2018-11-13,41.97,42.57,41.69,41.82,PNR
60,2018-11-12,42.6,42.6,41.7,41.84,PNR
61,2018-11-09,42.88,43.08,42.1764,42.53,PNR
62,2018-11-08,42.95,43.39,42.89,43.26,PNR
63,2018-11-07,42.5,43.1,42.27,43.04,PNR
64,2018-11-06,41.73,42.53,41.63,42.37,PNR
65,2018-11-05,41.76,42.08,41.48,41.85,PNR
66,2018-11-02,41.53,41.93,41.071,41.63,PNR
67,2018-11-01,40.34,41.24,40.1,41.14,PNR
68,2018-10-31,40.31,40.64,39.93,40.15,PNR
69,2018-10-30,39.38,40.01,39.09,39.82,PNR
70,2018-10-29,39.89,40.06,38.66,39.07,PNR
