timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,65.8000,66.3800,65.5700,66.2700,66.2700,559513,0.0000,1.0000
2019-02-08,65.6800,65.9300,65.2448,65.7200,65.7200,710969,0.0000,1.0000
2019-02-07,64.2000,65.8200,63.9700,65.7300,65.7300,821734,0.0000,1.0000
2019-02-06,64.5400,65.0300,64.1300,64.4900,64.4900,1191713,0.0000,1.0000
2019-02-05,64.8600,64.9800,64.1600,64.7700,64.7700,1233503,0.0000,1.0000
2019-02-04,64.6800,65.0600,64.1600,64.8400,64.8400,1136019,0.0000,1.0000
2019-02-01,65.2600,65.7700,63.7800,64.4500,64.4500,1077465,0.0000,1.0000
2019-01-31,64.7500,65.1100,64.2000,65.0000,65.0000,1512881,0.0000,1.0000
2019-01-30,64.0100,65.1000,63.1700,64.9600,64.9600,1224191,0.0000,1.0000
2019-01-29,63.4800,63.9500,62.3700,63.9100,63.9100,515469,0.0000,1.0000
2019-01-28,62.6700,63.5200,61.3775,63.5000,63.5000,815906,0.0000,1.0000
2019-01-25,61.6400,62.9000,61.6400,62.7500,62.7500,718906,0.0000,1.0000
2019-01-24,61.3800,61.6900,61.0500,61.4400,61.4400,384499,0.0000,1.0000
2019-01-23,61.4300,61.7300,61.0500,61.4600,61.4600,645895,0.0000,1.0000
2019-01-22,61.8600,61.8600,60.9400,61.5500,61.5500,726150,0.0000,1.0000
2019-01-18,61.6700,61.8200,61.0900,61.6900,61.6900,1149717,0.0000,1.0000
2019-01-17,61.1200,61.6400,60.9800,61.4500,61.4500,601685,0.0000,1.0000
2019-01-16,60.5800,61.5100,60.2800,61.1700,61.1700,818290,0.0000,1.0000
2019-01-15,60.0000,60.6500,59.7800,60.6000,60.6000,742558,0.0000,1.0000
2019-01-14,59.6400,60.6700,59.2700,59.8300,59.8300,882142,0.0000,1.0000
2019-01-11,59.4600,59.8400,58.2800,59.7900,59.7900,711002,0.0000,1.0000
2019-01-10,58.3800,59.6700,58.1750,59.5600,59.5600,1114158,0.0000,1.0000
2019-01-09,58.9800,59.1100,58.1700,58.8100,58.8100,824480,0.0000,1.0000
2019-01-08,57.8400,58.9350,57.6000,58.8800,58.8800,1445986,0.0000,1.0000
2019-01-07,57.2200,58.9000,57.0700,57.6600,57.6600,1216060,0.0000,1.0000
2019-01-04,57.1400,59.6150,56.8600,57.1000,57.1000,1450703,0.0000,1.0000
2019-01-03,56.7900,57.8500,56.7700,56.8900,56.8900,1050809,0.0000,1.0000
2019-01-02,58.2900,58.2900,56.5000,56.8100,56.8100,1064536,0.0000,1.0000
2018-12-31,58.6000,58.7500,57.4700,58.6800,58.6800,1013292,0.0000,1.0000
2018-12-28,58.6900,59.7900,57.6600,58.4700,58.4700,1363247,0.0000,1.0000
2018-12-27,57.5600,58.3900,56.6900,58.3400,58.3400,1504642,0.0000,1.0000
2018-12-26,55.9700,58.1700,55.5000,58.0800,58.0800,1193238,0.0000,1.0000
2018-12-24,57.3200,57.7500,55.7000,55.7600,55.7600,703634,0.0000,1.0000
2018-12-21,57.3700,58.9600,56.8700,57.4600,57.4600,2451086,0.0000,1.0000
2018-12-20,58.0400,58.2700,57.1850,57.5300,57.5300,1358261,0.0000,1.0000
2018-12-19,59.3900,60.7400,57.7300,57.7500,57.7500,2008370,0.0000,1.0000
2018-12-18,58.7900,59.6100,58.3200,59.2700,59.2700,1642155,0.0000,1.0000
2018-12-17,61.5900,61.8900,57.8900,58.2400,58.2400,2004201,0.0000,1.0000
2018-12-14,61.9300,62.2200,61.2500,61.5000,61.5000,1550038,0.0000,1.0000
2018-12-13,62.1600,63.3600,62.1600,62.3000,62.3000,1504515,0.0000,1.0000
2018-12-12,64.1100,64.5000,62.1700,62.2100,62.2100,1350731,0.0000,1.0000
2018-12-11,64.4000,64.7300,63.9000,63.9300,63.9300,862145,0.0000,1.0000
2018-12-10,65.2100,65.2100,63.4100,64.1600,64.1600,1058211,0.0000,1.0000
2018-12-07,65.8100,65.8400,64.8700,65.0600,65.0600,1241904,0.0000,1.0000
2018-12-06,62.8300,65.9000,62.4400,65.8200,65.8200,1544270,0.0000,1.0000
2018-12-04,64.2100,64.4800,62.9500,63.1900,63.1900,1451950,0.0000,1.0000
2018-12-03,63.8500,64.0900,63.5100,64.0600,64.0600,1139337,0.0000,1.0000
2018-11-30,63.0600,63.7800,63.0300,63.6600,63.6600,1357239,0.0000,1.0000
2018-11-29,62.8700,63.1600,62.3500,62.8200,62.8200,977717,0.0000,1.0000
2018-11-28,62.6000,62.9200,62.2300,62.8700,62.8700,1259525,0.0000,1.0000
2018-11-27,62.6000,62.8200,62.2900,62.6400,62.6400,1090302,0.0000,1.0000
2018-11-26,62.9100,63.1900,62.2200,62.5800,62.5800,896336,0.0000,1.0000
2018-11-23,63.2400,63.2400,62.0700,62.7700,62.7700,262200,0.0000,1.0000
2018-11-21,63.5500,64.3500,62.8200,63.1900,63.1900,682442,0.0000,1.0000
2018-11-20,63.6000,64.4100,63.2100,63.5500,63.5500,644868,0.0000,1.0000
2018-11-19,63.6400,64.2600,63.0800,63.5600,63.5600,866619,0.0000,1.0000
2018-11-16,62.4900,63.5200,62.1300,63.5200,63.5200,1045048,0.0000,1.0000
2018-11-15,63.5800,63.7900,62.3300,62.5300,62.5300,856392,0.0000,1.0000
2018-11-14,64.8000,64.9600,63.6700,63.8800,63.8800,728795,0.0000,1.0000
2018-11-13,64.5300,64.8000,63.7100,64.5400,64.5400,937069,0.5550,1.0000
2018-11-12,65.3400,66.0900,64.9400,65.0300,64.4756,634545,0.0000,1.0000
2018-11-09,64.9600,65.6600,64.8900,65.2500,64.6937,556078,0.0000,1.0000
2018-11-08,63.8700,64.9700,63.7600,64.9400,64.3863,798542,0.0000,1.0000
2018-11-07,63.8000,64.2200,63.3600,64.1000,63.5535,912561,0.0000,1.0000
2018-11-06,63.3900,63.5600,63.0000,63.4700,62.9289,927646,0.0000,1.0000
2018-11-05,63.0800,63.9600,62.9600,63.2900,62.7504,1177225,0.0000,1.0000
2018-11-02,64.0800,64.3100,62.3200,62.8100,62.2745,699517,0.0000,1.0000
2018-11-01,63.5300,64.0800,63.0800,64.0600,63.5138,963348,0.0000,1.0000
2018-10-31,64.8800,64.8800,63.2700,63.3600,62.8198,1617059,0.0000,1.0000
2018-10-30,65.0000,65.7600,64.6100,64.8900,64.3367,1048002,0.0000,1.0000
2018-10-29,64.6800,65.3500,64.3900,64.9000,64.3467,1019588,0.0000,1.0000
2018-10-26,64.3400,64.7300,63.1500,64.0900,63.5436,1086333,0.0000,1.0000
2018-10-25,62.8800,64.6800,62.6400,64.1900,63.6427,1192680,0.0000,1.0000
2018-10-24,62.8300,63.2700,62.4500,62.7600,62.2249,1024765,0.0000,1.0000
2018-10-23,62.1500,63.0900,61.9700,62.7500,62.2150,723151,0.0000,1.0000
2018-10-22,63.4900,64.1400,62.5200,62.5200,61.9870,792684,0.0000,1.0000
2018-10-19,63.0700,63.7800,62.9700,63.4500,62.9090,934710,0.0000,1.0000
2018-10-18,63.0600,63.6400,62.9100,62.9400,62.4034,1081171,0.0000,1.0000
2018-10-17,62.8700,63.3700,62.5150,63.0200,62.4827,1083613,0.0000,1.0000
2018-10-16,62.1700,63.2500,61.6800,62.9800,62.4430,993232,0.0000,1.0000
2018-10-15,61.5600,62.6200,61.5600,61.9200,61.3921,1464014,0.0000,1.0000
2018-10-12,62.0800,62.7100,61.4200,61.7400,61.2136,1182981,0.0000,1.0000
2018-10-11,63.5600,63.6800,61.6100,61.6700,61.1442,1496042,0.0000,1.0000
2018-10-10,63.6200,64.2600,63.1200,63.2000,62.6612,2428245,0.0000,1.0000
