timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,222.2600,222.2600,218.3350,220.3800,220.3800,266689,0.0000,1.0000
2019-02-08,221.5800,222.9100,217.9600,221.8000,221.8000,212492,0.0000,1.0000
2019-02-07,221.7600,223.1300,219.5000,222.5000,222.5000,227422,0.0000,1.0000
2019-02-06,220.4000,222.6250,219.4600,222.3000,222.3000,208146,0.0000,1.0000
2019-02-05,219.4600,221.6000,217.9200,220.4500,220.4500,213431,0.0000,1.0000
2019-02-04,222.2600,222.2600,218.3400,219.6600,219.6600,243180,0.0000,1.0000
2019-02-01,219.6700,222.3900,218.5500,222.2900,222.2900,196207,0.0000,1.0000
2019-01-31,218.5600,219.2800,213.4600,219.0500,219.0500,280325,0.0000,1.0000
2019-01-30,214.6800,220.5200,214.6800,219.2700,219.2700,276520,0.0000,1.0000
2019-01-29,214.3400,215.1500,213.2700,214.1100,214.1100,198140,0.0000,1.0000
2019-01-28,211.6000,214.4200,211.6000,214.2800,214.2800,174016,0.0000,1.0000
2019-01-25,214.7800,216.8950,209.9200,213.4200,213.4200,411102,0.0000,1.0000
2019-01-24,217.6300,219.7400,215.5300,215.7200,215.7200,221307,0.0000,1.0000
2019-01-23,216.0000,217.7000,214.7200,217.6000,217.6000,297380,0.0000,1.0000
2019-01-22,217.0400,219.0900,212.9600,214.6700,214.6700,232078,0.0000,1.0000
2019-01-18,215.8500,217.1100,214.8000,216.6900,216.6900,229210,0.0000,1.0000
2019-01-17,211.6500,215.3300,211.6500,215.3300,215.3300,259446,0.0000,1.0000
2019-01-16,215.4300,215.7500,211.7500,212.7200,212.7200,364081,0.0000,1.0000
2019-01-15,213.7500,215.8800,213.1700,215.4800,215.4800,282853,0.0000,1.0000
2019-01-14,211.9500,214.6000,211.9500,213.6800,213.6800,375817,0.0000,1.0000
2019-01-11,214.1800,214.1800,211.9500,213.1700,213.1700,268934,0.0000,1.0000
2019-01-10,211.9200,214.5900,210.8000,214.4400,214.4400,268359,0.0000,1.0000
2019-01-09,214.1600,216.0900,211.6300,211.9900,211.9900,305325,0.0000,1.0000
2019-01-08,210.2800,213.4200,204.8350,213.4000,213.4000,471477,0.0000,1.0000
2019-01-07,213.9300,215.5800,211.3600,211.3700,211.3700,301830,0.0000,1.0000
2019-01-04,210.1900,215.3900,210.1900,214.9100,214.9100,258724,0.0000,1.0000
2019-01-03,212.2100,212.2275,208.0700,208.8000,208.8000,288277,0.0000,1.0000
2019-01-02,214.5300,215.7150,211.9600,213.6600,213.6600,204398,0.0000,1.0000
2018-12-31,216.1400,217.8000,215.0200,217.7600,217.7600,213373,0.0000,1.0000
2018-12-28,215.7900,218.5900,214.3301,216.0300,216.0300,192846,0.0000,1.0000
2018-12-27,207.9400,214.8900,206.8100,214.8400,214.8400,264065,0.0000,1.0000
2018-12-26,205.1000,210.3100,201.0900,210.2400,210.2400,234242,0.0000,1.0000
2018-12-24,212.8600,212.8600,205.7100,205.7600,205.7600,113643,0.0000,1.0000
2018-12-21,216.1100,220.5500,212.7400,213.2700,213.2700,466998,0.0000,1.0000
2018-12-20,218.7700,219.2700,214.3750,216.2400,216.2400,368456,0.0000,1.0000
2018-12-19,220.4700,223.6800,217.8150,220.1600,220.1600,269406,0.0000,1.0000
2018-12-18,219.0600,223.6100,218.6000,219.6600,219.6600,457118,0.0000,1.0000
2018-12-17,215.0700,219.9900,213.4050,217.7800,217.7800,408885,0.0000,1.0000
2018-12-14,216.0700,217.9600,214.5400,215.3100,215.3100,339509,0.0000,1.0000
2018-12-13,220.6900,222.0600,216.7400,217.7300,217.7300,360926,0.0000,1.0000
2018-12-12,224.4400,226.8200,219.9000,220.0200,220.0200,485841,0.0000,1.0000
2018-12-11,231.7400,232.6650,222.1800,222.7000,222.7000,400573,0.0000,1.0000
2018-12-10,229.0000,230.9499,227.0300,230.1700,230.1700,277825,0.0000,1.0000
2018-12-07,225.3500,232.2300,225.3500,228.8700,228.8700,573588,0.0000,1.0000
2018-12-06,219.3500,225.8900,218.3800,225.4400,225.4400,460629,0.0000,1.0000
2018-12-04,224.3700,226.3100,221.0400,222.5000,222.5000,349173,0.0000,1.0000
2018-12-03,224.0000,225.6400,221.3600,224.4100,224.4100,226676,0.0000,1.0000
2018-11-30,219.8300,223.5600,219.8300,222.0800,222.0800,474813,0.0000,1.0000
2018-11-29,215.3000,221.6800,215.3000,220.1200,220.1200,300874,0.0000,1.0000
2018-11-28,215.2500,217.8100,214.6800,216.5600,216.5600,302630,0.0000,1.0000
2018-11-27,214.9000,216.5650,212.9700,214.5800,214.5800,232918,1.4000,1.0000
2018-11-26,216.1200,218.4100,215.6300,217.2000,215.7921,306001,0.0000,1.0000
2018-11-23,212.6600,216.4400,211.2800,214.2400,212.8513,138852,0.0000,1.0000
2018-11-21,215.8600,217.1250,214.3400,214.5000,213.1096,348123,0.0000,1.0000
2018-11-20,214.4000,215.9450,212.6800,215.5000,214.1031,328445,0.0000,1.0000
2018-11-19,216.2000,217.2800,214.4100,215.8100,214.4111,287971,0.0000,1.0000
2018-11-16,213.3300,216.4400,212.9900,216.4300,215.0271,261934,0.0000,1.0000
2018-11-15,211.9600,214.6700,210.7000,214.5000,213.1096,410029,0.0000,1.0000
2018-11-14,214.7700,215.9200,210.4200,212.1600,210.7848,282632,0.0000,1.0000
2018-11-13,214.5700,216.8950,213.5400,214.2000,212.8115,237893,0.0000,1.0000
2018-11-12,221.2300,221.2300,213.5100,213.8300,212.4439,236809,0.0000,1.0000
2018-11-09,222.6000,223.5600,219.6100,221.2200,219.7860,193084,0.0000,1.0000
2018-11-08,222.0500,223.8200,221.0500,222.5700,221.1273,203729,0.0000,1.0000
2018-11-07,223.4700,224.9200,219.3100,224.0600,222.6076,234640,0.0000,1.0000
2018-11-06,221.5200,224.8500,220.0700,223.5100,222.0612,225881,0.0000,1.0000
2018-11-05,220.8900,224.2500,220.4286,221.3500,219.9152,245399,0.0000,1.0000
2018-11-02,220.8200,223.6200,216.9900,219.3100,217.8884,236828,0.0000,1.0000
2018-11-01,217.9000,223.0600,217.0900,219.7700,218.3454,340474,0.0000,1.0000
2018-10-31,220.6900,222.0500,215.1000,217.8600,216.4478,486303,0.0000,1.0000
2018-10-30,218.3200,220.3500,210.2300,219.4900,218.0672,516735,0.0000,1.0000
2018-10-29,206.2300,209.1400,204.6000,206.4600,205.1217,312163,0.0000,1.0000
2018-10-26,205.8900,207.7700,203.9000,205.0300,203.7010,250332,0.0000,1.0000
2018-10-25,205.9600,209.7200,205.8600,207.5500,206.2046,179895,0.0000,1.0000
2018-10-24,208.6900,209.0100,204.9200,205.0800,203.7507,269350,0.0000,1.0000
2018-10-23,210.0900,212.8800,208.8100,209.9500,208.5891,237916,0.0000,1.0000
2018-10-22,216.2800,217.5900,212.4650,212.6300,211.2517,214830,0.0000,1.0000
2018-10-19,210.3300,217.5000,209.6000,216.1800,214.7787,358330,0.0000,1.0000
2018-10-18,215.3000,216.2600,210.3000,211.1200,209.7515,238009,0.0000,1.0000
2018-10-17,215.3600,216.9000,212.6700,216.0100,214.6098,219368,0.0000,1.0000
2018-10-16,215.7400,217.1600,213.9700,215.4000,214.0038,133208,0.0000,1.0000
2018-10-15,213.5500,216.6850,212.9000,214.5200,213.1295,162235,0.0000,1.0000
2018-10-12,217.4900,217.4900,208.6500,212.9900,211.6094,253138,0.0000,1.0000
2018-10-11,217.3400,221.8300,214.7700,215.0000,213.6064,344312,0.0000,1.0000
2018-10-10,226.8700,228.8000,217.4900,217.7300,216.3187,334382,0.0000,1.0000
2018-10-09,227.4700,229.7700,226.3750,229.5100,228.0223,253485,0.0000,1.0000
2018-10-08,226.8800,228.1700,225.4300,227.2000,225.7273,200173,0.0000,1.0000
2018-10-05,226.1300,229.4800,225.9150,226.9600,225.4888,169898,0.0000,1.0000
2018-10-04,226.9500,228.0200,225.2500,226.8800,225.4093,271396,0.0000,1.0000
2018-10-03,227.7000,228.9700,225.8600,225.9600,224.4953,223333,0.0000,1.0000
2018-10-02,225.7400,229.4750,224.1400,227.1200,225.6478,250925,0.0000,1.0000
2018-10-01,228.1800,229.2300,223.8830,224.3800,222.9256,260412,0.0000,1.0000
2018-09-28,227.8300,229.9800,225.3500,228.4700,226.9890,226219,0.0000,1.0000
2018-09-27,227.6200,229.5366,226.6000,228.1900,226.7109,149624,0.0000,1.0000
2018-09-26,229.0200,230.5200,226.8600,227.7900,226.3134,202046,0.0000,1.0000
2018-09-25,229.1600,230.3300,226.7800,229.0600,227.5752,194862,0.0000,1.0000
2018-09-24,232.5900,232.6850,226.6100,228.7500,227.2672,349000,0.0000,1.0000
2018-09-21,233.6200,234.0200,229.8300,233.1300,231.6188,379234,0.0000,1.0000
2018-09-20,229.7400,232.0900,229.6900,231.7000,230.1981,217667,0.0000,1.0000
2018-09-19,225.9800,230.5500,225.9800,229.5600,228.0720,346237,0.0000,1.0000
2018-09-18,223.6800,226.2100,222.8500,225.7300,224.2668,244355,0.0000,1.0000
