timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,63.9400,64.8000,63.6800,64.7400,64.7400,931193,0.0000,1.0000
2019-02-08,62.4800,63.4600,62.3400,63.4000,63.4000,713753,0.0000,1.0000
2019-02-07,62.9000,63.7900,62.6700,63.0600,63.0600,1074300,0.0000,1.0000
2019-02-06,63.5000,64.0700,63.4000,63.6600,63.6600,742988,0.0000,1.0000
2019-02-05,64.4000,64.4200,63.2150,63.6100,63.6100,1207294,0.0000,1.0000
2019-02-04,63.6300,64.3300,62.8200,64.2300,64.2300,1308402,0.0000,1.0000
2019-02-01,64.4000,64.5850,63.0800,63.5000,63.5000,1924183,0.0000,1.0000
2019-01-31,65.3100,65.3100,63.9200,64.4300,64.4300,1708904,0.0000,1.0000
2019-01-30,65.1400,67.9000,62.8400,65.1900,65.1900,3046512,0.0000,1.0000
2019-01-29,60.9700,61.1100,60.2600,60.7200,60.7200,1419950,0.0000,1.0000
2019-01-28,60.4900,60.8300,59.8700,60.7800,60.7800,1036271,0.0000,1.0000
2019-01-25,60.8500,61.4300,60.8200,60.9900,60.9900,841816,0.0000,1.0000
2019-01-24,59.3400,60.3700,59.0800,60.3400,60.3400,1095053,0.0000,1.0000
2019-01-23,59.9800,60.6000,58.6800,59.4000,59.4000,843604,0.0000,1.0000
2019-01-22,60.5000,60.5500,59.1700,59.7600,59.7600,950887,0.0000,1.0000
2019-01-18,60.5600,61.1200,60.0800,60.8700,60.8700,1104193,0.0000,1.0000
2019-01-17,58.5400,60.3700,58.3300,60.1800,60.1800,1232487,0.0000,1.0000
2019-01-16,58.6100,59.3200,58.1800,58.7900,58.7900,932944,0.0000,1.0000
2019-01-15,58.4100,58.8500,58.0500,58.6100,58.6100,652079,0.0000,1.0000
2019-01-14,57.8700,58.9100,57.6600,58.3000,58.3000,697710,0.0000,1.0000
2019-01-11,57.8000,58.9100,57.2900,58.3800,58.3800,894757,0.0000,1.0000
2019-01-10,57.9600,58.4900,57.3600,58.1900,58.1900,976548,0.0000,1.0000
2019-01-09,57.7400,58.7700,57.1950,58.3300,58.3300,1262435,0.0000,1.0000
2019-01-08,56.7400,57.3800,55.9100,57.3400,57.3400,1303519,0.0000,1.0000
2019-01-07,55.9100,56.4000,55.1600,55.9000,55.9000,1113675,0.0000,1.0000
2019-01-04,53.9200,56.5000,53.9200,56.0900,56.0900,1576102,0.0000,1.0000
2019-01-03,55.5500,55.6000,52.7900,52.9000,52.9000,1622122,0.0000,1.0000
2019-01-02,56.3200,56.9800,55.7300,56.5400,56.5400,1127152,0.0000,1.0000
2018-12-31,56.6600,57.4500,56.2400,57.2000,57.2000,679280,0.0000,1.0000
2018-12-28,56.4800,57.2000,56.0000,56.4000,56.4000,809709,0.0000,1.0000
2018-12-27,54.9100,56.1500,53.9800,56.1400,56.1400,1232825,0.0000,1.0000
2018-12-26,53.1400,56.0400,52.8800,55.9800,55.9800,989311,0.0000,1.0000
2018-12-24,53.7200,54.4000,52.8300,52.8600,52.8600,718867,0.0000,1.0000
2018-12-21,56.1400,56.5700,54.0000,54.0400,54.0400,2000636,0.0000,1.0000
2018-12-20,56.1600,56.8100,55.0100,55.7700,55.7700,1146619,0.0000,1.0000
2018-12-19,57.1300,58.6600,55.9900,56.3600,56.3600,1393555,0.0000,1.0000
2018-12-18,56.6500,57.5400,56.4300,56.9400,56.9400,969980,0.0000,1.0000
2018-12-17,57.5500,58.0100,55.8200,56.1500,56.1500,1636992,0.0000,1.0000
2018-12-14,57.7500,58.7350,56.7200,57.7600,57.7600,1311558,0.0000,1.0000
2018-12-13,59.7100,59.9900,58.3250,58.3900,58.3900,842535,0.0000,1.0000
2018-12-12,60.2100,60.8500,59.6500,59.6800,59.6800,989245,0.0000,1.0000
2018-12-11,59.8800,60.4600,59.1300,59.3500,59.3500,921389,0.0000,1.0000
2018-12-10,58.4700,59.2000,57.9000,59.0000,59.0000,713339,0.0000,1.0000
2018-12-07,59.2000,59.9100,58.0700,58.2600,58.2600,1117242,0.0000,1.0000
2018-12-06,58.8400,59.4300,58.0900,59.2400,59.2400,1443065,0.0000,1.0000
2018-12-04,62.8900,63.1900,59.8200,60.0000,60.0000,1249134,0.0000,1.0000
2018-12-03,62.8300,63.2100,61.6600,62.8700,62.8700,1435199,0.0000,1.0000
2018-11-30,61.7100,62.7600,61.6000,61.8300,61.8300,1087403,0.0000,1.0000
2018-11-29,62.0800,62.4400,61.2550,61.8200,61.8200,1076392,0.0000,1.0000
2018-11-28,60.4100,62.5600,60.4100,62.4900,62.4900,946999,0.0000,1.0000
2018-11-27,60.1800,60.6200,59.7100,60.0700,60.0700,1133283,0.0000,1.0000
2018-11-26,59.6200,60.4500,59.5000,60.3400,60.3400,1303304,0.0000,1.0000
2018-11-23,58.1500,59.5700,58.1500,58.8000,58.8000,403429,0.0000,1.0000
2018-11-21,59.1100,59.8700,58.6400,58.6800,58.6800,1072787,0.2800,1.0000
2018-11-20,59.6700,59.9250,58.4900,58.8800,58.6004,1680377,0.0000,1.0000
2018-11-19,61.1200,61.6900,59.4300,60.5200,60.2326,2535892,0.0000,1.0000
2018-11-16,62.9700,63.6500,62.5100,62.9900,62.6909,899078,0.0000,1.0000
2018-11-15,61.8100,63.9350,61.5200,63.6100,63.3079,1596459,0.0000,1.0000
2018-11-14,63.6200,63.9500,61.6100,62.2100,61.9146,1314536,0.0000,1.0000
2018-11-13,62.8800,64.3400,62.5400,63.0600,62.7605,1237112,0.0000,1.0000
2018-11-12,62.8700,63.2100,62.1850,62.7600,62.4620,698925,0.0000,1.0000
2018-11-09,64.6800,64.8100,61.7700,62.8400,62.5416,1654662,0.0000,1.0000
2018-11-08,64.3700,65.3400,64.1700,64.9900,64.6814,1702897,0.0000,1.0000
2018-11-07,63.6800,64.4900,63.2700,64.4400,64.1340,958783,0.0000,1.0000
2018-11-06,61.9100,63.1400,61.7850,63.1000,62.8003,1356244,0.0000,1.0000
2018-11-05,61.9900,62.1600,60.4200,61.9200,61.6259,1382453,0.0000,1.0000
2018-11-02,62.8000,63.0500,61.4700,62.2900,61.9942,1288087,0.0000,1.0000
2018-11-01,60.8300,62.0700,60.3000,61.9500,61.6558,1123221,0.0000,1.0000
2018-10-31,60.5400,61.1100,60.1200,60.5300,60.2425,2120364,0.0000,1.0000
2018-10-30,58.9700,60.2100,58.5200,59.6200,59.3369,1486136,0.0000,1.0000
2018-10-29,59.5000,60.3058,57.8800,58.8400,58.5606,1801868,0.0000,1.0000
2018-10-26,58.5200,59.3700,57.6500,58.5300,58.2520,2271652,0.0000,1.0000
2018-10-25,58.2600,60.4000,58.0500,59.7200,59.4364,2628861,0.0000,1.0000
2018-10-24,64.5200,64.5200,57.3200,57.3800,57.1075,4435000,0.0000,1.0000
2018-10-23,62.5600,64.3100,61.5000,64.0000,63.6961,2966052,0.0000,1.0000
2018-10-22,62.0800,64.4300,61.9000,63.3800,63.0790,2253560,0.0000,1.0000
2018-10-19,61.5000,62.7700,61.5000,61.7200,61.4269,2552404,0.0000,1.0000
2018-10-18,64.3600,64.8700,62.7400,62.9300,62.6311,1834494,0.0000,1.0000
2018-10-17,65.4000,65.5250,64.3100,64.5500,64.2435,1116722,0.0000,1.0000
2018-10-16,64.1700,65.5800,63.5400,65.5200,65.2088,1413883,0.0000,1.0000
2018-10-15,63.5900,63.9700,62.8600,63.4900,63.1885,1879527,0.0000,1.0000
2018-10-12,65.4800,65.5900,63.1600,63.8800,63.5766,1725234,0.0000,1.0000
2018-10-11,65.5000,66.9100,64.1600,64.4000,64.0942,1697538,0.0000,1.0000
2018-10-10,68.0200,68.0200,65.8900,65.9300,65.6169,1359659,0.0000,1.0000
2018-10-09,67.7800,68.3600,67.4050,68.0800,67.7567,1208686,0.0000,1.0000
2018-10-08,67.9000,68.1300,66.7800,67.9700,67.6472,1535119,0.0000,1.0000
2018-10-05,68.8200,69.3200,67.9300,68.2000,67.8761,1212969,0.0000,1.0000
2018-10-04,68.5300,68.9900,68.0400,68.5600,68.2344,980519,0.0000,1.0000
2018-10-03,68.6900,69.1900,68.3900,68.7200,68.3936,1678144,0.0000,1.0000
2018-10-02,69.6900,69.9700,68.1700,68.3400,68.0155,1088451,0.0000,1.0000
2018-10-01,70.8900,71.2800,69.1800,69.4000,69.0704,1504549,0.0000,1.0000
2018-09-28,69.5800,70.8400,69.5000,70.3800,70.0458,1505267,0.0000,1.0000
2018-09-27,71.3700,71.4300,69.5700,69.6300,69.2993,1222933,0.0000,1.0000
2018-09-26,71.5200,71.8100,71.0000,71.0700,70.7325,1216412,0.0000,1.0000
2018-09-25,71.5800,71.8900,71.2100,71.5800,71.2401,1074920,0.0000,1.0000
2018-09-24,70.5700,71.6200,70.1700,71.3000,70.9614,1057634,0.0000,1.0000
