timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,179.4000,179.4500,178.8500,179.1800,179.1800,1668219,0.0000,1.0000
2019-02-08,178.8000,179.3900,178.6000,179.3700,179.3700,961040,0.0000,1.0000
2019-02-07,178.7000,179.1900,178.6000,179.1200,179.1200,867838,0.0000,1.0000
2019-02-06,178.4900,179.0295,178.4800,178.8100,178.8100,1255088,0.0000,1.0000
2019-02-05,178.8000,179.0500,178.2600,178.6900,178.6900,1620230,0.0000,1.0000
2019-02-04,178.4400,178.5800,177.9700,178.5800,178.5800,1544779,0.0000,1.0000
2019-02-01,178.0000,178.4900,177.5100,178.3800,178.3800,1716153,0.0000,1.0000
2019-01-31,176.2200,178.1200,176.2200,177.8400,177.8400,2157976,0.0000,1.0000
2019-01-30,176.2000,176.4800,176.0500,176.4500,176.4500,1317235,0.0000,1.0000
2019-01-29,176.0000,176.4400,176.0000,176.2000,176.2000,1148685,0.0000,1.0000
2019-01-28,176.3000,176.5000,175.9000,176.1000,176.1000,1661186,0.0000,1.0000
2019-01-25,176.5000,176.7500,176.2600,176.5000,176.5000,1077231,0.0000,1.0000
2019-01-24,176.3500,176.4800,175.9000,176.3500,176.3500,1854306,0.0000,1.0000
2019-01-23,175.9000,176.5000,175.6400,176.2400,176.2400,1445260,0.0000,1.0000
2019-01-22,175.3200,175.9700,175.0700,175.4700,175.4700,3747280,0.0000,1.0000
2019-01-18,175.9000,176.0000,175.2500,175.5100,175.5100,1455686,0.0000,1.0000
2019-01-17,175.3300,175.9700,175.3300,175.7400,175.7400,1240596,0.0000,1.0000
2019-01-16,175.2600,175.9800,175.2400,175.3300,175.3300,1711098,0.0000,1.0000
2019-01-15,175.0000,175.7900,174.8500,175.6100,175.6100,1585767,0.0000,1.0000
2019-01-14,175.6000,176.0700,174.7500,174.8500,174.8500,3594241,0.0000,1.0000
2019-01-11,174.5000,176.0800,174.5000,176.0600,176.0600,1644066,0.0000,1.0000
2019-01-10,174.1000,174.7650,174.0200,174.5000,174.5000,2680100,0.0000,1.0000
2019-01-09,174.7000,175.1500,174.0300,174.1000,174.1000,2747070,0.0000,1.0000
2019-01-08,174.7500,175.3600,174.3000,174.7800,174.7800,2769041,0.0000,1.0000
2019-01-07,174.1900,175.0400,174.0000,174.5000,174.5000,1698759,0.0000,1.0000
2019-01-04,174.5300,175.1600,173.9900,173.9900,173.9900,2225096,0.0000,1.0000
2019-01-03,174.0000,175.1800,173.7300,173.9600,173.9600,2615080,0.0000,1.0000
2019-01-02,174.9100,175.5900,173.5250,174.1800,174.1800,3504105,0.0000,1.0000
2018-12-31,174.9800,175.6400,174.6600,175.6400,175.6400,1109619,0.0000,1.0000
2018-12-28,175.7500,175.7800,174.5000,174.5900,174.5900,1439767,0.0000,1.0000
2018-12-27,173.5000,175.5000,173.0000,175.3900,175.3900,2510598,0.0000,1.0000
2018-12-26,173.5400,174.0100,172.7405,173.7000,173.7000,4330848,0.0000,1.0000
2018-12-24,173.6000,174.0000,172.8000,172.9500,172.9500,1531139,0.0000,1.0000
2018-12-21,175.5000,175.8000,173.1100,173.4700,173.4700,4503249,0.0000,1.0000
2018-12-20,175.3400,175.7000,174.7800,174.8600,174.8600,2923954,0.0000,1.0000
2018-12-19,176.6000,176.9100,175.0800,175.4300,175.4300,4090220,0.0000,1.0000
2018-12-18,176.1600,177.1300,175.7700,176.0000,176.0000,2411146,0.0000,1.0000
2018-12-17,176.2100,176.3900,175.4990,176.0000,176.0000,2593939,0.0000,1.0000
2018-12-14,176.8000,177.2600,176.2500,176.5000,176.5000,2122594,0.0000,1.0000
2018-12-13,177.0700,177.7900,176.7700,176.8200,176.8200,2216616,0.0000,1.0000
2018-12-12,177.3200,177.3700,176.7000,176.7400,176.7400,2161146,0.0000,1.0000
2018-12-11,177.6500,177.6500,176.0000,176.5300,176.5300,2224617,0.0000,1.0000
2018-12-10,177.2000,177.5200,176.5000,177.0000,177.0000,2665798,0.0000,1.0000
2018-12-07,178.1500,178.2700,177.0000,177.1000,177.1000,1638048,0.0000,1.0000
2018-12-06,177.2000,178.3600,177.0000,178.2500,178.2500,2079863,0.0000,1.0000
2018-12-04,178.2900,178.3500,177.2200,177.8500,177.8500,1587980,0.0000,1.0000
2018-12-03,179.0100,179.0400,176.9200,178.3600,178.3600,2635017,0.0000,1.0000
2018-11-30,177.8500,179.4900,177.5200,178.5600,178.5600,2460008,0.0000,1.0000
2018-11-29,177.5200,178.2600,177.3000,177.8900,177.8900,1732950,0.0000,1.0000
2018-11-28,177.2700,178.1700,176.9350,178.0500,178.0500,1929502,0.0000,1.0000
2018-11-27,176.9300,177.7100,176.7300,176.7300,176.7300,2742830,0.0000,1.0000
2018-11-26,175.6000,177.5500,175.5100,176.9700,176.9700,3472095,0.0000,1.0000
2018-11-23,173.4200,175.2500,173.3500,175.1500,175.1500,1142900,0.0000,1.0000
2018-11-21,173.5000,173.5700,173.0900,173.1000,173.1000,1658519,0.0000,1.0000
2018-11-20,172.6600,173.7700,172.6100,173.4600,173.4600,2282387,0.0000,1.0000
2018-11-19,173.5000,173.7000,173.2300,173.3600,173.3600,2582949,0.0000,1.0000
2018-11-16,173.5400,173.9900,173.3500,173.5000,173.5000,2959884,0.0000,1.0000
2018-11-15,173.2000,174.3000,173.0900,173.8200,173.8200,2230992,0.0000,1.0000
2018-11-14,173.4300,174.1695,173.2000,173.3100,173.3100,2305636,0.0000,1.0000
2018-11-13,173.4700,173.5000,172.9100,172.9500,172.9500,3674621,0.0000,1.0000
2018-11-12,173.4200,173.9000,172.7500,172.8800,172.8800,3330872,0.0000,1.0000
2018-11-09,173.3000,174.2900,173.3000,173.7500,173.7500,1973814,0.0000,1.0000
2018-11-08,173.2400,174.0300,172.9500,173.6400,173.6400,2791354,0.0000,1.0000
2018-11-07,173.7900,174.4300,173.1100,173.6300,173.6300,2202215,0.0000,1.0000
2018-11-06,173.2500,174.7500,173.2500,173.5000,173.5000,3528559,0.0000,1.0000
2018-11-05,172.0000,174.0000,171.3000,173.3100,173.3100,3557492,0.0000,1.0000
2018-11-02,172.1900,172.9300,171.9200,172.2400,172.2400,4802305,0.0000,1.0000
2018-11-01,171.2000,172.7700,171.0000,172.4000,172.4000,6253586,0.0000,1.0000
2018-10-31,170.4000,171.7000,170.0000,171.6400,171.6400,4906929,0.0000,1.0000
2018-10-30,167.8400,170.7300,167.4500,170.0000,170.0000,9687893,0.0000,1.0000
2018-10-29,174.1600,174.4800,166.1000,169.6300,169.6300,30820933,0.0000,1.0000
2018-10-26,117.8400,119.9100,115.3100,116.6800,116.6800,1545210,0.0000,1.0000
2018-10-25,118.2300,120.9500,117.6300,120.5200,120.5200,1500118,0.0000,1.0000
2018-10-24,122.2300,122.3500,116.7400,116.8700,116.8700,2129494,0.0000,1.0000
2018-10-23,120.9200,123.1600,119.6600,122.3300,122.3300,1371053,0.0000,1.0000
2018-10-22,120.7700,122.5500,119.4700,121.9000,121.9000,1104040,0.0000,1.0000
2018-10-19,122.5600,123.8100,119.6300,120.1200,120.1200,1465966,0.0000,1.0000
2018-10-18,124.2100,124.3350,120.8600,121.8500,121.8500,1509638,0.0000,1.0000
2018-10-17,125.1700,125.6000,123.3200,124.8400,124.8400,1175243,0.0000,1.0000
2018-10-16,125.0500,126.4500,124.0400,125.6000,125.6000,2004710,0.0000,1.0000
2018-10-15,122.5500,124.9900,120.9900,123.5400,123.5400,2437700,0.0000,1.0000
2018-10-12,120.6100,122.9300,120.1800,122.5100,122.5100,1968905,0.0000,1.0000
2018-10-11,117.0100,120.0000,116.3057,117.3800,117.3800,2585572,0.0000,1.0000
2018-10-10,122.5000,122.5000,117.5600,117.6800,117.6800,2618288,0.0000,1.0000
2018-10-09,124.0700,126.1300,121.4450,122.7800,122.7800,2666973,0.0000,1.0000
2018-10-08,126.2100,126.5700,122.6600,125.0000,125.0000,2347245,0.0000,1.0000
2018-10-05,127.4500,129.3700,124.7600,126.9000,126.9000,2098652,0.0000,1.0000
2018-10-04,129.5000,129.8300,127.1300,127.9700,127.9700,1641527,0.0000,1.0000
2018-10-03,129.9500,131.0900,129.2400,130.0600,130.0600,1158458,0.0000,1.0000
2018-10-02,132.5900,132.7800,129.1900,129.6400,129.6400,2589856,0.0000,1.0000
2018-10-01,137.0600,137.4500,132.2800,133.0300,133.0300,1887044,0.0000,1.0000
2018-09-28,133.8500,137.0600,133.7200,136.2800,136.2800,2228161,0.0000,1.0000
2018-09-27,135.7400,137.3000,133.8300,134.0100,134.0100,2057336,0.0000,1.0000
2018-09-26,136.1100,137.2900,134.9350,135.7200,135.7200,1702153,0.0000,1.0000
2018-09-25,134.7600,136.4700,134.0600,135.5600,135.5600,2168789,0.0000,1.0000
2018-09-24,133.8600,135.2600,132.5100,134.8600,134.8600,2302482,0.0000,1.0000
2018-09-21,134.3800,136.0400,133.3400,134.6200,134.6200,3929683,0.0000,1.0000
2018-09-20,135.9600,136.0500,132.2900,133.8100,133.8100,10034294,0.0000,1.0000
2018-09-19,142.5000,143.5000,140.0400,143.1600,143.1600,3967319,0.0000,1.0000
2018-09-18,141.6900,144.6900,140.8100,142.7100,142.7100,2602982,0.0000,1.0000
