timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,422.9100,423.9500,419.3700,423.7100,423.7100,422462,0.0000,1.0000
2019-02-08,417.8400,421.6800,415.0100,421.0100,421.0100,510454,0.0000,1.0000
2019-02-07,418.9600,421.2500,415.3300,418.1100,418.1100,467259,0.0000,1.0000
2019-02-06,420.0800,422.8150,420.0800,421.0500,421.0500,498558,0.0000,1.0000
2019-02-05,418.9100,421.8900,416.5300,421.8300,421.8300,616752,0.0000,1.0000
2019-02-04,419.2900,419.7507,412.8900,418.9600,418.9600,740966,0.0000,1.0000
2019-02-01,423.0000,428.4866,414.4200,417.0200,417.0200,798245,0.0000,1.0000
2019-01-31,400.0000,427.6900,397.0000,421.5200,421.5200,1668935,0.0000,1.0000
2019-01-30,401.4900,409.6800,400.4300,405.2300,405.2300,1042821,0.0000,1.0000
2019-01-29,396.4900,403.2800,395.2600,403.0000,403.0000,672752,0.0000,1.0000
2019-01-28,390.5200,397.0000,389.0054,397.0000,397.0000,716751,0.0000,1.0000
2019-01-25,395.0500,398.7500,392.4700,392.8300,392.8300,907945,0.0000,1.0000
2019-01-24,392.5200,394.8500,388.4350,390.2600,390.2600,619587,0.0000,1.0000
2019-01-23,394.7000,396.8200,387.9500,393.3900,393.3900,741417,0.0000,1.0000
2019-01-22,394.9500,398.9800,390.3700,393.9700,393.9700,932865,0.0000,1.0000
2019-01-18,397.4000,402.3100,395.8300,398.5300,398.5300,1429154,0.0000,1.0000
2019-01-17,384.9800,396.3200,383.0200,394.5300,394.5300,817352,0.0000,1.0000
2019-01-16,380.5600,388.2000,380.5600,386.9400,386.9400,1081253,0.0000,1.0000
2019-01-15,378.0000,383.4800,371.0000,381.4400,381.4400,2572452,0.0000,1.0000
2019-01-14,396.0700,400.0550,390.6301,397.8000,397.8000,566402,0.0000,1.0000
2019-01-11,395.5500,398.8800,393.2600,395.9300,395.9300,566535,0.0000,1.0000
2019-01-10,396.6100,400.6800,391.6400,399.5500,399.5500,434982,0.0000,1.0000
2019-01-09,399.6000,402.8300,394.2200,398.1400,398.1400,982608,0.0000,1.0000
2019-01-08,397.1700,401.9800,392.9000,398.7900,398.7900,591293,0.0000,1.0000
2019-01-07,390.9100,402.5900,390.9100,395.9800,395.9800,863282,0.0000,1.0000
2019-01-04,387.5900,396.7600,378.6600,390.4700,390.4700,1057466,0.0000,1.0000
2019-01-03,390.8800,390.8800,377.6000,380.3900,380.3900,862393,0.0000,1.0000
2019-01-02,389.3800,395.1700,386.5600,392.2300,392.2300,507543,0.0000,1.0000
2018-12-31,390.7400,393.8200,388.9900,393.4600,393.4600,514768,0.0000,1.0000
2018-12-28,392.9100,396.5400,387.7200,389.5800,389.5800,555077,0.0000,1.0000
2018-12-27,382.0400,391.1700,376.2400,391.1700,391.1700,601362,0.0000,1.0000
2018-12-26,367.8300,386.8300,365.3400,386.7200,386.7200,652599,0.0000,1.0000
2018-12-24,374.1900,376.3600,365.2000,365.2400,365.2400,355176,0.0000,1.0000
2018-12-21,379.1700,387.9200,376.2900,376.5500,376.5500,1284007,0.0000,1.0000
2018-12-20,377.9400,385.0000,375.6550,379.3900,379.3900,1145804,0.0000,1.0000
2018-12-19,388.0000,394.9700,377.8100,380.2400,380.2400,772135,0.0000,1.0000
2018-12-18,380.6600,388.3600,379.5500,383.9100,383.9100,932511,0.0000,1.0000
2018-12-17,392.2700,395.0000,372.7500,376.4500,376.4500,1066200,0.0000,1.0000
2018-12-14,384.5300,388.6400,383.6450,386.0000,386.0000,1031267,0.0000,1.0000
2018-12-13,392.6000,395.1400,383.9900,385.8900,385.8900,804297,0.0000,1.0000
2018-12-12,394.7700,396.9700,391.2200,391.5500,391.5500,453115,0.0000,1.0000
2018-12-11,398.7500,400.5500,387.9900,390.8500,390.8500,536142,0.0000,1.0000
2018-12-10,388.8700,395.4000,384.4300,393.4600,393.4600,710058,0.0000,1.0000
2018-12-07,399.6500,407.0600,388.0000,389.5000,389.5000,736594,0.0000,1.0000
2018-12-06,400.0600,404.9700,394.0600,401.0300,401.0300,1288269,0.0000,1.0000
2018-12-04,419.1900,422.2100,406.3100,406.6000,406.6000,1056621,0.0000,1.0000
2018-12-03,427.5600,434.0000,417.0450,418.3400,418.3400,987166,0.0000,1.0000
2018-11-30,419.8400,424.2800,418.4800,424.0700,424.0700,603091,0.0000,1.0000
2018-11-29,416.0800,422.3400,414.6100,419.7600,419.7600,571026,0.0000,1.0000
2018-11-28,404.2800,416.6200,399.7400,416.4800,416.4800,889552,0.0000,1.0000
2018-11-27,408.6400,412.1300,401.7500,403.4400,403.4400,853563,0.0000,1.0000
2018-11-26,420.0000,420.0300,409.2800,411.5400,411.5400,598643,0.0000,1.0000
2018-11-23,409.4100,418.9000,408.9180,415.1000,415.1000,293340,0.0000,1.0000
2018-11-21,411.9700,419.1100,408.1200,410.4600,410.4600,721010,0.0000,1.0000
2018-11-20,407.8600,412.3500,402.3600,410.0400,410.0400,1493917,0.0000,1.0000
2018-11-19,423.9200,424.8800,410.9100,415.2600,415.2600,848742,0.0000,1.0000
2018-11-16,417.3900,427.1300,415.7000,423.9600,423.9600,801029,0.0000,1.0000
2018-11-15,410.5800,424.3400,406.0500,420.9900,420.9900,734766,0.8600,1.0000
2018-11-14,419.1300,426.4000,413.5400,414.9000,414.0542,1326294,0.0000,1.0000
2018-11-13,409.7500,418.4600,409.1400,416.7600,415.9104,888753,0.0000,1.0000
2018-11-12,410.3450,415.3000,408.4000,409.0500,408.2161,646156,0.0000,1.0000
2018-11-09,409.2450,417.4300,407.5100,414.8400,413.9943,671469,0.0000,1.0000
2018-11-08,412.6500,417.1300,409.4500,415.3400,414.4933,810445,0.0000,1.0000
2018-11-07,409.3100,416.0300,406.0500,414.7800,413.9344,696375,0.0000,1.0000
2018-11-06,402.7100,406.3200,402.7100,405.0700,404.2442,584050,0.0000,1.0000
2018-11-05,400.0700,406.5000,399.4400,404.1200,403.2961,701133,0.0000,1.0000
2018-11-02,400.5300,409.3600,397.2300,402.3800,401.5597,1233879,0.0000,1.0000
2018-11-01,392.6800,400.8800,391.5300,397.8600,397.0489,1100018,0.0000,1.0000
2018-10-31,389.7600,400.3700,387.5200,393.4700,392.6679,1586484,0.0000,1.0000
2018-10-30,367.8200,385.3200,366.2900,384.8000,384.0155,1302625,0.0000,1.0000
2018-10-29,375.7900,378.4600,362.4140,366.7200,365.9724,1073552,0.0000,1.0000
