timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,103.8000,104.3200,102.4200,103.3400,103.3400,843821,0.0000,1.0000
2019-02-08,103.3400,103.9700,102.4250,103.6100,103.6100,799789,0.0000,1.0000
2019-02-07,104.1300,105.2900,103.1200,103.8300,103.8300,1055480,0.0000,1.0000
2019-02-06,105.1300,105.7500,104.5635,105.2600,105.2600,758836,0.0000,1.0000
2019-02-05,104.8700,105.5100,104.4900,105.3700,105.3700,776879,0.0000,1.0000
2019-02-04,103.8600,105.0000,103.5600,104.9400,104.9400,867947,0.0000,1.0000
2019-02-01,105.1100,105.5100,103.7800,103.8300,103.8300,737799,0.0000,1.0000
2019-01-31,103.2500,105.2800,102.8500,104.8800,104.8800,930631,0.0000,1.0000
2019-01-30,103.4000,104.1200,102.8200,103.4800,103.4800,423517,0.0000,1.0000
2019-01-29,102.7700,103.6000,102.7600,103.2500,103.2500,579475,0.0000,1.0000
2019-01-28,101.5900,102.8700,101.0100,102.8700,102.8700,939900,0.0000,1.0000
2019-01-25,102.0000,102.9300,101.2800,101.4400,101.4400,651351,0.0000,1.0000
2019-01-24,102.7100,103.2900,100.9100,101.7700,101.7700,844846,0.0000,1.0000
2019-01-23,104.9700,105.2900,103.2000,104.1900,104.1900,900746,0.0000,1.0000
2019-01-22,104.8600,105.0700,102.9700,104.9900,104.9900,756106,0.0000,1.0000
2019-01-18,104.2900,105.0900,103.8000,104.7900,104.7900,935932,0.0000,1.0000
2019-01-17,103.3200,104.5400,102.7700,104.1800,104.1800,469132,0.0000,1.0000
2019-01-16,103.1600,103.7800,102.5900,103.2300,103.2300,655235,0.0000,1.0000
2019-01-15,102.6300,103.4050,102.2100,103.1700,103.1700,754531,0.0000,1.0000
2019-01-14,101.9400,102.8400,101.5300,102.6300,102.6300,973877,0.0000,1.0000
2019-01-11,101.7100,102.4200,100.9550,102.1900,102.1900,718874,0.0000,1.0000
2019-01-10,99.6600,101.6100,99.3600,101.4800,101.4800,765575,0.0000,1.0000
2019-01-09,99.6200,99.9800,98.6100,99.6800,99.6800,1097169,0.0000,1.0000
2019-01-08,97.8400,99.9850,97.5565,99.6800,99.6800,1214425,0.0000,1.0000
2019-01-07,95.4000,97.6600,94.5100,97.1700,97.1700,937933,0.0000,1.0000
2019-01-04,94.7700,96.1800,94.0900,95.8800,95.8800,1381483,0.0000,1.0000
2019-01-03,93.3900,96.2085,93.3300,94.5900,94.5900,1818069,0.0000,1.0000
2019-01-02,93.0800,94.5200,91.9500,93.8800,93.8800,1031158,0.0000,1.0000
2018-12-31,94.0500,94.2270,91.5800,93.4900,93.4900,1062915,0.0000,1.0000
2018-12-28,94.6100,95.7800,92.9500,93.9100,93.9100,1186884,0.0000,1.0000
2018-12-27,94.3700,94.3900,91.3200,94.3900,94.3900,1275151,0.0000,1.0000
2018-12-26,93.3500,94.7900,92.5400,94.7800,94.7800,2366249,0.0000,1.0000
2018-12-24,96.3600,96.3600,92.2387,93.1600,93.1600,971595,0.0000,1.0000
2018-12-21,95.5300,99.0500,94.8800,96.1000,96.1000,2960782,0.0000,1.0000
2018-12-20,96.6500,97.5000,93.9806,95.4200,95.4200,1459766,0.0000,1.0000
2018-12-19,99.1800,99.9000,96.4100,96.9000,96.9000,1023898,0.0000,1.0000
2018-12-18,99.0700,99.4400,96.9589,97.3400,97.3400,1305236,0.0000,1.0000
2018-12-17,101.6000,102.2800,98.1800,99.0000,99.0000,1226175,0.0000,1.0000
2018-12-14,103.3600,104.1800,101.6300,101.9100,101.9100,1123022,0.0000,1.0000
2018-12-13,101.8600,104.6550,101.6800,103.7700,103.7700,1577214,0.0000,1.0000
2018-12-12,101.5500,102.6900,100.7875,101.6800,101.6800,1195582,0.0000,1.0000
2018-12-11,99.6100,102.2000,99.0400,100.8800,100.8800,1059714,0.0000,1.0000
2018-12-10,98.2200,99.6800,97.3200,99.1600,99.1600,1459618,0.0000,1.0000
2018-12-07,100.8800,101.2500,97.4200,98.1700,98.1700,1417879,0.0000,1.0000
2018-12-06,102.6000,102.9100,99.0450,100.8300,100.8300,2109297,0.0000,1.0000
2018-12-04,103.6900,106.0900,101.8600,102.2400,102.2400,1827629,0.0000,1.0000
2018-12-03,104.4400,104.5599,102.6600,103.2600,103.2600,1593767,0.0000,1.0000
2018-11-30,103.4400,104.7800,103.0700,104.5100,104.5100,2051772,0.0000,1.0000
2018-11-29,100.9900,104.4200,100.8900,103.4400,103.4400,2594693,0.0000,1.0000
2018-11-28,103.8000,106.6700,100.6500,101.2800,101.2800,4997295,0.0000,1.0000
2018-11-27,109.1600,109.5300,107.7500,109.1800,109.1800,1745597,0.0000,1.0000
2018-11-26,110.2500,111.5000,108.3300,109.0100,109.0100,1628699,0.0000,1.0000
2018-11-23,110.1100,110.9900,109.5700,110.7100,110.7100,302511,0.0000,1.0000
2018-11-21,112.3400,112.7000,109.5900,109.9900,109.9900,918085,0.0000,1.0000
2018-11-20,112.4100,115.0900,111.5500,112.2800,112.2800,1193202,0.0000,1.0000
2018-11-19,112.9700,113.9200,111.4400,111.8500,111.8500,840874,0.0000,1.0000
2018-11-16,113.0700,113.9700,112.2743,113.0600,113.0600,784095,0.0000,1.0000
2018-11-15,112.6100,113.8800,111.7600,112.9400,112.9400,1212088,0.8500,1.0000
2018-11-14,113.9200,114.5000,113.2550,113.9400,113.0889,1884705,0.0000,1.0000
2018-11-13,113.9500,115.4500,112.5900,113.8300,112.9797,1328287,0.0000,1.0000
2018-11-12,112.6000,114.8600,112.5850,114.2000,113.3469,1526612,0.0000,1.0000
2018-11-09,110.9200,113.2378,110.4900,112.8800,112.0368,1053309,0.0000,1.0000
2018-11-08,110.8800,111.5700,110.2300,110.9200,110.0914,1289496,0.0000,1.0000
2018-11-07,110.3500,110.9800,108.6592,110.7900,109.9624,1523842,0.0000,1.0000
2018-11-06,107.8800,110.1400,107.4900,109.9200,109.0989,812750,0.0000,1.0000
2018-11-05,105.7500,108.4300,105.7500,107.9800,107.1734,1349346,0.0000,1.0000
2018-11-02,111.0000,111.5900,104.4600,105.6900,104.9005,2741528,0.0000,1.0000
2018-11-01,108.3900,110.9100,108.3822,109.7400,108.9203,1098579,0.0000,1.0000
2018-10-31,108.9800,109.6600,105.5050,108.3200,107.5109,2109139,0.0000,1.0000
2018-10-30,108.2700,110.4000,108.0500,109.6000,108.7813,1963123,0.0000,1.0000
2018-10-29,106.0000,108.5000,106.0000,107.7100,106.9054,847316,0.0000,1.0000
2018-10-26,106.3100,107.1500,104.6200,105.3600,104.5730,1180841,0.0000,1.0000
2018-10-25,107.2300,107.5600,105.4500,106.5300,105.7342,1164529,0.0000,1.0000
2018-10-24,105.8800,108.5600,105.5200,107.2600,106.4588,1130591,0.0000,1.0000
2018-10-23,104.0600,106.4100,103.6500,105.8600,105.0692,1038723,0.0000,1.0000
2018-10-22,105.2300,105.9300,103.9500,104.7100,103.9278,607223,0.0000,1.0000
2018-10-19,103.7300,105.4025,103.7060,104.9800,104.1958,846129,0.0000,1.0000
2018-10-18,103.8100,104.1500,102.5400,102.9000,102.1313,852557,0.0000,1.0000
2018-10-17,105.1900,105.6400,103.3734,103.8000,103.0246,709116,0.0000,1.0000
2018-10-16,103.6600,105.6600,103.3400,105.3900,104.6027,615254,0.0000,1.0000
2018-10-15,103.0200,104.5700,102.7500,103.9300,103.1537,580226,0.0000,1.0000
2018-10-12,102.2300,103.7900,101.9400,103.1600,102.3894,724519,0.0000,1.0000
2018-10-11,104.0000,104.7200,101.4100,102.1700,101.4068,1201827,0.0000,1.0000
2018-10-10,102.1300,105.1200,102.0700,103.5400,102.7666,1572594,0.0000,1.0000
2018-10-09,104.4000,104.9100,101.7600,101.9700,101.2083,1186426,0.0000,1.0000
2018-10-08,102.6900,105.2500,102.6900,104.4000,103.6201,1068229,0.0000,1.0000
2018-10-05,101.9000,104.7500,101.6000,102.9500,102.1810,1306507,0.0000,1.0000
2018-10-04,101.5800,102.8600,100.9104,101.6900,100.9304,1380119,0.0000,1.0000
2018-10-03,103.5700,104.3546,101.3600,101.6300,100.8708,1049130,0.0000,1.0000
2018-10-02,102.8300,104.0800,102.3300,103.1700,102.3993,734838,0.0000,1.0000
2018-10-01,103.0000,103.7400,102.0550,102.5100,101.7443,796341,0.0000,1.0000
2018-09-28,102.1900,103.0050,101.6500,102.6100,101.8435,1098975,0.0000,1.0000
2018-09-27,104.5000,104.6550,102.1200,102.3700,101.6053,1268958,0.0000,1.0000
2018-09-26,106.2000,107.7300,105.5900,105.6600,104.8707,1098471,0.0000,1.0000
2018-09-25,108.8500,108.9500,107.7400,108.3700,107.5605,758652,0.0000,1.0000
2018-09-24,110.0200,110.5900,108.5000,108.7000,107.8880,630105,0.0000,1.0000
2018-09-21,109.7600,110.4500,109.3750,110.1600,109.3371,1026640,0.0000,1.0000
2018-09-20,109.1900,110.4000,108.5800,109.6500,108.8309,922197,0.0000,1.0000
2018-09-19,110.8400,111.5100,108.9700,109.1700,108.3545,659096,0.0000,1.0000
2018-09-18,111.2400,111.2400,108.5000,110.4700,109.6448,1143893,0.0000,1.0000
