,timestamp1,open1,high1,low1,close1,symbol
0,2019-02-11,154.04,155.405,153.535,155.24,SNA
1,2019-02-08,151.08,154.48,150.98,153.08,SNA
2,2019-02-07,154.88,155.8,150.25,151.72,SNA
3,2019-02-06,165.62,167.22,165.0,165.59,SNA
4,2019-02-05,166.2,166.55,165.27,165.96,SNA
5,2019-02-04,165.75,166.68,164.92,166.18,SNA
6,2019-02-01,165.98,166.76,164.32,165.39,SNA
7,2019-01-31,163.6,166.15,162.42,165.99,SNA
8,2019-01-30,163.16,164.67,161.46,164.0,SNA
9,2019-01-29,163.58,164.06,161.84,162.35,SNA
10,2019-01-28,161.9,163.69,160.31,162.86,SNA
11,2019-01-25,164.95,165.0,162.62,163.22,SNA
12,2019-01-24,163.3,164.67,162.87,163.37,SNA
13,2019-01-23,163.64,164.23,161.02,163.17,SNA
14,2019-01-22,165.26,165.26,156.71,162.65,SNA
15,2019-01-18,167.0,168.91,166.48,167.76,SNA
16,2019-01-17,162.44,167.3655,162.2722,166.23,SNA
17,2019-01-16,161.88,163.16,161.51,162.45,SNA
18,2019-01-15,162.61,163.03,160.55,161.63,SNA
19,2019-01-14,159.86,163.78,159.1526,162.13,SNA
20,2019-01-11,159.34,161.28,158.98,160.33,SNA
21,2019-01-10,157.51,160.185,156.9565,160.11,SNA
22,2019-01-09,156.11,158.51,155.7,157.76,SNA
23,2019-01-08,154.91,155.4,153.58,154.65,SNA
24,2019-01-07,151.07,154.03,149.7,152.7,SNA
25,2019-01-04,148.01,151.83,147.42,150.77,SNA
26,2019-01-03,147.19,148.4,143.22,145.46,SNA
27,2019-01-02,143.14,147.7,141.5,147.46,SNA
28,2018-12-31,144.75,146.44,142.99,145.29,SNA
29,2018-12-28,144.53,146.48,143.0624,144.25,SNA
30,2018-12-27,140.0,144.02,138.7,144.02,SNA
31,2018-12-26,136.36,141.82,135.81,141.7,SNA
32,2018-12-24,138.04,138.55,135.29,136.13,SNA
33,2018-12-21,139.19,142.31,138.165,138.64,SNA
34,2018-12-20,141.75,143.66,138.1,139.95,SNA
35,2018-12-19,146.57,149.05,140.59,142.25,SNA
36,2018-12-18,146.67,148.52,145.24,146.63,SNA
37,2018-12-17,146.81,147.86,144.84,145.62,SNA
38,2018-12-14,148.45,150.53,146.72,147.32,SNA
39,2018-12-13,149.4,151.13,149.1226,149.94,SNA
40,2018-12-12,149.4,150.82,148.25,148.39,SNA
41,2018-12-11,150.74,151.82,146.87,147.34,SNA
42,2018-12-10,150.53,151.0,145.94,148.71,SNA
43,2018-12-07,156.17,157.5,149.83,151.0,SNA
