,timestamp1,open1,high1,low1,close1,symbol
0,2019-02-11,117.91,117.91,114.4488,114.95,SRE
1,2019-02-08,118.21,118.46,117.0,117.92,SRE
2,2019-02-07,117.62,118.095,117.0,118.02,SRE
3,2019-02-06,117.05,118.5,116.7,117.75,SRE
4,2019-02-05,117.08,117.4,116.23,117.09,SRE
5,2019-02-04,116.17,117.2,115.56,117.19,SRE
6,2019-02-01,116.66,117.14,115.81,116.75,SRE
7,2019-01-31,114.87,117.16,114.35,116.98,SRE
8,2019-01-30,113.5,115.25,113.5,114.9,SRE
9,2019-01-29,113.34,114.34,113.01,113.85,SRE
10,2019-01-28,113.11,113.42,112.455,113.0,SRE
11,2019-01-25,113.09,113.36,112.53,113.1,SRE
12,2019-01-24,113.55,113.59,112.02,113.35,SRE
13,2019-01-23,112.18,113.14,111.7,112.91,SRE
14,2019-01-22,112.6,113.05,111.47,112.37,SRE
15,2019-01-18,113.05,113.2,112.185,112.67,SRE
16,2019-01-17,112.15,112.9552,111.82,112.36,SRE
17,2019-01-16,112.33,112.94,111.94,112.66,SRE
18,2019-01-15,111.42,114.0,111.38,112.55,SRE
19,2019-01-14,113.07,113.24,111.01,111.76,SRE
20,2019-01-11,114.43,114.99,113.48,114.06,SRE
21,2019-01-10,112.67,114.56,112.19,114.43,SRE
22,2019-01-09,113.54,114.145,112.03,112.42,SRE
23,2019-01-08,110.71,113.8,110.08,113.53,SRE
24,2019-01-07,110.22,111.24,109.28,110.44,SRE
25,2019-01-04,106.55,110.49,106.55,110.46,SRE
26,2019-01-03,106.77,107.98,106.15,107.25,SRE
27,2019-01-02,107.98,107.98,106.09,106.76,SRE
28,2018-12-31,107.57,109.13,106.54,108.19,SRE
29,2018-12-28,107.17,108.2095,106.7,107.27,SRE
30,2018-12-27,107.84,108.43,104.88,107.61,SRE
31,2018-12-26,107.28,108.48,105.94,107.99,SRE
32,2018-12-24,112.48,112.48,106.51,107.4,SRE
33,2018-12-21,113.53,116.06,111.51,111.82,SRE
34,2018-12-20,114.34,115.78,111.34,113.06,SRE
35,2018-12-19,114.29,115.16,113.25,113.94,SRE
36,2018-12-18,115.4,116.53,113.36,113.84,SRE
37,2018-12-17,119.02,119.11,114.2,114.93,SRE
38,2018-12-14,117.61,118.51,117.16,118.49,SRE
39,2018-12-13,116.65,118.49,116.65,117.6,SRE
40,2018-12-12,117.32,117.94,116.51,116.66,SRE
41,2018-12-11,116.62,117.76,115.88,117.06,SRE
42,2018-12-10,115.84,116.66,113.5,116.19,SRE
43,2018-12-07,115.86,117.33,115.16,115.95,SRE
44,2018-12-06,117.24,117.24,113.42,115.7,SRE
45,2018-12-04,116.82,118.88,116.52,116.86,SRE
46,2018-12-03,114.71,116.47,114.41,116.45,SRE
