timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,117.9100,117.9100,114.4488,114.9500,114.9500,2980520,0.0000,1.0000
2019-02-08,118.2100,118.4600,117.0000,117.9200,117.9200,1191401,0.0000,1.0000
2019-02-07,117.6200,118.0950,117.0000,118.0200,118.0200,1391472,0.0000,1.0000
2019-02-06,117.0500,118.5000,116.7000,117.7500,117.7500,1789910,0.0000,1.0000
2019-02-05,117.0800,117.4000,116.2300,117.0900,117.0900,1454384,0.0000,1.0000
2019-02-04,116.1700,117.2000,115.5600,117.1900,117.1900,1475266,0.0000,1.0000
2019-02-01,116.6600,117.1400,115.8100,116.7500,116.7500,1681480,0.0000,1.0000
2019-01-31,114.8700,117.1600,114.3500,116.9800,116.9800,2117262,0.0000,1.0000
2019-01-30,113.5000,115.2500,113.5000,114.9000,114.9000,1584441,0.0000,1.0000
2019-01-29,113.3400,114.3400,113.0100,113.8500,113.8500,1869284,0.0000,1.0000
2019-01-28,113.1100,113.4200,112.4550,113.0000,113.0000,1670045,0.0000,1.0000
2019-01-25,113.0900,113.3600,112.5300,113.1000,113.1000,1646086,0.0000,1.0000
2019-01-24,113.5500,113.5900,112.0200,113.3500,113.3500,1641159,0.0000,1.0000
2019-01-23,112.1800,113.1400,111.7000,112.9100,112.9100,1513312,0.0000,1.0000
2019-01-22,112.6000,113.0500,111.4700,112.3700,112.3700,1327705,0.0000,1.0000
2019-01-18,113.0500,113.2000,112.1850,112.6700,112.6700,1517734,0.0000,1.0000
2019-01-17,112.1500,112.9552,111.8200,112.3600,112.3600,1203692,0.0000,1.0000
2019-01-16,112.3300,112.9400,111.9400,112.6600,112.6600,1868148,0.0000,1.0000
2019-01-15,111.4200,114.0000,111.3800,112.5500,112.5500,2071525,0.0000,1.0000
2019-01-14,113.0700,113.2400,111.0100,111.7600,111.7600,2056297,0.0000,1.0000
2019-01-11,114.4300,114.9900,113.4800,114.0600,114.0600,1345507,0.0000,1.0000
2019-01-10,112.6700,114.5600,112.1900,114.4300,114.4300,1302077,0.0000,1.0000
2019-01-09,113.5400,114.1450,112.0300,112.4200,112.4200,1690059,0.0000,1.0000
2019-01-08,110.7100,113.8000,110.0800,113.5300,113.5300,1625576,0.0000,1.0000
2019-01-07,110.2200,111.2400,109.2800,110.4400,110.4400,2853498,0.0000,1.0000
2019-01-04,106.5500,110.4900,106.5500,110.4600,110.4600,2708238,0.0000,1.0000
2019-01-03,106.7700,107.9800,106.1500,107.2500,107.2500,1288996,0.0000,1.0000
2019-01-02,107.9800,107.9800,106.0900,106.7600,106.7600,1196461,0.0000,1.0000
2018-12-31,107.5700,109.1300,106.5400,108.1900,108.1900,1837954,0.0000,1.0000
2018-12-28,107.1700,108.2095,106.7000,107.2700,107.2700,2180008,0.8950,1.0000
2018-12-27,107.8400,108.4300,104.8800,107.6100,106.7196,2328020,0.0000,1.0000
2018-12-26,107.2800,108.4800,105.9400,107.9900,107.0964,3332278,0.0000,1.0000
2018-12-24,112.4800,112.4800,106.5100,107.4000,106.5113,1207118,0.0000,1.0000
2018-12-21,113.5300,116.0600,111.5100,111.8200,110.8948,2783345,0.0000,1.0000
2018-12-20,114.3400,115.7800,111.3400,113.0600,112.1245,2107629,0.0000,1.0000
2018-12-19,114.2900,115.1600,113.2500,113.9400,112.9972,2533100,0.0000,1.0000
2018-12-18,115.4000,116.5300,113.3600,113.8400,112.8980,1781077,0.0000,1.0000
2018-12-17,119.0200,119.1100,114.2000,114.9300,113.9790,1996804,0.0000,1.0000
2018-12-14,117.6100,118.5100,117.1600,118.4900,117.5096,2402618,0.0000,1.0000
2018-12-13,116.6500,118.4900,116.6500,117.6000,116.6269,1393067,0.0000,1.0000
2018-12-12,117.3200,117.9400,116.5100,116.6600,115.6947,4469120,0.0000,1.0000
2018-12-11,116.6200,117.7600,115.8800,117.0600,116.0914,1002049,0.0000,1.0000
2018-12-10,115.8400,116.6600,113.5000,116.1900,115.2286,2124063,0.0000,1.0000
2018-12-07,115.8600,117.3300,115.1600,115.9500,114.9906,1666565,0.0000,1.0000
2018-12-06,117.2400,117.2400,113.4200,115.7000,114.7427,1763634,0.0000,1.0000
2018-12-04,116.8200,118.8800,116.5200,116.8600,115.8931,1533752,0.0000,1.0000
2018-12-03,114.7100,116.4700,114.4100,116.4500,115.4864,1991089,0.0000,1.0000
2018-11-30,112.9300,115.3500,112.6100,115.2200,114.2666,3267050,0.0000,1.0000
2018-11-29,113.2000,114.6200,112.3600,112.6700,111.7377,1171932,0.0000,1.0000
2018-11-28,113.0200,113.7800,112.5600,113.2400,112.3030,1317200,0.0000,1.0000
2018-11-27,112.2600,113.0950,111.8100,112.6900,111.7576,1485010,0.0000,1.0000
2018-11-26,112.1400,112.7900,111.3000,112.0400,111.1129,1365123,0.0000,1.0000
2018-11-23,111.9100,112.6600,111.5100,112.1100,111.1824,1286306,0.0000,1.0000
2018-11-21,113.7100,113.8450,111.6200,112.0100,111.0832,1362651,0.0000,1.0000
2018-11-20,115.7600,115.9400,113.5700,113.9300,112.9873,1956210,0.0000,1.0000
2018-11-19,114.7900,115.5600,114.0500,115.2400,114.2865,1467403,0.0000,1.0000
2018-11-16,113.4850,115.3400,112.0000,114.8700,113.9195,3664632,0.0000,1.0000
2018-11-15,112.7400,112.7400,110.3300,110.9800,110.0617,2647600,0.0000,1.0000
2018-11-14,116.0300,116.2900,112.5300,112.7600,111.8270,2690318,0.0000,1.0000
2018-11-13,115.1700,116.2300,114.7000,116.0100,115.0501,1776256,0.0000,1.0000
2018-11-12,116.3600,116.6800,114.6900,115.4000,114.4451,2897572,0.0000,1.0000
2018-11-09,117.9500,118.1100,115.4000,116.7000,115.7344,2525635,0.0000,1.0000
2018-11-08,117.6500,118.8000,116.4100,117.9700,116.9939,1980099,0.0000,1.0000
2018-11-07,114.9300,117.9600,114.0100,117.5600,116.5873,2580101,0.0000,1.0000
2018-11-06,112.5400,113.7000,111.9300,113.2000,112.2633,1731604,0.0000,1.0000
2018-11-05,109.3600,112.5700,109.2250,112.5700,111.6386,1838014,0.0000,1.0000
2018-11-02,110.1400,110.9500,108.6400,109.0500,108.1477,2567122,0.0000,1.0000
2018-11-01,110.3100,110.5600,109.1400,110.0500,109.1394,2302176,0.0000,1.0000
2018-10-31,110.9600,111.9100,109.8100,110.1200,109.2088,2114807,0.0000,1.0000
2018-10-30,112.9900,113.2600,110.5200,111.8000,110.8749,2200620,0.0000,1.0000
2018-10-29,112.9400,114.1000,111.8650,112.5400,111.6088,1754866,0.0000,1.0000
2018-10-26,115.4600,116.0300,111.7600,112.8100,111.8766,1324049,0.0000,1.0000
2018-10-25,115.5500,115.7900,114.0100,115.0400,114.0881,1571293,0.0000,1.0000
2018-10-24,114.4000,116.6050,112.6000,115.9000,114.9410,1526051,0.0000,1.0000
2018-10-23,115.7500,116.3200,113.8450,114.1900,113.2451,1196008,0.0000,1.0000
2018-10-22,116.8800,117.0700,115.5100,115.6200,114.6633,1287566,0.0000,1.0000
2018-10-19,115.6400,117.1100,115.4000,116.6100,115.6451,2694796,0.0000,1.0000
2018-10-18,116.8000,116.9200,115.4000,115.9100,114.9509,2097992,0.0000,1.0000
2018-10-17,115.5300,116.3400,114.5600,115.3000,114.3460,968301,0.0000,1.0000
2018-10-16,115.0000,116.7000,114.3200,115.7600,114.8022,1174942,0.0000,1.0000
2018-10-15,114.8700,115.8800,114.5800,115.1000,114.1476,1449914,0.0000,1.0000
2018-10-12,114.8200,115.3600,113.6000,115.0300,114.0782,1130234,0.0000,1.0000
2018-10-11,116.4300,116.4900,113.6600,114.4700,113.5228,1758878,0.0000,1.0000
2018-10-10,116.1800,117.8900,115.3900,115.4600,114.5046,2087500,0.0000,1.0000
2018-10-09,116.7900,117.1500,115.3500,116.4000,115.4369,2005442,0.0000,1.0000
2018-10-08,116.7900,117.2800,115.9600,116.5500,115.5856,1163601,0.0000,1.0000
2018-10-05,115.0000,116.5400,114.9800,116.2000,115.2385,1338825,0.0000,1.0000
2018-10-04,114.2300,114.9600,113.2000,114.8900,113.9394,1283363,0.0000,1.0000
2018-10-03,115.8500,116.5500,113.6700,114.6200,113.6716,1530927,0.0000,1.0000
2018-10-02,114.3400,115.8200,113.9900,115.7400,114.7823,1421639,0.0000,1.0000
2018-10-01,113.4900,114.3200,113.0750,113.8300,112.8881,1800968,0.0000,1.0000
2018-09-28,112.3400,113.9600,112.3400,113.7500,112.8088,2690155,0.0000,1.0000
2018-09-27,111.1900,112.7700,110.9900,112.0000,111.0733,2265487,0.0000,1.0000
2018-09-26,112.5700,113.3700,111.0200,111.0600,110.1410,2072479,0.0000,1.0000
2018-09-25,113.2800,113.5100,112.3200,112.4700,111.5394,2476330,0.0000,1.0000
2018-09-24,114.8100,115.3000,113.1900,113.5800,112.6402,1648195,0.0000,1.0000
2018-09-21,114.5000,115.9800,114.5000,115.2100,114.2567,5306914,0.0000,1.0000
2018-09-20,114.7500,114.8600,113.5400,114.3200,113.3741,1771348,0.8950,1.0000
2018-09-19,117.3400,117.3400,114.2700,115.1400,113.3003,2157089,0.0000,1.0000
2018-09-18,120.0000,120.0000,117.0200,117.2700,115.3962,2651917,0.0000,1.0000
