,timestamp1,open1,high1,low1,close1,symbol
0,2019-02-11,64.54,64.96,64.37,64.77,STI
1,2019-02-08,64.71,65.03,63.84,64.37,STI
2,2019-02-07,65.69,66.21,62.58,64.72,STI
3,2019-02-06,59.02,59.52,58.3,58.74,STI
4,2019-02-05,59.51,59.51,58.51,59.14,STI
5,2019-02-04,59.36,59.51,59.0,59.44,STI
6,2019-02-01,59.6,60.035,59.39,59.47,STI
7,2019-01-31,60.17,60.59,58.9,59.42,STI
8,2019-01-30,61.46,61.5,60.53,60.62,STI
9,2019-01-29,61.62,62.01,61.33,61.4,STI
10,2019-01-28,61.23,61.83,60.55,61.74,STI
11,2019-01-25,61.73,62.4,61.1174,61.9,STI
12,2019-01-24,60.26,61.43,60.26,61.22,STI
13,2019-01-23,60.69,61.0,60.08,60.56,STI
14,2019-01-22,60.22,60.775,59.85,60.36,STI
15,2019-01-18,62.0,62.13,59.04,60.72,STI
16,2019-01-17,57.08,58.28,56.69,58.04,STI
17,2019-01-16,56.9,57.65,56.14,57.36,STI
18,2019-01-15,56.12,56.37,55.37,55.99,STI
19,2019-01-14,55.25,56.38,55.06,56.14,STI
20,2019-01-11,54.93,56.34,54.77,55.77,STI
21,2019-01-10,55.28,55.7,54.81,55.37,STI
22,2019-01-09,54.81,55.85,54.52,55.46,STI
23,2019-01-08,55.0,55.0,54.07,54.78,STI
24,2019-01-07,53.55,55.2,53.49,54.67,STI
25,2019-01-04,52.96,53.85,52.75,53.74,STI
26,2019-01-03,51.59,52.64,51.46,51.93,STI
27,2019-01-02,49.78,51.92,49.78,51.87,STI
28,2018-12-31,50.1,50.57,49.63,50.44,STI
29,2018-12-28,49.69,50.39,49.37,49.78,STI
30,2018-12-27,48.19,49.56,47.913,49.54,STI
31,2018-12-26,47.2,49.2,46.05,49.2,STI
32,2018-12-24,48.0,48.21,46.88,46.9,STI
33,2018-12-21,48.51,49.64,48.15,48.5,STI
34,2018-12-20,48.9,49.85,48.17,48.74,STI
35,2018-12-19,50.68,51.39,48.98,49.4,STI
36,2018-12-18,52.06,52.47,50.515,50.85,STI
37,2018-12-17,51.95,52.91,51.52,51.79,STI
38,2018-12-14,52.4,53.45,52.035,52.18,STI
39,2018-12-13,54.81,54.92,52.8301,53.07,STI
40,2018-12-12,55.57,55.57,53.9,54.63,STI
41,2018-12-11,56.29,56.5199,54.33,54.51,STI
42,2018-12-10,56.5,56.79,54.75,55.57,STI
43,2018-12-07,58.19,58.88,56.73,56.94,STI
44,2018-12-06,57.55,58.44,56.58,58.44,STI
45,2018-12-04,61.96,62.2,58.28,58.67,STI
46,2018-12-03,63.53,63.7,62.05,62.31,STI
47,2018-11-30,62.39,63.25,62.206,62.69,STI
48,2018-11-29,62.23,63.19,61.95,62.49,STI
49,2018-11-28,63.08,63.61,61.94,63.09,STI
50,2018-11-27,63.11,63.77,62.87,63.06,STI
51,2018-11-26,62.16,63.49,62.16,63.45,STI
52,2018-11-23,61.56,61.9,61.09,61.31,STI
53,2018-11-21,61.78,62.67,60.935,61.9,STI
54,2018-11-20,62.65,62.82,61.3,61.73,STI
55,2018-11-19,62.83,63.68,62.36,63.09,STI
56,2018-11-16,62.66,63.31,62.315,62.66,STI
57,2018-11-15,61.95,63.2139,61.4,63.2,STI
58,2018-11-14,63.89,64.31,61.73,62.54,STI
59,2018-11-13,62.95,63.94,62.82,63.52,STI
60,2018-11-12,63.38,63.74,62.88,62.95,STI
61,2018-11-09,63.2,63.755,63.1,63.53,STI
62,2018-11-08,62.67,63.82,62.6,63.34,STI
63,2018-11-07,62.76,63.16,61.71,62.83,STI
64,2018-11-06,62.3,62.79,61.94,62.5,STI
65,2018-11-05,62.43,62.9,62.18,62.52,STI
66,2018-11-02,63.02,63.7,62.18,62.49,STI
67,2018-11-01,62.97,63.25,62.25,62.5,STI
68,2018-10-31,62.56,63.69,62.42,62.66,STI
69,2018-10-30,60.5,62.15,59.88,61.94,STI
70,2018-10-29,60.49,61.34,59.54,60.18,STI
71,2018-10-26,59.51,60.34,59.2,59.56,STI
72,2018-10-25,59.47,60.84,59.34,60.37,STI
73,2018-10-24,60.34,60.36,58.69,58.83,STI
74,2018-10-23,59.7,61.1699,59.44,60.56,STI
75,2018-10-22,63.02,63.15,60.77,60.83,STI
