timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,183.6100,183.9600,182.5450,183.5300,183.5300,1213362,0.0000,1.0000
2019-02-08,179.6200,182.6900,179.5600,182.6600,182.6600,1317717,0.0000,1.0000
2019-02-07,179.2400,180.8100,179.0501,180.7500,180.7500,1351867,0.0000,1.0000
2019-02-06,179.1400,180.8000,178.5000,180.7000,180.7000,950225,0.0000,1.0000
2019-02-05,177.9000,179.8500,177.4800,179.3500,179.3500,1261782,0.0000,1.0000
2019-02-04,176.9800,177.7200,175.7400,177.1400,177.1400,1376818,0.0000,1.0000
2019-02-01,177.8900,178.9900,176.4700,177.3100,177.3100,1546844,0.0000,1.0000
2019-01-31,178.3400,179.4800,176.8500,177.5700,177.5700,2909618,0.0000,1.0000
2019-01-30,176.0100,181.1800,174.7900,179.3900,179.3900,5426212,0.0000,1.0000
2019-01-29,162.1300,163.4300,160.7900,161.0700,161.0700,1823085,0.0000,1.0000
2019-01-28,164.7200,165.2100,161.8900,162.0000,162.0000,1927266,0.0000,1.0000
2019-01-25,168.0800,168.1200,165.4400,165.7600,165.7600,1467200,0.0000,1.0000
2019-01-24,166.0800,167.4500,165.3650,167.3000,167.3000,1209895,0.0000,1.0000
2019-01-23,165.9800,167.3500,164.3400,165.7800,165.7800,1177013,0.0000,1.0000
2019-01-22,166.8600,167.7200,164.5200,165.8800,165.8800,2400559,0.0000,1.0000
2019-01-18,165.7500,168.1900,164.8200,167.5500,167.5500,2021972,0.0000,1.0000
2019-01-17,162.7500,164.9100,162.7300,164.4100,164.4100,1164182,0.0000,1.0000
2019-01-16,161.8400,164.3350,161.5200,163.4000,163.4000,1792609,0.0000,1.0000
2019-01-15,157.5200,162.2200,157.4300,162.1400,162.1400,1700682,0.0000,1.0000
2019-01-14,158.2300,159.4100,157.5500,157.6600,157.6600,1327213,0.0000,1.0000
2019-01-11,160.0600,160.6152,158.9000,159.4900,159.4900,1116072,0.0000,1.0000
2019-01-10,159.0100,161.4500,158.2100,161.3400,161.3400,1015672,0.0000,1.0000
2019-01-09,160.0300,161.8800,159.4300,159.8000,159.8000,1216154,0.0000,1.0000
2019-01-08,158.0500,159.4650,156.5400,158.9000,158.9000,1499782,0.0000,1.0000
2019-01-07,156.7800,159.6831,156.3517,157.0000,157.0000,1617581,0.0000,1.0000
2019-01-04,154.2400,158.8600,154.2400,157.0600,157.0600,1785159,0.0000,1.0000
2019-01-03,155.0200,155.7800,151.6300,152.4600,152.4600,2320100,0.0000,1.0000
2019-01-02,155.8700,157.7200,153.4300,154.5000,154.5000,1749957,0.0000,1.0000
2018-12-31,155.3000,158.0450,155.2800,156.7500,156.7500,1186182,0.0000,1.0000
2018-12-28,155.0000,156.6200,153.6101,154.8000,154.8000,1245856,0.5200,1.0000
2018-12-27,149.2800,154.6000,148.0150,154.6000,154.0824,1623460,0.0000,1.0000
2018-12-26,145.4700,150.8300,144.7500,150.8300,150.3250,1937913,0.0000,1.0000
2018-12-24,150.0400,150.5800,144.9500,145.0000,144.5146,998290,0.0000,1.0000
2018-12-21,153.7900,156.6500,150.6300,150.7300,150.2254,2747269,0.0000,1.0000
2018-12-20,157.1600,157.9100,152.6300,153.7900,153.2751,1778457,0.0000,1.0000
2018-12-19,161.8100,162.3450,156.0000,158.0000,157.4710,1276402,0.0000,1.0000
2018-12-18,163.5500,163.5500,159.8100,161.4800,160.9394,1394040,0.0000,1.0000
2018-12-17,165.5300,165.5300,159.1500,160.1100,159.5740,2355125,0.0000,1.0000
2018-12-14,171.8900,171.9900,165.9500,166.5600,166.0024,1463521,0.0000,1.0000
2018-12-13,173.2600,174.8500,172.2600,172.8600,172.2813,904715,0.0000,1.0000
2018-12-12,172.6700,174.9200,171.7470,172.6100,172.0321,1476972,0.0000,1.0000
2018-12-11,172.7800,174.1700,171.2800,171.6600,171.0853,1385590,0.0000,1.0000
2018-12-10,169.4400,171.8700,167.0100,171.2200,170.6468,1106023,0.0000,1.0000
2018-12-07,172.0200,172.2600,167.6900,168.8500,168.2847,1268355,0.0000,1.0000
2018-12-06,170.4200,172.4400,167.1500,172.4400,171.8627,1594858,0.0000,1.0000
2018-12-04,173.8000,175.2400,171.7500,172.2500,171.6733,1703233,0.0000,1.0000
2018-12-03,175.6500,176.0000,172.8700,173.8900,173.3078,1880540,0.0000,1.0000
2018-11-30,171.3600,175.5050,171.1600,175.4600,174.8726,2590258,0.0000,1.0000
2018-11-29,170.8000,172.8400,170.2200,170.9100,170.3378,1530887,0.0000,1.0000
2018-11-28,167.2000,171.8700,167.0800,171.6800,171.1052,1364730,0.0000,1.0000
2018-11-27,165.5400,167.1600,164.5300,167.0700,166.5107,1001458,0.0000,1.0000
2018-11-26,165.0700,166.3400,163.8100,165.9100,165.3545,1631706,0.0000,1.0000
2018-11-23,163.7700,166.0700,163.7700,164.8000,164.2483,570289,0.0000,1.0000
2018-11-21,165.9700,166.9600,162.8600,164.3400,163.7898,1294924,0.0000,1.0000
2018-11-20,166.7100,167.6500,165.2500,165.9500,165.3944,1474327,0.0000,1.0000
2018-11-19,171.9800,171.9800,166.3000,167.7200,167.1585,962363,0.0000,1.0000
2018-11-16,167.8700,172.5200,167.8100,172.1600,171.5836,1747776,0.0000,1.0000
2018-11-15,164.9400,168.7400,162.2900,168.7200,168.1551,1187330,0.0000,1.0000
