timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,243.5100,246.1400,243.3800,244.5700,244.5700,1198115,0.0000,1.0000
2019-02-08,241.4900,243.5800,240.9000,243.5100,243.5100,794599,0.0000,1.0000
2019-02-07,245.1100,245.8600,240.9200,242.9100,242.9100,1147750,0.0000,1.0000
2019-02-06,245.1900,247.8700,245.1900,247.2500,247.2500,1033110,0.0000,1.0000
2019-02-05,243.5900,246.6600,242.9200,246.0100,246.0100,1626148,0.0000,1.0000
2019-02-04,243.5300,244.0600,240.5900,243.5900,243.5900,1200505,0.0000,1.0000
2019-02-01,245.3700,245.6700,242.5400,243.4300,243.4300,1622540,0.0000,1.0000
2019-01-31,243.5900,245.9500,241.1400,245.6700,245.6700,2218252,0.0000,1.0000
2019-01-30,238.7700,245.9100,235.9000,245.0600,245.0600,2539383,0.0000,1.0000
2019-01-29,238.0600,239.9300,236.4400,236.9000,236.9000,1736958,0.0000,1.0000
2019-01-28,238.0900,240.0000,236.6000,237.8800,237.8800,1799160,0.0000,1.0000
2019-01-25,242.5000,244.3200,240.6900,240.9000,240.9000,2003254,0.0000,1.0000
2019-01-24,240.7800,241.4400,238.3100,240.5800,240.5800,1672547,0.0000,1.0000
2019-01-23,242.4300,244.5200,238.6900,241.4600,241.4600,1945671,0.0000,1.0000
2019-01-22,238.5800,240.7900,237.5500,240.7000,240.7000,2007256,0.0000,1.0000
2019-01-18,240.3300,241.9800,238.2300,240.6600,240.6600,3125280,0.0000,1.0000
2019-01-17,234.1300,238.7800,233.7100,238.1700,238.1700,1799002,0.0000,1.0000
2019-01-16,237.0000,238.9950,234.4700,234.6300,234.6300,1671797,0.0000,1.0000
2019-01-15,235.0000,236.7900,233.8800,235.4700,235.4700,2375796,0.0000,1.0000
2019-01-14,237.9500,238.6700,234.8000,235.0400,235.0400,1613911,0.0000,1.0000
2019-01-11,237.7400,240.0200,236.5200,240.0000,240.0000,1369248,0.0000,1.0000
2019-01-10,234.4100,239.5000,234.4100,238.8600,238.8600,1885678,0.0000,1.0000
2019-01-09,231.1600,238.1000,231.1600,236.3900,236.3900,2989047,0.0000,1.0000
2019-01-08,226.6700,231.0600,225.6400,229.9800,229.9800,2876560,0.0000,1.0000
2019-01-07,222.0000,228.4600,222.0000,224.7500,224.7500,2931378,0.0000,1.0000
2019-01-04,216.0100,224.5200,215.6350,221.7600,221.7600,2865393,0.0000,1.0000
2019-01-03,218.7600,218.9950,210.0700,212.1700,212.1700,3125038,0.0000,1.0000
2019-01-02,219.8600,221.2900,216.0800,219.4200,219.4200,2725091,0.0000,1.0000
2018-12-31,224.4300,225.9800,221.0200,223.7900,223.7900,1640020,0.0000,1.0000
2018-12-28,222.5600,225.4300,220.0200,222.4500,222.4500,1728637,0.0000,1.0000
2018-12-27,214.5700,221.0900,213.0900,221.0900,221.0900,2067649,0.0000,1.0000
2018-12-26,210.3500,218.0100,208.3400,217.9700,217.9700,2067156,0.0000,1.0000
2018-12-24,214.2400,214.9900,208.4700,208.4700,208.4700,1714978,0.0000,1.0000
2018-12-21,218.4600,221.2300,214.9300,215.7900,215.7900,4062828,0.0000,1.0000
2018-12-20,226.8900,228.0100,217.8100,219.6600,219.6600,3775861,0.0000,1.0000
2018-12-19,231.0400,235.9800,225.4600,228.3600,228.3600,1674272,0.0000,1.0000
2018-12-18,230.1100,233.4000,227.4400,230.3000,230.3000,1592400,0.0000,1.0000
2018-12-17,232.0000,235.0600,227.1700,228.8700,228.8700,2030217,0.0000,1.0000
2018-12-14,238.2400,238.5400,231.8400,234.1900,234.1900,1752478,0.1700,1.0000
