timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,126.0400,126.0400,124.3600,125.4200,125.4200,1610213,0.0000,1.0000
2019-02-08,126.5300,126.7600,124.6200,125.7900,125.7900,1252718,0.0000,1.0000
2019-02-07,125.1900,126.8000,125.1100,126.7600,126.7600,1083916,0.0000,1.0000
2019-02-06,125.9800,125.9800,124.8700,125.5500,125.5500,1504900,0.0000,1.0000
2019-02-05,126.1200,126.2500,125.3300,126.1800,126.1800,1306400,0.0000,1.0000
2019-02-04,126.4900,126.5000,125.0200,126.0400,126.0400,1214137,0.0000,1.0000
2019-02-01,126.0300,126.5300,125.1300,126.4900,126.4900,1064703,0.0000,1.0000
2019-01-31,125.4000,125.8000,124.3800,125.5400,125.5400,1619940,0.0000,1.0000
2019-01-30,124.7100,126.1900,124.0800,125.8800,125.8800,1682435,0.0000,1.0000
2019-01-29,124.7400,125.4700,124.3800,124.8200,124.8200,1275628,0.0000,1.0000
2019-01-28,124.2400,125.1300,123.6100,125.0300,125.0300,1284530,0.0000,1.0000
2019-01-25,125.0100,126.1700,124.5400,124.9800,124.9800,1972751,0.0000,1.0000
2019-01-24,122.7500,124.4600,122.5800,124.3800,124.3800,1621000,0.0000,1.0000
2019-01-23,122.6700,123.2450,120.6039,123.0200,123.0200,2008713,0.0000,1.0000
2019-01-22,123.5000,125.5000,121.3408,122.3600,122.3600,2155813,0.0000,1.0000
2019-01-18,123.7200,124.4100,122.7400,124.0100,124.0100,1923862,0.0000,1.0000
2019-01-17,121.6400,122.9900,121.2800,122.9400,122.9400,1109153,0.0000,1.0000
2019-01-16,122.2900,122.5800,121.1800,122.3000,122.3000,1349813,0.0000,1.0000
2019-01-15,120.5300,121.8600,120.5300,121.8200,121.8200,1373389,0.0000,1.0000
2019-01-14,119.8700,120.9700,119.7900,120.5800,120.5800,1406827,0.0000,1.0000
2019-01-11,119.8900,120.8600,119.2700,120.4700,120.4700,839353,0.0000,1.0000
2019-01-10,118.5300,120.3500,118.3900,120.2700,120.2700,1061453,0.0000,1.0000
2019-01-09,118.6600,119.5600,117.9800,118.6800,118.6800,1752991,0.0000,1.0000
2019-01-08,119.3800,119.5100,116.8400,117.8400,117.8400,1403869,0.0000,1.0000
2019-01-07,118.2100,119.5400,117.7100,118.3000,118.3000,1082816,0.0000,1.0000
2019-01-04,116.6600,118.7800,116.1310,118.6800,118.6800,1793890,0.0000,1.0000
2019-01-03,117.0500,117.3000,115.0600,115.2600,115.2600,1887516,0.0000,1.0000
2019-01-02,117.4900,118.1900,116.3300,117.3700,117.3700,1793492,0.0000,1.0000
2018-12-31,118.4800,119.7500,118.0500,119.7500,119.7500,1157343,0.0000,1.0000
2018-12-28,119.1500,119.7600,117.7800,118.2400,118.2400,1386712,0.0000,1.0000
