timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,91.9500,92.7200,91.1000,91.3400,91.3400,1573396,0.0000,1.0000
2019-02-08,90.2000,91.8400,90.1400,91.8200,91.8200,1265132,0.0000,1.0000
2019-02-07,90.9300,91.8500,90.4900,90.8400,90.8400,1134551,0.0000,1.0000
2019-02-06,92.2700,92.5200,90.7700,91.6100,91.6100,1410575,0.0000,1.0000
2019-02-05,91.7300,92.6000,91.7200,92.4200,92.4200,1174974,0.0000,1.0000
2019-02-04,90.9500,91.7900,90.7300,91.7600,91.7600,1958222,0.0000,1.0000
2019-02-01,89.6100,91.0300,89.6000,90.8900,90.8900,1535352,0.0000,1.0000
2019-01-31,90.3500,91.2100,88.8100,89.6100,89.6100,2673097,0.0000,1.0000
2019-01-30,86.8300,90.7800,85.2500,90.2800,90.2800,3791337,0.0000,1.0000
2019-01-29,88.4000,88.5600,86.7400,86.9800,86.9800,1950983,0.0000,1.0000
2019-01-28,87.5500,88.1900,87.0900,87.8300,87.8300,1519502,0.0000,1.0000
2019-01-25,88.4600,88.7200,87.7500,88.3100,88.3100,1555644,0.0000,1.0000
2019-01-24,88.0500,88.1250,87.2700,87.7500,87.7500,1120252,0.0000,1.0000
2019-01-23,87.4400,87.5200,85.4300,87.4100,87.4100,1342130,0.0000,1.0000
2019-01-22,87.4200,87.5200,86.1100,86.9300,86.9300,1892790,0.0000,1.0000
2019-01-18,86.9000,88.0300,85.8500,87.9400,87.9400,1400162,0.0000,1.0000
2019-01-17,86.2000,86.9000,85.9500,86.2100,86.2100,1291637,0.0000,1.0000
2019-01-16,86.2100,87.5600,86.0400,86.4000,86.4000,2211072,0.0000,1.0000
2019-01-15,84.2000,84.9200,83.6100,84.6700,84.6700,870870,0.0000,1.0000
2019-01-14,82.8500,84.4099,82.5400,84.1600,84.1600,1407827,0.0000,1.0000
2019-01-11,84.3600,84.4100,82.9200,83.4900,83.4900,1353812,0.0000,1.0000
2019-01-10,83.4600,84.8300,83.0900,84.7800,84.7800,900175,0.0000,1.0000
2019-01-09,82.9200,84.3200,82.5300,84.2000,84.2000,1683350,0.0000,1.0000
2019-01-08,81.8600,82.5100,81.0700,82.3600,82.3600,1199714,0.0000,1.0000
2019-01-07,80.8800,82.1300,80.7000,81.3000,81.3000,2639469,0.0000,1.0000
2019-01-04,79.0300,81.5400,78.9000,80.9900,80.9900,1583222,0.0000,1.0000
2019-01-03,79.7100,80.4800,77.6600,77.8500,77.8500,1748176,0.0000,1.0000
2019-01-02,79.7000,81.3900,79.7000,80.7800,80.7800,1345268,0.0000,1.0000
2018-12-31,80.7100,81.6400,80.0500,81.2900,81.2900,989034,0.0000,1.0000
2018-12-28,81.2000,81.4300,79.4300,80.3600,80.3600,823073,0.0000,1.0000
2018-12-27,77.9200,80.6300,77.4600,80.6100,80.6100,1257643,0.0000,1.0000
2018-12-26,76.2100,79.3500,75.5800,79.3500,79.3500,1207909,0.0000,1.0000
2018-12-24,76.4700,77.4900,75.6500,75.7100,75.7100,646213,0.0000,1.0000
2018-12-21,78.9800,80.0500,77.0200,77.2500,77.2500,2115811,0.0000,1.0000
2018-12-20,80.6400,81.4800,78.1600,79.1000,79.1000,1405551,0.0000,1.0000
2018-12-19,81.1900,83.6800,80.3000,81.2400,81.2400,1955698,0.0000,1.0000
2018-12-18,82.4800,83.0850,80.2900,81.0900,81.0900,2075144,0.0000,1.0000
2018-12-17,83.9800,84.0700,81.7500,81.9700,81.9700,2076783,0.1300,1.0000
2018-12-14,84.8700,85.6200,84.3100,84.6300,84.4960,1269644,0.0000,1.0000
2018-12-13,86.0500,86.4000,85.0500,85.9000,85.7640,939001,0.0000,1.0000
2018-12-12,85.7900,87.5700,85.5600,85.7500,85.6142,2365930,0.0000,1.0000
2018-12-11,86.3600,86.9000,84.1600,84.6800,84.5459,1024271,0.0000,1.0000
2018-12-10,84.4600,85.7800,83.8300,85.3800,85.2448,1028860,0.0000,1.0000
2018-12-07,86.2400,87.1563,84.1600,84.8900,84.7556,1440606,0.0000,1.0000
2018-12-06,84.2700,86.6000,84.1500,86.4400,86.3031,1404514,0.0000,1.0000
2018-12-04,89.0700,89.3100,85.7800,85.8900,85.7540,1604043,0.0000,1.0000
2018-12-03,88.8500,90.7500,88.4700,89.4600,89.3183,1254282,0.0000,1.0000
2018-11-30,87.0200,87.8500,86.6800,87.3700,87.2317,1715185,0.0000,1.0000
2018-11-29,87.2500,88.0500,86.6000,87.2000,87.0619,1334544,0.0000,1.0000
2018-11-28,84.8900,88.0200,84.8700,87.8400,87.7009,1736040,0.0000,1.0000
2018-11-27,83.3500,84.4300,82.3500,84.2600,84.1266,1322688,0.0000,1.0000
2018-11-26,83.6000,84.5000,83.2400,83.9200,83.7871,2172725,0.0000,1.0000
2018-11-23,83.4500,83.8600,82.5500,82.6900,82.5591,491701,0.0000,1.0000
