timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,52.7600,53.2425,52.4100,52.7500,52.7500,1750873,0.0000,1.0000
2019-02-08,52.7500,53.0900,52.2750,52.5800,52.5800,1768738,0.0000,1.0000
2019-02-07,53.6200,53.9400,52.6300,53.0700,53.0700,1674747,0.0000,1.0000
2019-02-06,54.3300,54.6850,54.0400,54.1100,54.1100,1673175,0.0000,1.0000
2019-02-05,53.7200,54.3800,53.2500,54.3800,54.3800,1796192,0.0000,1.0000
2019-02-04,53.5700,53.9100,53.4300,53.6600,53.6600,1699411,0.0000,1.0000
2019-02-01,53.4000,53.7100,53.0750,53.5100,53.5100,1482959,0.0000,1.0000
2019-01-31,53.3000,53.4900,52.8000,53.2300,53.2300,2040676,0.0000,1.0000
2019-01-30,53.2100,53.9200,52.3600,53.4800,53.4800,1842649,0.0000,1.0000
2019-01-29,52.8000,53.5800,52.6450,52.7500,52.7500,1723769,0.0000,1.0000
2019-01-28,52.0700,52.8600,51.5600,52.8000,52.8000,2201862,0.0000,1.0000
2019-01-25,52.6900,52.9400,51.8000,52.6000,52.6000,3556825,0.0000,1.0000
2019-01-24,52.8300,53.5000,51.8450,51.9200,51.9200,5477473,0.0000,1.0000
2019-01-23,48.9700,49.7600,48.6200,49.1700,49.1700,2808046,0.0000,1.0000
2019-01-22,48.9400,49.1500,48.0850,48.4500,48.4500,1978017,0.0000,1.0000
2019-01-18,49.1200,49.6900,49.0700,49.4000,49.4000,1695633,0.0000,1.0000
2019-01-17,47.6400,48.8350,47.5200,48.6200,48.6200,2185493,0.0000,1.0000
2019-01-16,48.1500,48.3000,47.2000,48.0300,48.0300,2234045,0.0000,1.0000
2019-01-15,48.1800,48.6490,47.8200,48.1500,48.1500,2002312,0.0000,1.0000
2019-01-14,47.6000,48.2650,47.4900,48.0200,48.0200,1963952,0.0000,1.0000
2019-01-11,47.6400,48.1300,47.2500,48.0100,48.0100,1202232,0.0000,1.0000
2019-01-10,46.8800,47.9600,46.6200,47.9200,47.9200,1485117,0.0000,1.0000
2019-01-09,47.5500,48.0000,47.2100,47.2800,47.2800,1795155,0.0000,1.0000
2019-01-08,46.9000,47.7100,46.7900,47.5500,47.5500,1945470,0.0000,1.0000
2019-01-07,46.7600,47.1100,46.1800,46.4300,46.4300,2291461,0.0000,1.0000
2019-01-04,45.7100,47.0100,45.6700,46.8800,46.8800,2463386,0.0000,1.0000
2019-01-03,45.7000,46.0500,44.7300,44.9200,44.9200,2318145,0.0000,1.0000
2019-01-02,45.2700,46.4400,44.9300,46.0900,46.0900,1684196,0.0000,1.0000
2018-12-31,45.8100,46.2000,45.4600,45.9900,45.9900,1648448,0.0000,1.0000
2018-12-28,46.1200,46.3300,45.5000,45.6500,45.6500,2124189,0.0000,1.0000
2018-12-27,44.6400,45.9000,44.2800,45.9000,45.9000,2417726,0.0000,1.0000
2018-12-26,44.5000,45.3200,43.2700,45.2700,45.2700,2943756,0.0000,1.0000
2018-12-24,44.8800,45.0700,43.7830,44.1600,44.1600,1103891,0.0000,1.0000
2018-12-21,45.6300,46.4200,45.1600,45.5100,45.5100,4671676,0.0000,1.0000
2018-12-20,46.8500,47.4300,45.1550,45.7400,45.7400,3467506,0.0000,1.0000
2018-12-19,48.7500,49.8300,47.1300,47.2000,47.2000,2797504,0.0000,1.0000
2018-12-18,49.4000,49.8500,48.5600,48.9400,48.9400,2079734,0.0000,1.0000
