timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,182.0500,182.1700,178.4000,181.5300,181.5300,1460881,0.0000,1.0000
2019-02-08,178.7600,181.4500,178.7600,181.3400,181.3400,980716,0.0000,1.0000
2019-02-07,181.5000,182.5900,178.9900,180.1800,180.1800,1462546,0.0000,1.0000
2019-02-06,193.0000,193.0000,182.0600,182.3900,182.3900,1915715,0.0000,1.0000
2019-02-05,185.8100,190.7400,185.4400,187.0200,187.0200,1643480,0.0000,1.0000
2019-02-04,189.1900,189.2750,184.4900,187.9800,187.9800,1482263,0.0000,1.0000
2019-02-01,190.9200,193.0300,189.9200,191.5200,191.5200,893008,0.0000,1.0000
2019-01-31,187.1700,190.9800,186.8600,190.9100,190.9100,900773,0.0000,1.0000
2019-01-30,185.8400,187.9200,184.5000,187.0500,187.0500,1385987,0.0000,1.0000
2019-01-29,188.1600,188.2640,184.7000,186.3800,186.3800,1024572,0.0000,1.0000
2019-01-28,188.9400,188.9842,185.7600,188.0900,188.0900,1513518,0.0000,1.0000
2019-01-25,188.1600,190.3900,186.2700,189.5000,189.5000,1404751,0.0000,1.0000
2019-01-24,189.6400,190.2250,186.4700,186.5800,186.5800,1825062,0.0000,1.0000
2019-01-23,194.6700,195.2000,187.7803,189.8900,189.8900,2043144,0.0000,1.0000
2019-01-22,193.4800,195.8100,192.3900,193.8800,193.8800,2003881,0.0000,1.0000
2019-01-18,192.6300,194.7800,189.4100,194.7000,194.7000,2149793,0.0000,1.0000
2019-01-17,185.7700,191.4243,184.7050,190.5200,190.5200,1605860,0.0000,1.0000
2019-01-16,186.2100,188.3400,184.1300,186.1500,186.1500,2251237,0.0000,1.0000
2019-01-15,184.3700,186.7550,183.0600,186.6800,186.6800,1330425,0.0000,1.0000
2019-01-14,186.7100,186.9900,183.7800,183.9100,183.9100,1962008,0.0000,1.0000
2019-01-11,184.6200,188.8600,183.4255,188.1600,188.1600,2222560,0.0000,1.0000
2019-01-10,181.8500,186.0900,180.2600,186.0300,186.0300,1988432,0.0000,1.0000
2019-01-09,179.1400,182.7000,178.2500,182.3000,182.3000,2298518,0.0000,1.0000
2019-01-08,177.0000,178.4100,174.7200,178.1900,178.1900,1653229,0.0000,1.0000
2019-01-07,173.0500,176.7800,170.8700,175.8500,175.8500,1294712,0.0000,1.0000
